ID	Comment	Angle	Distance	Vertical	Horizontal	MaxV	MinV	OffSolo
1905	2.5D大陆探险_生存高地	45	13	FALSE	FALSE	80	-80	
1906	2.5D大陆探险_寻找宝箱	30	8	FALSE	TRUE	80	-80	
1907	2.5D大陆探险_部落潜行	30	12	FALSE	FALSE	80	-80	
1908	2.5D大陆探险_驱赶猎犬	70	12	FALSE	FALSE	80	-80	
1909	2.5D大陆探险_谁是卧底	30	8	FALSE	FALSE	80	-80	
1910	2.5D大陆探险_幽灵潜行	60	8	FALSE	FALSE	80	-80	
1911	2.5D大陆探险_智斗娜迦	35	12	FALSE	FALSE	80	-80	
1912	2.5D大陆探险_月光迷阵	70	18	FALSE	FALSE	80	-80	
1913	2.5D大陆探险_古堡救援	70	8	FALSE	FALSE	80	-80	
1914	2.5D幽灵蘑菇园	45	12	FALSE	TRUE	80	-80	
1915	2.5D疯狂的鸭子	45	12	FALSE	TRUE	80	-80	
1916	2.5D周末派对生存大挑战	70	12	FALSE	FALSE	80	-80	
1917	2.5D周末派对幽灵行动	70	12	FALSE	FALSE	80	-80	
1918	2.5D周末派对疯狂炸弹人	80	12	FALSE	FALSE	80	-80	
1919	2.5D上古守护关卡	13	5	FALSE	TRUE	80	-80	
1920	2.5D主题活动丧鸭围城	50	12	FALSE	FALSE	80	-80	
1921	2.5D周末派对钩鸭大赛	20	12	FALSE	TRUE	80	-80	
1922	2.5D主题活动生化地狱犬	30	8	FALSE	TRUE	80	-80	
1923	2.5D主题活动摄魂怪实验室	60	12	FALSE	TRUE	80	-80	
1924	2.5D主题活动高级摄魂怪实验室	40	12	FALSE	TRUE	80	-80	
1930	2.5D绝地求生	13	5	FALSE	TRUE	80	-80	
1931	2.5D周末派对地精靶场	20	2	TRUE	TRUE	30	-10	
1932	2.5D跨服GVG	30	8	TRUE	TRUE	80	-80	TRUE
1941	噩梦庭院	25	10	FALSE	TRUE	80	-80	
1942	2.5D飞船	28	12	FALSE	TRUE	80	-80	
1943	重制黑龙1	35	15	FALSE	TRUE	80	-80	
