Quality	Level	Exp	Ratio
2	57	7305	1
2	58	7665	1
2	59	8025	1
2	60	8385	1
2	61	9000	1
2	62	9000	1
2	63	9000	1
2	64	9000	1
2	65	9000	1
2	66	9000	1
2	67	9000	1
2	68	9000	1
2	69	9000	1
2	70	9000	1
2	71	9000	1
2	72	9000	1
2	73	9000	1
2	74	9000	1
2	75	9000	1
2	76	9000	1
2	77	9000	1
2	78	9000	1
2	79	9000	1
2	80	9500	1
2	81	10000	1
2	82	10500	1
2	83	11000	1
2	84	11500	1
2	85	12000	1
2	86	12500	1
2	87	13000	1
2	88	13500	1
2	89	14000	1
2	90	14500	1
2	91	15000	1
2	92	15500	1
2	93	16000	1
2	94	16500	1
2	95	17000	1
2	96	17500	1
2	97	18000	1
2	98	18500	1
2	99	19000	1
2	100	19500	1
2	101	20000	1
2	102	20500	1
2	103	21000	1
2	104	21500	1
2	105	22000	1
2	106	22500	1
2	107	23000	1
2	108	23500	1
2	109	24000	1
2	110	24500	1
2	111	25000	1
2	112	25500	1
2	113	26000	1
2	114	26500	1
2	115	27000	1
2	116	27500	1
2	117	28000	1
2	118	28500	1
2	119	29000	1
2	120	29500	1
2	121	30000	1
2	122	30500	1
2	123	31000	1
2	124	31500	1
2	125	32000	1
2	126	32500	1
2	127	33000	1
2	128	33500	1
2	129	34000	1
2	130	35000	1
2	131	36000	1
2	132	37000	1
2	133	38000	1
2	134	39000	1
2	135	40000	1
2	136	41000	1
2	137	42000	1
2	138	43000	1
2	139	44000	1
2	140	45000	1
3	1	200	1
3	2	220	1
3	3	240	1
3	4	260	1
3	5	280	1
3	6	300	1
3	7	320	1
3	8	340	1
3	9	360	1
3	10	380	1
3	11	420	1
3	12	460	1
3	13	500	1
3	14	540	1
3	15	580	1
3	16	620	1
3	17	660	1
3	18	700	1
3	19	740	1
3	20	780	1
3	21	860	1
3	22	940	1
3	23	1020	1
3	24	1100	1
3	25	1180	1
3	26	1260	1
3	27	1340	1
3	28	1420	1
3	29	1500	1
3	30	1580	1
3	31	1740	1
3	32	1900	1
3	33	2060	1
3	34	2220	1
3	35	2380	1
3	36	2540	1
3	37	2700	1
3	38	2860	1
3	39	3020	1
3	40	3180	1
3	41	3500	1
3	42	3820	1
3	43	4140	1
3	44	4460	1
3	45	4780	1
3	46	5100	1
3	47	5420	1
3	48	5740	1
3	49	6060	1
3	50	6380	1
3	51	6860	1
3	52	7340	1
3	53	7820	1
3	54	8300	1
3	55	8780	1
3	56	9260	1
3	57	9740	1
3	58	10220	1
3	59	10700	1
3	60	11180	1
3	61	12000	1
3	62	12000	1
3	63	12000	1
3	64	12000	1
3	65	12000	1
3	66	12000	1
3	67	12000	1
3	68	12000	1
3	69	12000	1
3	70	12000	1
3	71	12000	1
3	72	12000	1
3	73	12000	1
3	74	12000	1
3	75	12000	1
3	76	12000	1
3	77	12000	1
3	78	12000	1
3	79	12000	1
3	80	12750	1
3	81	13500	1
3	82	14250	1
3	83	15000	1
3	84	15750	1
3	85	16500	1
3	86	17250	1
3	87	18000	1
3	88	18750	1
3	89	19500	1
3	90	20250	1
3	91	21000	1
3	92	21750	1
3	93	22500	1
3	94	23250	1
3	95	24000	1
3	96	24750	1
3	97	25500	1
3	98	26250	1
3	99	27000	1
3	100	27750	1
3	101	28500	1
3	102	29250	1
3	103	30000	1
3	104	30750	1
3	105	31500	1
3	106	32250	1
3	107	33000	1
3	108	33750	1
3	109	34500	1
3	110	35250	1
3	111	36000	1
3	112	36750	1
3	113	37500	1
3	114	38250	1
3	115	39000	1
3	116	39750	1
3	117	40500	1
3	118	41250	1
3	119	42000	1
3	120	42750	1
3	121	43500	1
3	122	44250	1
3	123	45000	1
3	124	45750	1
3	125	46500	1
3	126	47250	1
3	127	48000	1
3	128	48750	1
3	129	49500	1
3	130	51000	1
3	131	52500	1
3	132	54000	1
3	133	55500	1
3	134	57000	1
3	135	58500	1
3	136	60000	1
3	137	61500	1
3	138	63000	1
3	139	64500	1
3	140	66000	1
4	1	300	1
4	2	330	1
4	3	360	1
4	4	390	1
4	5	420	1
4	6	450	1
4	7	480	1
4	8	510	1
4	9	540	1
4	10	570	1
4	11	630	1
4	12	690	1
4	13	750	1
4	14	810	1
4	15	870	1
4	16	930	1
4	17	990	1
4	18	1050	1
4	19	1110	1
4	20	1170	1
4	21	1290	1
4	22	1410	1
4	23	1530	1
4	24	1650	1
4	25	1770	1
4	26	1890	1
4	27	2010	1
4	28	2130	1
4	29	2250	1
4	30	2370	1
4	31	2610	1
4	32	2850	1
4	33	3090	1
4	34	3330	1
4	35	3570	1
4	36	3810	1
4	37	4050	1
4	38	4290	1
4	39	4530	1
4	40	4770	1
4	41	5250	1
4	42	5730	1
4	43	6210	1
4	44	6690	1
4	45	7170	1
4	46	7650	1
4	47	8130	1
4	48	8610	1
4	49	9090	1
4	50	9570	1
4	51	10290	1
4	52	11010	1
4	53	11730	1
4	54	12450	1
4	55	13170	1
4	56	13890	1
4	57	14610	1
4	58	15330	1
4	59	16050	1
4	60	16770	1
4	61	18000	1
4	62	18000	1
4	63	18000	1
4	64	18000	1
4	65	18000	1
4	66	18000	1
4	67	18000	1
4	68	18000	1
4	69	18000	1
4	70	18000	1
4	71	18000	1
4	72	18000	1
4	73	18000	1
4	74	18000	1
4	75	18000	1
4	76	18000	1
4	77	18000	1
4	78	18000	1
4	79	18000	1
4	80	19000	1
4	81	20000	1
4	82	21000	1
4	83	22000	1
4	84	23000	1
4	85	24000	1
4	86	25000	1
4	87	26000	1
4	88	27000	1
4	89	28000	1
4	90	29000	1
4	91	30000	1
4	92	31000	1
4	93	32000	1
4	94	33000	1
4	95	34000	1
4	96	35000	1
4	97	36000	1
4	98	37000	1
4	99	38000	1
4	100	39000	1
4	101	40000	1
4	102	41000	1
4	103	42000	1
4	104	43000	1
4	105	44000	1
4	106	45000	1
4	107	46000	1
4	108	47000	1
4	109	48000	1
4	110	49000	1
4	111	50000	1
4	112	51000	1
4	113	52000	1
4	114	53000	1
4	115	54000	1
4	116	55000	1
4	117	56000	1
4	118	57000	1
4	119	58000	1
4	120	59000	1
4	121	60000	1
4	122	61000	1
4	123	62000	1
4	124	63000	1
4	125	64000	1
4	126	65000	1
4	127	66000	1
4	128	67000	1
4	129	68000	1
4	130	70000	1
4	131	72000	1
4	132	74000	1
4	133	76000	1
4	134	78000	1
4	135	80000	1
4	136	82000	1
4	137	84000	1
4	138	86000	1
4	139	88000	1
4	140	90000	1
5	1	450	10
5	2	495	10
5	3	540	10
5	4	585	10
5	5	630	10
5	6	675	10
5	7	720	10
5	8	765	10
5	9	810	10
5	10	855	10
5	11	945	10
5	12	1035	10
5	13	1125	10
5	14	1215	10
5	15	1305	10
5	16	1395	10
5	17	1485	10
5	18	1575	10
5	19	1665	10
5	20	1755	10
5	21	1935	10
5	22	2115	10
5	23	2295	10
5	24	2475	10
5	25	2655	10
5	26	2835	10
5	27	3015	10
5	28	3195	10
5	29	3375	10
5	30	3555	10
5	31	3915	10
5	32	4275	10
5	33	4635	10
5	34	4995	10
5	35	5355	10
5	36	5715	10
5	37	6075	10
5	38	6435	10
5	39	6795	10
5	40	7155	10
5	41	7875	10
5	42	8595	10
5	43	9315	10
5	44	10035	10
5	45	10755	10
5	46	11475	10
5	47	12195	10
5	48	12915	10
5	49	13635	10
5	50	14355	10
5	51	15435	10
5	52	16515	10
5	53	17595	10
5	54	18675	10
5	55	19755	10
5	56	20835	10
5	57	21915	10
5	58	22995	10
5	59	24075	10
5	60	25155	10
5	61	27000	10
5	62	27000	10
5	63	27000	10
5	64	27000	10
5	65	27000	10
5	66	27000	10
5	67	27000	10
5	68	27000	10
5	69	27000	10
5	70	27000	10
5	71	27000	10
5	72	27000	10
5	73	27000	10
5	74	27000	10
5	75	27000	10
5	76	27000	10
5	77	27000	10
5	78	27000	10
5	79	27000	10
5	80	28500	10
5	81	30000	10
5	82	31500	10
5	83	33000	10
5	84	34500	10
5	85	36000	10
5	86	37500	10
5	87	39000	10
5	88	40500	10
5	89	42000	10
5	90	43500	10
5	91	45000	10
5	92	46500	10
5	93	48000	10
5	94	49500	10
5	95	51000	10
5	96	52500	10
5	97	54000	10
5	98	55500	10
5	99	57000	10
5	100	58500	10
5	101	60000	10
5	102	61500	10
5	103	63000	10
5	104	64500	10
5	105	66000	10
5	106	67500	10
5	107	69000	10
5	108	70500	10
5	109	72000	10
5	110	73500	10
5	111	75000	10
5	112	76500	10
5	113	78000	10
5	114	79500	10
5	115	81000	10
5	116	82500	10
5	117	84000	10
5	118	85500	10
5	119	87000	10
5	120	88500	10
5	121	90000	10
5	122	91500	10
5	123	93000	10
5	124	94500	10
5	125	96000	10
5	126	97500	10
5	127	99000	10
5	128	100500	10
5	129	102000	10
5	130	105000	10
5	131	108000	10
5	132	111000	10
5	133	114000	10
5	134	117000	10
5	135	120000	10
5	136	123000	10
5	137	126000	10
5	138	129000	10
5	139	132000	10
5	140	135000	10
