SystemID	SystemDescription	SystemDescriptionEng	SystemHelp
44	领取体力	XSys_ReceiveEnergy	
45	装备制作	XSys_EquipCreate	制作系统|一、制作的作用{n}{n}可制作装备和纹章以及龙器，穿戴后获得战力提升{n}{n}二、如何制作{n}{n}制作材料充足后可选择对应等级的装备和纹章以龙器进行制作{n}{n}三、制作材料的获得{n}{n}1、探索巢穴/龙本可获得装备{n}{n}2、挑战龙穴可获得随机属性装备{n}{n}3、参与BossRush活动可获得纹章制作材料{n}{n}4、通关无限幻境玩法可以获得龙器制作材料{n}{n}5、时间有限的话也可以通过交易所购买哦
46	运营活动	XSys_SystemActivity	
47	等级封印		
48	BossRush	XSys_BossRush	bossrush|玩法说明{n}{n}1、BossRush分为独立的5小关，每一关根据怪物难度会有对应品质的挑战奖励，总共有绿色，蓝色，橙色和紫色品质四种难度，紫色品质BOSS只有玩家等级到达140级才会出现{n}{n}2、每一小关有无限制刷新机会，可使用免费、金币、龙币及水晶进行刷新{n}{n}3、刷新BOSS可以刷新奖励物品的品质，获得不同品质的奖励，刷新挑战增益可以刷新出属性加成和奖励加成，奖励加成可以提升当前BOSS的奖励数量{n}{n}4、每天免费通关次数为1次，可花费钻石购买门票获得1次额外次数（1次可挑战5个BOSS），次日次数重置{n}{n}公平模式说明{n}{n}1、BossRush为了保证公平性采用的是公平模式对抗{n}{n}2、在公平模式中玩家的血量，攻防等属性将转化成系统预设的属性{n}{n}3、公平模式不影响技能等级{n}{n}奖励说明{n}{n}1、每关挑战成功可获得金属板袋子，袋子根据品质不同会几率获得高品质金属板{n}{n}2、140级以上的玩家击败BOSS获得的袋子，打开不再是金属板，而是直接获得纹章{n}{n}[a431e2]3、140级玩家刷新BOSS有概率出现稀有紫色品质BOSS，稀有紫色品质BOSS掉落的袋子为紫色品质的超级纹章袋子（必定获得A级以上的纹章，概率获得S级纹章，L级纹章碎片），以及传说的的技能纹章袋子（概率获得S级技能纹章碎片，B级技能纹章或金币）[-]
49	大陆探险	XSys_SuperRisk	大陆探险|玩法说明{n}{n}1、大陆探险为单人模式，可以通过掷骰子获得大量珍稀图鉴、道具及额外骰子奖励{n}{n}2、长按骰子进行投掷，滑动条可以增大某一数字掷出的概率{n}{n}3、踩到关卡格子可以进行冒险游戏，游戏成功可获得图鉴和道具奖励{n}{n}4、获得的宝箱占据一个宝箱位置，通过手动解锁，品质越高的宝箱解锁时间越长。但可以用龙币立即打开或随时丢弃已获得的宝箱{n}{n}5、玩家走完一圈即刷新地图及奖励{n}{n}6、人物等级越高可不断开启新的探险板块{n}{n}奖励说明{n}{n}1、可以获得大量珍稀图鉴和道具，图鉴组合可提升战斗力{n}{n}2、拥有获得额外骰子的机会，可以作为正常骰子立即使用{n}{n}3、冒险玩法随机获得图鉴和道具奖励，图鉴可用于图鉴组合增加人物属性{n}{n}4、宝箱格子根据品质不同对应随机产出不同品质图鉴和道具奖励{n}{n}5、终点宝箱产出高品质稀有图鉴和大量道具奖励
50	龙之远征队	XSys_DragonCrusade	龙之远征|玩法说明{n}{n}1、每周都有5次机会进行龙之远征{n}{n}2、每次远征战斗对boss造成的伤害都会累计，下次挑战boss时血量不会恢复{n}{n}3、每一章都有10个关卡，突破重重关卡最终挑战{n}{n}怪物狂暴{n}{n}关卡内boss在一段时间后会进入狂暴状态，伤害会大幅提升{n}{n}奖励{n}{n}1、每次挑战都可以获得一份固定的挑战奖励{n}{n}2、通关每个小关后可以获得大量奖励{n}{n}3、通关每章的最终关卡奖励将更加诱人
51	竞技场	XSys_Arena	竞技场|玩法说明{n}{n}1、可以在竞技场中和本服的玩家比拼战力，获胜可获得积分{n}{n}2、每天都会恢复竞技场挑战次数，也可以直接购买挑战次数{n}{n}3、竞技场无法手动操作，只允许自动战斗{n}{n}奖励说明{n}{n}1、每天都可以通过积分兑换大量奖励{n}{n}2、获胜可获得2积分，失败获得1积分{n}{n}3、每日会根据排名结算排名奖励以邮件发送给玩家{n}{n}4、排名上升后可以领取排名奖励
52	日常玩法	XSys_Activity	日常玩法|1、经验上限：玩家每日参与任意获得经验的玩法任务，可获得的经验不超过经验上限；{n}{n}2、当获得的经验达到上限（包括经验上限加成），则继续获得的经验将转换为基谷币（10000经验=1基谷币；不足10000经验无法获得）；基谷币可在基谷商店中兑换奖励{n}{n}3、当前角色等级达到满级时，可存储当前等级升级经验*3的经验，超出部分将全部转换为基谷币{n}{n}4、当前玩家等级＜世界等级一定等级后，可在每日重置时获得额外经验上限加成和经验获取加成{n}{n}5、每半年左右开放一次等级上限
53	竞技场列表	XSys_ArenaList	
54	天梯赛	XSys_Qualifying	天梯赛|玩法说明{n}{n}1、玩家通过匹配系统将会和别的玩家进行1v1对决{n}{n}2、在规定时间内击杀对方则可获胜，如果时间内没有完成击杀，则算作平局{n}{n}天梯评分{n}{n}1、初始评分为1500分，获胜获得评分，失败则扣减评分，评分低于1500分时不再扣减{n}{n}2、每3周结算一次评分奖励，结算时间为第三周的周日晚20:00整，系统会根据评分排名发送排名奖励给玩家{n}{n}3、每周都可以通过提升评分获得评分奖励{n}{n}匹配机制{n}{n}1、匹配时，会就评分相近的玩家进行匹配，分差过大时则无法匹配进一场战斗{n}{n}2、战胜评分越高的玩家，获得的天梯评分越高，反之亦然{n}{n}公平模式说明{n}{n}1、天梯赛为了保证公平性采用的是公平模式对抗{n}{n}2、在公平模式中玩家的血量，攻防等属性将转化成系统预设的属性{n}{n}3、公平模式技能等级不影响技能威力{n}{n}奖励{n}{n}1、每天参加天梯都可以获得额外的荣誉点奖励{n}{n}2、根据不同的评分每周都可以领取1次评分奖励{n}{n}3、每周会根据排名通过邮件发送排名奖励{n}{n}4、荣誉点可以在荣誉商店中购买心仪的道具
55	限时活动	XSys_MulActivity	
56	观战	XSys_Spectate	
57	日常玩法-鸭子	XSys_DailyAcitivity	
58	pvp活动	XSys_PVPAcitivity	
61	购买钻石	XSys_Money	
62	购买金币	XSys_Coin	
63	购买体力	XSys_Power	
65	商城	XSys_GameMall	
70	查看信息	XSys_OtherPlayerInfo	
71	聊天	XSys_Chat	
72	好友	XSys_Friends	
73	走马灯	XSys_Maquee	
76	切磋	XSys_PK	切磋|玩法说明{n}{n}1、玩家可以通过切磋按钮向别的玩家发起1v1切磋邀请{n}{n}2、被邀请方点击接受切磋邀请，如果双方都在主城或者公会地图，则会被一起传送到切磋场景进行1v1切磋竞技{n}{n}3、在切磋时间内，如果一方被杀死，则另一方切磋获胜。如果切磋时间内没有玩家被杀死，则判断剩余血量百分比，剩余血量多的那方切磋获胜
81	公会大厅	XSys_Guild_Hall	
82	狂欢营地	XSys_Guild_Casino	
83	福利大厅	XSys_Guild_Reward	
84	公会副本	XSys_Guild_Dungeon	
85	公会boss	XSys_Guild_Dragon	公会BOSS|1、活动奖励{n}{n}参与公会BOSS活动可以获得公会贡献{n}{n}2、活动时间{n}{n}每周二、四、六晚19：30-19：40开启公会BOSS活动{n}{n}3、参与条件{n}公会达到1级即可开启公会BOSS{n}{n}4、活动规则{n}活动开启后公会玩家可进入场景挑战BOSS{n}挑战时可以消耗龙币使用鼓舞提升本公会全体参与玩家攻击{n}活动时间内击杀BOSS下一次挑战的BOSS等级提升{n}活动时间内未击杀BOSS则下次活动重新挑战{n}每个新的公会BOSS在被首次击杀时，参与战斗的玩家都能获得首杀奖励{n}所有参与公会BOSS战斗的玩家都能在活动结束后获得参与奖励{n}完成对公会BOSS的最后一击击杀，即可获得击杀奖励{n}活动结束后系统会根据公会BOSS排名在公会拍卖行上架特殊稀有道具，供公会所有成员竞拍。参与战斗的玩家能够平分拍卖所得进行分红{n}该活动禁止使用佣兵
87	公会红包	XSys_GuildRedPacket	玩法说明|1.红包由会长或副会长发放，每日奖励5点刷新。{n}{n}2.公会在线人数越多，发放红包时奖励就会越高。{n}{n}3.每个红包的数量固定，每个成员当天最多领取4个签到红包。{n}{n}4.签到红包只关系到签到次数，不影响签到的级别。{n}{n}5.红包可发放时间为20:00-22:00。
86	公会擂台战	XSys_Guild_Pvp	公会擂台战|1、活动奖励{n}{n}所有参赛公会全体玩家可获得大量公会贡献与公会勋章{n}{n}巅峰决战冠、亚军公会可额外获得龙币{n}{n}2、活动时间{n}{n}开服第2周开放，两周为一个赛期{n}{n}赛期第一周周一至周二19:00公会会长、副会长报名{n}{n}赛期内每周二、周四晚20：00已报名公会进行积分赛{n}{n}赛期内第二周积分赛结束当周周六晚20：00进行巅峰对决{n}{n}3、参与条件{n}{n}公会达到2级即可报名参与{n}{n}4、活动规则{n}{n}积分赛共四场，已报名公会每场将随机匹配一个公会进行三轮6V6战斗{n}{n}每轮战斗击败敌方次数多的公会获胜，击败次数相同则伤害高的获胜{n}{n}参战公会成员需入场上阵，每一轮比赛胜利获得10积分{n}{n}失败不获得积分，每场积分赛每个玩家只能上阵一轮战斗{n}{n}积分赛结束排名前8的公会将入围巅峰对决于当周周六晚进行{n}{n}巅峰对决八强赛20：00入场、半决赛20：20入场、决赛20：40入场{n}{n}每场比赛参战公会玩家有2分钟时间入场上阵{n}{n}每个公会可以上阵5名成员进行1V1车轮战{n}{n}会长、副会长可以将尚未开始战斗的成员从上阵列表中移除{n}{n}所有参战公会全体成员都可以获得丰厚奖励{n}{n}活动结束后系统会根据擂台赛排名在公会拍卖行上架特殊稀有道具{n}{n}供公会所有成员竞拍。公会所有成员都能平分拍卖所得进行分红
88	矿脉争夺战	XSys_GuildMine	矿脉争夺战|1、活动奖励{n}{n}所有参与公会全体成员可获得大量公会贡献与公会勋章{n}{n}2、活动时间{n}{n}开服第2周开放{n}每周三晚20：00—20：20开启{n}{n}3、参与条件{n}{n}公会达到2级{n}{n}4、活动规则{n}{n}活动开启时将随机匹配3个公会攻掠同一矿脉{n}探索矿脉需至少3人组队，活动开启后有5分钟组队准备时间，准备时间结束后可由队长进行探索，探索完成后队长可选择不同矿点进行挑战{n}挑战矿点守卫怪物成功即可为公会获取矿脉资源{n}活动过程中有一定概率获得古代人仪式卡，玩家可以使用个人仪式卡获得强大属性增益，会长、副会长可以使用公会仪式卡对己方公会造成增益或对其他公会造成减益效果{n}活动时间结束时获得矿脉资源最多的公会获得胜利{n}活动结束后系统会根据公会排名在公会拍卖行上架特殊稀有道具，供公会所有成员竞拍，参与战斗的玩家能够平分拍卖所得进行分红{n}矿脉争夺战的公会拍卖行上架道具流拍后不会进入世界拍卖行
89	跨服公会战	XSys_Guild_Pvp	跨服公会战|1、参与公会选拔{n}{n}每个月的自然月第一周是跨服公会战公会选拔周，该周的领地争夺战成绩前5名将代表本服自动进入跨服公会战积分赛{n}{n}2、跨服公会战积分赛{n}{n}选拔出的公会默认会和相邻的4组服务器共20支公会采取积分赛，最终按照积分和总杀人数选出8个公会进入跨服淘汰赛{n}{n}3、跨服公会战淘汰赛{n}{n}进入八强的公会互相厮杀争夺跨服公会战冠军，失败的公会将被淘汰{n}{n}4、全服世界拍卖分红{n}{n}在跨服公会战决出冠军进行结算时，会根据服务器跨服公会战排名最高的公会排名，系统会发放全服世界拍卖奖励，供全服玩家竞拍，竞拍所得分红会分发到全服所有活跃玩家手中{n}{n}5、冠军竞猜支持{n}{n}在积分赛结束选出八强公会时，所有涉及的服务器玩家都可以从这八个公会中选择2个自己支持的公会，如果最终支持的公会获得冠军，则会获得一份竞猜奖励
90	组队	XSys_Team	
91	搞基谷		
92	管家	XSys_GayValleyManager	
93	登录奖励	XSys_SevenActivity	
94	头衔	XSys_Title	头衔|一、头衔用于展示人物当前战力的标识，随着人物等级不断提升，可以有机会获得更高阶的头衔，大幅提升自身战力值。{n}{n}二、高阶头衔的获取需要不同勋章，勋章可以从活动、公会拍卖、神官商店、公会商店和基谷休闲商店中获取。
98	军衔系统	XSys_MilitaryRank	军衔|一、军衔用于展示角色团体PVP的能力，随着不断获得胜利，军功不断提升，可以升级为更高阶的军衔。{n}{n}二、增加军功的活动有：[a431e2]英雄战场、保护队长、原力争夺[-]。{n}{n}三、军衔由低到高依次为预备役、士兵、突击队员、副官、队长、骑士、守护者、勇士、英雄和元帅共10档。{n}{n}四、当玩家的军功达到勇士的标准以后，根据军功排名，1-4名成为元帅军衔，5-100名为英雄军衔，100名以外依然是勇士军衔。{n}{n}五、以一个自然月为赛季，在赛季中，军功可以累积，自然月的最后一天晚上20点结算军功，根据玩家的军衔发放赛季奖励。同时军功重置，下个赛季重新开始累积军功。
103	竞技名人堂	XSys_HallFame	竞技名人堂|一、竞技名人堂展现的是上赛季排名前列的玩家的历史竞技数据。{n}{n}二、竞技名人堂上榜活动有：[a431e2]天梯赛、英雄战场、全球竞技和跨服巅峰对决[-]。{n}{n}三、竞技名人堂数据刷新以后，玩家可以点赞，上榜的玩家可以分享自己的战绩到社交软件中{n}{n}
110	关卡-主线	XSys_Level_Normal	
111	组队深渊	XSys_Level_Elite	
112	关卡-扫荡	XSys_Level_Swap	
119	装备改造	XSys_Item_Reform	改造|一、改造的作用{n}{n}改造装备将获得最优的随机属性组合{n}{n}二、如何改造{n}{n}只有传说级装备可以进行改造，每次改造需要消耗掉另一件传说级同部位的装备，将消耗的装备随机属性中的某一条替换改造的装备属性{n}{n}三、指定属性{n}{n}改造的装备可以指定想要改造的属性，根据属性不同消耗不同的改造石{n}{n}四、属性排除{n}{n}用于被改造的装备可以排除若干条不需要的属性，剩余的属性中会随机一条属性替换改造装备中指定的属性{n}{n}五、改造特技{n}{n}特技属性也可以用于改造，可以赋予或者替换改造装备的特技属性{n}{n}四丶改造装备的获得{n}{n}1、参加噩梦庭院、大师龙本等活动{n}{n}2、积攒传说碎片进行兑换
120	装备-装备	XSys_Item_Equip	装备|一、装备的作用{n}{n}穿戴装备可获得战力提升{n}{n}二、装备的分类{n}{n}装备从低到高分为C,B,A,S,L 一共5种品质，穿戴越高品质的装备可获得更高战力提升{n}{n}三、装备的外形{n}{n}1、12级B品质以上的装备，只要拥有后即永久获得装备外形，点击时装界面下的衣柜按钮可进行装备外形设置{n}{n}四、装备的获得{n}{n}深渊、巢穴、龙穴可掉落装备{n}{n}五、高级属性介绍{n}{n}1、物魔穿透: 在角斗场里百分比无视目标对应防御属性，数值越高，穿透效果越强{n}{n}2、攻防等级: 攻击等级在角斗场提供伤害增益效果，防御等级在角斗场提供伤害减免效果；对应数值越高，效果越强{n}{n}3、反射: 在角斗场里将目标的伤害按一定百分比反弹给玩家，数值越高，效果越强{n}{n}4、致命伤害抵抗: 在角斗场减少目标致命一击伤害的效果，数值越高，减免效果越强{n}{n}5、硬直: 在角斗场目标破霸体后，增加目标硬直的时间；数值越高，硬直时间越长{n}{n}6、治疗强度: 在角斗场里增加生命回复效果{n}{n}7、晕眩抵抗: 抵抗目标特技晕眩触发的概率{n}{n}8、沉默抵抗:抵抗目标特技沉默的持续时间 {n}{n}9、冰冻抵抗: 抵抗目标特技冰冻减速的持续时间{n}{n}10、致盲抵抗: 抵抗目标特技致盲的持续时间{n}{n}11、硬直抵抗: 减少被目标破霸体后硬直的时间，数值越高，被击硬直的时间越短
121	装备强化	XSys_Item_Enhance	强化|一、强化的作用{n}{n}强化装备将获得战力提升{n}{n}二、如何强化{n}{n}选择要强化的装备点击强化按钮，有大概率提升装备的强化等级，强化等级越高获得的属性越多， 随着人物等级提升可增加强化等级上限{n}{n}三、强化特效{n}{n}当全身强化到20级，40级，60级时将获得武器闪耀特效{n}{n}四丶强化材料的获得{n}{n}1、参加黑暗神殿活动{n}{n}2、在龙币商城-道具中购买{n}{n}3、在钻石商城-道具中购买
122	装备龙玉	XSys_Item_Jade	龙玉|一、龙玉的作用{n}{n}镶嵌在装备上可大幅度提升战力{n}{n}二、如何使用{n}{n}选择对应装备后，点击龙玉镶嵌，龙玉的形状必须和装备孔的形状一致，否则不可镶嵌。同时随着人物等级提升可以镶嵌更高等级的龙玉{n}{n}三、普通龙玉获得{n}{n}普通龙玉包含：巨熊、疾风、智慧、生命、破坏、壁垒、坚韧、魔力、帷幕、致命、全能{n}{n}1、分解龙玉可获得通用龙玉币，在龙玉商店中可兑换龙玉{n}{n}2、在龙币商城-龙玉购买{n}{n}3、在钻石商城-龙玉购买{n}{n}四、极品龙玉获得{n}{n}极品龙玉包含：残暴、火抗、水抗、暗抗、光抗、元素防、元素攻、双防{n}{n}1、极品龙玉宝箱可通过在钻石商城-礼包购买获得{n}{n}2、龙玉钥匙可通过交易所-拍卖行竞拍获得{n}{n}3、龙玉钥匙可通过龙玉商店兑换获得{n}{n}五、龙玉组合{n}{n}1、70级开放龙玉组合功能，镶嵌指定龙玉可激活龙玉组合，可大幅提升战力{n}{n}2、当满足多种龙玉组合激活时，自动激活战力最高的组合效果{n}{n}六、龙玉强化{n}{n}1、60级后开放龙玉强化功能，每次强化升级后可提升基础属性的等级，所有属性等级均提升后可进一步激活龙玉倍率强化，进而大幅提升所有镶嵌龙玉的属性
123	装备精通	XSys_Item_Reinforce	
124	装备洗炼	XSys_Item_Smelting	洗炼|一、洗炼的作用{n}{n}洗炼装备和纹章可获得更高的洗炼属性，获得战力提升{n}{n}二、如何洗炼装备和纹章{n}{n}纹章可点击洗炼按钮进行操作，洗炼时选择一条洗炼属性进行操作，洗炼后随机在可洗炼数值范围内获得一个属性值，洗炼出比当前更高的属性值时才会进行属性替换，否则不进行属性值替换操作{n}{n}130级以上装备3条洗炼属性满值，即可洗炼装备随机属性，可通过洗炼随机增加属性{n}{n}150级传说及以上森林龙装备在装备随机属性洗满后，可额外洗炼神秘随机属性，提高随机属性上限{n}{n}三、洗炼材料的获得{n}{n}1、参加深渊副本、龙穴副本可获得装备洗炼材料{n}{n}2、分解纹章可获得纹章洗炼材料{n}{n}3、已洗炼的装备和纹章进行洗炼返还可获得一定洗炼材料
126	纹章洗炼	XSys_Emblem_Smelting	洗炼|一、洗炼的作用{n}{n}洗炼装备和纹章可获得更高的随机属性，获得战力提升{n}{n}二、如何洗炼装备和纹章{n}{n}纹章可点击洗炼按钮进行操作，洗炼时选择一条随机属性进行洗炼，洗炼后随机在可洗炼数值范围内获得一个属性值，洗炼出比当前更高的属性值时才会进行属性替换，否则不进行属性值替换操作{n}{n}三、洗炼材料的获得{n}{n}1、参加物资副本可获得装备洗炼材料{n}{n}2、分解纹章可获得纹章洗炼材料{n}{n}3、已洗炼的装备和纹章进行洗炼返还可获得一定洗炼材料
130	技能-升级	XSys_Skill_Levelup	
131	转职	XSys_Skill_Promote	
140	人物-属性	XSys_Char_Attr	
141	纹章	XSys_Char_Emblem	纹章|一、纹章的作用{n}{n}纹章分为属性纹章和技能纹章，140级新增神秘属性纹章，穿戴属性纹章，神秘属性纹章将获得属性提升，穿戴技能纹章将增强技能的效果。技能纹章品质越高，加成战力越高，同品质战力加成一样，在pvp中技能纹章效果无效{n}{n}二、如何使用{n}{n}1、点击纹章后选择装备即可，同类型的纹章同时只能佩戴一个{n}{n}2、下方的三个神秘属性纹章孔位只能装备神秘属性纹章，上方的8个属性孔位，属性纹章和神秘属性纹章均可装备{n}{n}三、纹章的获得{n}{n}1、属性纹章：消耗属性金属板，通过制作获得指定属性的纹章{n}{n}2、神秘属性纹章：140级的BOSS RUSH产出的纹章袋子中概率获得 {n}{n}3、技能纹章：B级技能纹章消耗技能金属板，通过制作获得指定技能的纹章。A级和S级技能纹章需要在纹章铭文商店用相应等级的纹章碎片换取{n}{n}四、纹章属性转换{n}{n}职业切换后，普通纹章基础属性保留不变，鉴定属性将根据规则改为相应属性。{n}{n}五、神秘属性纹章的属性{n}{n}神秘属性纹章的第一条属性范围为力量，敏捷，智力，体质，物理攻击，魔法攻击，第二条属性随机范围为力量，敏捷，智力，体质，第三条属性的随机范围与属性纹章相同
160	时装	XSys_Fashion_Fashion	时装|一、时装的作用{n}{n}穿戴时装将获得靓丽的外形并且大幅度提升战力{n}{n}二、如何使用{n}{n}选择要穿戴的时装后点击装备，获得时装属性，可在衣柜中设置时装外形{n}{n}三、时装的获得{n}{n}1、使用荣誉点在荣誉商店中兑换，使用时装碎片可以在商店-个性商店中兑换，挑战巢穴、龙本有概率获得时装{n}{n}2、在钻石商城-时装购买{n}{n}四、时装外形设置{n}{n}1、衣柜是设置外形显示的地方，衣柜中设置的时装仅会影响外形显示，并不会对战斗力产生影响{n}{n}2、曾经获得过的永久时装，有外形的装备将永久存入衣柜中，哪怕销毁了该永久道具也可在衣柜中保存外形{n}{n}3、已激活时效的时效时装在时效期内临时存入衣柜中，时效期过后将从衣柜中移除
161	衣柜	XSys_Fashion_Wardrobe	衣柜|1、什么是衣柜{n}{n}衣柜是设置外形显示的地方，衣柜中设置的时装仅会影响外形显示，并不会对战斗力产生影响{n}{n}2、如何丰富衣柜{n}{n}曾经获得过的永久时装，有外形的装备将永久存入衣柜中，哪怕销毁了该永久道具也可在衣柜中保存外形{n}{n}已激活时效的时效时装在时效期内临时存入衣柜中，时效期过后将从衣柜中移除{n}{n}3、什么是魅力属性{n}{n}收藏永久时装和有外形的装备可手动激活魅力属性，一次激活，永久增加战斗力哦
162	时装合成	XSys_Fashion_Compose	时装合成|1、合成时装的作用{n}{n}消耗[a431e2]相同部位、相同品质、永久时装[-]可以进行时装合成{n}通过时装合成可获得更高品质时装，最高可获得S级时装{n}{n}2、如何合成时装{n}{n}选定要合成的时装部位后，放入可参与合成的时装点击合成{n}合成成功将扣除两件消耗品时装并获得更高品质时装{n}合成失败将随机扣除一件消耗品时装{n}合成失败后将会提升目标时装的合成成功率{n}{n}3、时装的获得{n}{n}通过钻石商城购买，挑战巢穴、龙本关卡有概率获得，可通过荣誉商店和个性商店兑换
180	装备回收	XSys_Recycle_Equip	分解|1、 分解会获得金币{n}{n}2、镶嵌了龙玉的装备分解时将返还龙玉{n}{n}3、纹章分解时将返还纹章洗炼石{n}{n}4、地狱龙本装备分解时将获得龙币{n}{n}5、注灵后的装备分解返还80%注灵水{n}{n}6、魔化巢穴、龙本与远古红龙装备分解后得注灵水{n}{n}7、装备分解后返还已消耗的装备洗炼石{n}{n}8、装备分解后将返还80%已消耗的装备升级石
181	龙玉回收	XSys_Recycle_Jade	
190	背包-包裹		
200	T台投票	XSys_TShow_Vote	
201	T台排行	XSys_TShow_Main	
260	阵营大厅	XSys_Camp_CampHall	
261	人事大厅	XSys_Camp_MemberHall	
280	角斗场	Xsys_DuelPVP	角斗场|玩法说明{n}{n}1、角斗场为1V1，非公平PVP{n}{n}2、角斗场根据战斗力平衡角色部分基础属性数值，战斗力越高平衡系数越大{n}{n}3、角斗场每天指定时间参与战斗可根据胜负增减段位星数和奖励{n}{n}4、角斗场段位≤不屈白银1，失败不会扣除段位星级{n}{n}5、角斗场初始段位根据角色战斗力进行定级{n}{n}6、角斗场每月为1个赛季，赛季结束后发放排名奖励，重置段位，重置段位领取次数{n}{n}7、角斗场优先匹配段位相近且战力相近的玩家，支持跨服匹配{n}{n}8、＞3天以上不进行角斗场匹配战斗，系统强制进行降段位星数{n}{n}9、角斗场仅支持学者银色机甲师攒点觉醒变身，其他职业不支持{n}{n}10、龙器无法在角斗场战斗中生效
290	称号	XSys_Design_Designation	
291	成就	XSys_Design_Achieve	
320	神秘商店	XSys_Mall_MystShop	
321	普通商店	XSys_Mall_Mall	
322	时装商店	XSys_Mall_Fasion	
323	荣誉商店	XSys_Mall_Honer	
324	公会商店	XSys_Mall_Guild	
325	女神商店	XSys_Mall_Jade	
330	32A装兑换	XSys_Mall_32A	
331	40A装兑换	XSys_Mall_40A	
332	50A装兑换	XSys_Mall_50A	
333	60A装兑换	XSys_Mall_60A	
345	小变强	XSys_Strong_Brief	
350	成就	XSys_Reward_Achivement	
351	活跃度	XSys_Reward_Activity	
352	系统奖励	XSys_Reward_System	
353	签到奖励	XSys_Reward_Login	
410	战斗力排行	XSys_Rank_PPT	
411	等级排行	XSys_Rank_Level	
412	公会排行		
413	时装排行		
450	装备套装制作	XSys_EquipCreate_EquipSet	
451	纹章制作	XSys_EquipCreate_EmblemSet	
