ID	Classify	Comment	GlobalConfigReference	Sort	Text	Type	Range	Default	OptionText
2062	2|2	战斗时手动垂直镜头速度(0~1)	ManualCameraSpeedYInBattle					0.15	
2071	2|1	战斗时手动垂直镜头阻尼(1~20)	ManualCameraDampYInBattle					10	
2072	2|2	战斗时手动垂直镜头阻尼(1~20)	ManualCameraDampYInBattle					10	
2081	2|1	距离权重(或者长度)(玩家通过摇杆选目标)	RangeWeight					10	
2082	2|2	距离权重(或者长度)(玩家通过摇杆选目标)	RangeWeight					10	
2091	2|1	Boss权重	BossWeight					10	
2092	2|2	Boss权重	BossWeight					10	
2101	2|1	精英权重	EliteWeight					2	
2102	2|2	精英权重	EliteWeight					2	
2111	2|1	小怪权重	EnemyWeight					1	
2112	2|2	小怪权重	EnemyWeight					1	
2121	2|1	物件权重	PupetWeight					0	
2122	2|2	物件权重	PupetWeight					0	
2131	2|1	目标玩家权重	RoleWeight					10	
2132	2|2	目标玩家权重	RoleWeight					10	
2141	2|1	怪物无敌权重(玩家不受影响)	ImmortalWeight					-10	
2142	2|2	怪物无敌权重(玩家不受影响)	ImmortalWeight					-10	
2151	2|1	指定时间内的角度变化小于该值，即开始一次怪物选择	WithinScope					360	
2152	2|2	指定时间内的角度变化小于该值，即开始一次怪物选择	WithinScope					360	
2161	2|1	距离判断粒度	WithinRange					1	
2162	2|2	距离判断粒度	WithinRange					1	
2171	2|1	step2辅助选怪角度(用于侧方移动时选择画面中央的目标)	AssistAngle					60	
2172	2|2	step2辅助选怪角度(用于侧方移动时选择画面中央的目标)	AssistAngle					0	
2181	2|1	step1各职业预选目标范围	ProfRange					0	
2182	2|2	step1各职业预选目标范围	ProfRange					0	
2191	2|1	step1各职业预选目标范围(long)	ProfRangeLong	1	智能锁定目标距离	2	5=15|5=15|5=15|5=15|5=15|5=15|5=15	8=12=10=8=10=8=10|8=12=10=8=10=8=10|8=12=10=8=10=8=10	近|远
2192	2|2	step1各职业预选目标范围(long)	ProfRangeLong					0	
2201	2|1	step3各职业预选目标范围(360度)	ProfRangeAll					5=8=7=5=7=5=7|5=8=7=5=7=5=7|5=8=7=5=7=5=7	
2202	2|2	step3各职业预选目标范围(360度)	ProfRangeAll					0	
2211	2|1	step4镜头自动矫正角度阈值	CameraAdjustScope					0	
2212	2|2	step4镜头自动矫正角度阈值	CameraAdjustScope					0	
2221	2|1	step1各职业预选目标角度	ProfScope					60	
2222	2|2	step1各职业预选目标角度	ProfScope	1	自动校准角度	0	0=60|0=60|0=60|0=60|0=60|0=60|0=60	30	小|大
3011	3|1	摇杆位置	OD_LOCK_ROCKER	1	是否锁定摇杆位置			0	
3012	3|1	3Dtouch	OD_3D_TOUCH	6	是否开启3D Touch（重按屏幕把视角调整到人物面向）	1		0	
3013	3|1	陀螺仪	OD_Gyro	7	是否开启陀螺仪（通过陀螺仪旋转视角）	1		0	
3014	3|1	屏蔽队友技能特效		4	屏蔽队友技能特效	1		0	
3015	3|1	屏蔽队友召唤物	OD_Shield_Summon	5	屏蔽队友召唤物	1		0	
3016	3|1	聊天频道只显示组队信息	OD_Shield_NoTeam_Chat	2	聊天频道只显示组队信息	1		0	
3017	3|1	屏蔽自己技能特效		3	屏蔽自己技能特效	1		0	
3018	3|1	觉醒槽开启	OD_Awake_Slot		显示觉醒槽	0		0	
3020	3|1	开启技能摇杆	OD_ENABLE_SKILL_JOYSTICK	8	开启技能罗盘指示器	1		0	
3021	3|1	开启技能自动寻找目标	OD_Auto_Target	9	开启技能自动寻找目标	1		0	
3022	3|1	锁定BOSS时开启solo模式	OD_Select_Target	10	是否启用Boss锁定镜头（需在战斗中点击Boss头像）	1		1	
3023	3|1	关闭变身外形变换	OD_Fashion_NO_Change	11	关闭变身外形变换	1		0	
3024	3|1	记录是否屏蔽陌生人私聊	OD_CHAT_PRIVATE		记录是否屏蔽陌生人私聊	1		0	
3025	3|1	关闭技能模糊	OD_Shield_Skill_Effect	12	关闭技能模糊	1		0	
