Enum	Text
ERR_TEAM_TICKET_LESS	If you don't have a ticket, please go to the Dragon Coin Store to buy it
ERR_TEAM_USE_TICKET_COUNT_LESS	Tickets can only be used 7 times a day, please come back tomorrow
ERR_TEAM_TICKET_CONFIG	Tickets cannot be used in this level
ERR_TEAM_TICKET_SEAL	Insufficient seal level
ERR_TEAM_TICKET_SUCCESS	Switched to using tickets, tickets will be consumed first
ERR_TEAM_CANNOT_FORNOW	This operation is not currently supported
ERR_TEAM_SERVER_NOT_MATCH	Server progress does not match
ERR_TEAM_DIAMOND_COST_LIMIT	The cumulative consumption of diamonds does not meet the requirements
ERR_TEAM_DIAMOND_SET_LIMIT	The number of opening bounties is reset at 5:00 every Monday
ERR_TEAM_CROSS_TEAM_CHANGE_EXP	Cross-server teams do not support switching levels
ERR_TEAM_CHANGE_EXP_TO_CROSS	It is not supported to switch the team from this server to a cross server
ERR_TEAM_DONOT_HANDLE	This operation is not supported
ERR_TEAM_RIFT_CHANGE_LEADER	Infinite Fantasy does not support switching captains
ERR_TEAM_RIFT_MATCH	Infinite Fantasy does not support matchmaking
ERR_TEAM_RIFT_CHANGE_EXP	Switching to the infinite fantasy level is not supported
ERR_NPCFL_NEED_REFRESH	Data has changed
ERR_NPCFL_NPC_LEVEL_MAX	The level has reached the upper limit of the current seal segment
ERR_NPCFL_ITEM_LESS	Not enough items
ERR_NPCFL_EXP_LESS	Lack of experience
ERR_NPCFL_UNITE_LEVEL_LESS	Insufficient bond level
ERR_NPCFL_GIVE_GIFT_COUNT_LESS	Not enough gifts
ERR_NPCFL_BUY_GG_COUNT_LESS	Not enough purchases
ERR_NPCFL_DRAGON_COIN_LESS	Insufficient Dragon Coins
ERR_ACT_NOT_OPEN	The event has not started yet
ERR_INVFIGHT_ROLE_LOGOUT	The other party is offline
ERR_INVFIGHT_ME_LEVEL	Your level is not enough
ERR_INVFIGHT_ME_SCENE	you are not in a valid scene
ERR_INVFIGHT_OTHER_LEVEL	The opponent's level is insufficient
ERR_INVFIGHT_OTHER_SCENE	The other party is not in a valid scene
ERR_INVFIGHT_INV_REPEAT	Repeat invitation
ERR_INVFIGHT_INV_COUNT_MAX	Invitation limit reached
ERR_INVFIGHT_INV_TIME_OVER	Invitation has expired
ERR_INVFIGHT_INV_DELAY	Invitation is busy, please try again later
ERR_INVFIGHT_INV_TO_COUNT_MAX	The other party has reached the limit of invitations, please try again later
ERR_OP_ROLE_LEAVE	The other party has left
ERR_SYS_NOTOPEN	System is not turned on
ERR_PVP_TEAM_MATCH	The team is entering the matchmaking queue and cannot join temporarily
ERR_SCENE_TIMELIMIT	Time to enter the scene has not come
ERR_SCENE_COOLDOWN	The scene is cooling down, please wait
ERR_WORLDBOSS_DEAD	This world BOSS has been killed, wait for the next event
ERR_WORLDBOSS_NOPEN	Only at level {0} can you challenge the world boss
ERR_ACHIVE_NOTCOMPLETE	Achievement not yet completed
ERR_ACHIVE_NOTCONFIG	This achievement was not found
ERR_REINFORCE_LEVELLIMIT	Level up
ERR_REINFORCE_LACKMONEY	Insufficient materials required
ERR_LOGIN_TIMEOUT	Login timed out
ERR_LOGIN_NOSERVER	The network is abnormal and cannot be connected, please check the network and network access permission settings, switch wifi/4G
ERR_SKILL_NOT_MATCH	Skill match failed
ERR_SHOP_LEVELLIMIT	Requires level {0} to purchase
ERR_SHOP_PPTLIMIT	Buying items requires higher combat power!
ERR_SHOP_DAILYCOUNTLIMIT	Today's purchases are full!
ERR_SHOP_COUNTLIMIT	Purchases are full!
ERR_CHAT_LEVELLIMIT	This channel requires level 10 to open
ERR_CHAT_LENGTHLIMIT	The maximum number of characters entered
ERR_CHAT_TIMELIMIT	Sending too frequently, you can send again after {0} remaining
ERR_CHAT_BLACK_INSELF	Can't private chat with blacklisted players
ERR_CHAT_BLACK_INOTHER	You are in the other party's blacklist, the other party will not receive the message
ERR_FRIEND_MAX	The number of friends has reached the limit
ERR_FRIEND_REPEATED	The player is already in the friends list
MALL_CURSTAGEMAX	The maximum value of the current price range has been reached
ERR_FRIEND_NOTEXIST	The added friend does not exist
ERR_BLACK_INSELF	The player is in the blacklist and cannot be added as a friend
ERR_BLACK_INOTHER	You are in the other party's blacklist and failed to add friends
ERR_BLACK_NOTEXIST	The player is not on the blacklist
ERR_SESSION_KICKOFF	Repeat login
ERR_ALIVE_TIMEOUT	Connection failed
ERR_GS_CLOSED	Connection failed
ERR_SKILL_NEED_PRESKILL	Need to learn prerequisite skills
ERR_SKILL_NEED_EXPRESKILL	Need to learn the non-EX version of this skill first
ERR_FLOWER_SELF	You can't give yourself flowers
ERR_FLOWER_COUNTLIMIT	Today's flower delivery is full
ERR_FLOWER_ROLELIMIT	The player has been sent today
ERR_FLOWER_COSTLIMIT	Insufficient currency required to send flowers
ERR_FLOWER_NOT_ENOUGH	Not enough flowers
ERR_GUILD_NOT_IN_GUILD	Haven't joined the guild yet
ERR_GUILD_MEMBER_NOT_EXIST	The member is no longer in the guild
ERR_GUILD_NOT_EXIST	No guild to join
ERR_GUILDCARD_ALLCOUNTLIMIT	The Joker Poker Guild is full today
ERR_GUILDCARD_COUNTLIMIT	Joker Poker Individual total today is full
ERR_GUILDCARD_CHANGELIMIT	Joker Poker's personal changes are full today
ERR_GUILDCHECKIN_LIMIT	Guild sign-in completed
ERR_GUILDCHECKIN_MONEY	Not enough currency for guild sign-in
ERR_GUILDCHECKIN_TAKEN	Treasure box has been received
ERR_GUILDCHECKIN_BOXLIMIT	Insufficient number of current check-ins
ERR_GUILD_OPENLIMIT	Guild function is not open
ERR_GUILDCHECKIN_ALLCOUNT	The total number of guild sign-ins is full
ERR_GUILD_NAME_TOO_SHORT	Guild name is too short
ERR_TEAM_GUILD_DAYCOUNT	Today's attendance has been exhausted
ERR_SHOP_OPENLIMIT	store not yet open
ERR_REWARD_TAKEN	Reward has been claimed
ERR_REWARD_LIMIT	Did not meet the award conditions
ERR_REWARD_NOTEXIST	Reward does not exist
ERR_GUILD_DRAGONOPEN	Only at level {0} can you challenge the guild boss
ERR_GUILD_WAITAPPROVAL	Application has been submitted, please wait for approval
ERR_GUILD_VICE_FULL	The number of guild vice presidents has reached the upper limit
ERR_GUILD_OFFICER_FULL	The number of guild officials has reached the limit
ERR_GUILD_ELITE_FULL	The number of elites in the guild has reached the upper limit
ERR_TEAM_NOT_IN_HALL	team members in battle
ERR_LACKCOIN	Gold inadequate
ERR_LACKDIAMOND	Not enough diamonds
ERR_SMELTING_INVALID	Purification failed
ERR_SMELTING_TRANSINVALID	transfer failed
ERR_LOGIN_FORBID	You have been suspended due to illegal game behavior{0}{n}will be unblocked at {1}{n}Please regulate game behavior
ERR_PLAT_BANACC	You have been suspended due to illegal game behavior{n}will be unblocked at {0}{n}Please regulate game behavior
ERR_ITEM_COOLDOWN	item is cooling
ERR_SCENE_NOT_IN_CONFIG	scene not configured
ERR_LOGIN_MAXNUM	full online
ERR_SMELTING_LACKMONEY	Insufficient props required
ERR_OTHER_GAOJIGU_NOTOPEN	There are too many people who beat the world BOSS, let's challenge again in 4 minutes
ERR_FISHING_NUMNOTENOUGH	Not enough fishing
ERR_FISHING_ALREADYSEAT	already occupied
ERR_FISHING_SEATNOTEMPTY	This location is already occupied
ERR_SLOTATTR_MONEYLIMIT	Insufficient material
ERR_SLOTATTR_LEVELLIMIT	The event is about to end, you cannot join, please wait for the next event to start
ERR_SLOTATTR_NOEQUIP	Equip hole not activated
ERR_PK_NOMATCH	The match request has expired
ERR_TRANSFER_LACKMONEY	Insufficient props required for transfer
ERR_AUCT_HAVEBIDDING	There is already a bid, can not be removed
ERR_AUCT_ITEMOUTSALE	has been removed
ERR_AUCT_PRICECHAGE	price has changed
ERR_AUCT_POINTLESS	Insufficient amount of dragon coins
ERR_AUCT_SURPASSSELF	No need to exceed your own bid
ERR_AUCT_DRAGONCOINLESS	Insufficient Dragon Coins
ERR_AUCT_BUYSELF	Can't buy self-sell items
ERR_AUCT_ONSALEMAX	Listed items are full
ERR_AUCT_COMMONERR	operation failed
ERR_AUCT_ITEMSALED	item sold
ERR_AUCT_ITEM_LESS	Insufficient quantity of goods
ERR_AUCT_ITEM_LOCK	The item is locked by another player, please wait
ERR_AUCT_PRICE_NOTCHANGE	The price has not changed, the operation is invalid
ERR_AUCT_AUTOREFRESH_TIME	Auto refresh failed
ERR_AUCT_AUCTOVER	The price of the item you bid is exceeded, and the auction currency is directly returned to the character
ERR_AUCT_RECOMMEND_PRICE_CHANGE	Recommended price change, please get it again
ERR_TEAMBUY_COUNT_MAX	Purchase limit has been reached
ERR_TEAMBUY_DIAMOND_LESS	Not enough diamonds
ERR_TEAMBUY_DRAGONCOIN_LESS	Insufficient Dragon Coins
ERR_AUCTGOLDLESS	Gold inadequate
ERR_ADDFRIEND_DUMMYROLE	The other party has turned off the friend function
ERR_VERSION_FAILED	Found a new version v{0} (restart the game to update)
ERR_EXPBACK_ALREADYGET	received
ERR_PK_OPENTIME	1:1 Ladder competition has not reached the opening time
ERR_WORD_FORBID	contains sensitive words
ERR_RECHARGE_NOT_OPEN	Not yet open for recharge
ERR_TEAM_TOWER_DAYCOUNT	Not enough
ERR_TOWER_INSWEEP	sweeping
ERR_TOWER_FLOOR_NOTENOUGH	Layers do not match
ERR_ILLEGAL_CODE	Contains illegal characters
ERR_TEAM_NOJOININBATTLE	In battle, cannot join other teams
ERR_OP_EXP_NOT_OPEN	The opponent's level is not open
ERR_FRIEND_MAX_OTHER	The number of friends of this player has reached the limit
ERR_FRIEND_SENDLIMIT	Reached the total number of gifts for the day
ERR_FRIEND_TAKENLIMIT	Reached the total number of gifts received on the day
ERR_ROLE_NOTEXIST	player does not exist
ERR_RANDOMFRIEND_CD	Refreshing too often, please try again later!
ERR_ENHANCE_TRANSLEVEL	This equipment has an enhancement level and cannot be used as a target equipment
ERR_ENHANCE_TRANSPOS	Only the equipment of the same position can be enhanced and transferred
ERR_ENHANCE_NO_EQUIP_CAN_TRANSFORM	There is currently no suitable equipment for enhanced transfer
ERR_FRIEND_HASSEND	A gift was given to this player today
ERR_GUILD_APPLYFULL	The application list is full, please contact the guild leader, or join another guild
ERR_BLACK_CHAT	The other party has added you to the blacklist and cannot chat privately
ERR_PVP_ROLE_INBATTLE	Some players have not left the battle scene
ERR_FRIEND_MAXOTHER	This player's friends are full and cannot be added
ERR_FRIEND_SELF	Unable to add myself as a friend
ERR_BLACK_MAX	The number of blacklists has reached the limit
ERR_QA_OVER_NAME_TIME	Sorry, you missed your registration for the Quiz Party and cannot attend the Quiz. {n}Please register within 5 minutes after the event starts~
ERR_QA_IN_OTHER_TYPE	you are doing other quizzes
ERR_QA_ALEADY_IN_ROOM	You are already in another answering room
ERR_QA_NO_DATA	Elena got the wrong answer board, go and report the problem
ERR_QA_NO_GUILD	You have not joined the guild
ERR_QA_NO_COUNT	You have run out of answers
ERR_QA_NO_GUILD_ROOM	There is no guild answer room
ERR_AUDIO_NOT_EXIST	no voice found
ERR_WATCH_LIVEISOVER	This show has ended, please choose another show to watch
ERR_WATCH_LIVEISFULL	The number of spectators is full, please choose another game to watch
ERR_WATCH_WAIT	Please come in later
ERR_COMMENDWATCH_COUNTLIMIT	Clicking too fast, take a break and click again
ERR_DRAGON_TICKET_NOTENOUGH	Insufficient tickets, please go to the designated nest to get
ERR_DRAGON_PROGRESS_INVALID	Your challenge progress and team do not match
ERR_SKILL_MAXLEVEL	This skill has been upgraded to the highest level
ERR_UNKNOWN	unknown mistake
ERR_MS_UNREADY	Game server not ready
ERR_GS_UNREADY	Game server not ready
ERR_TITLE_MAX	The title has reached the highest level
ERR_TITLE_LACKITEM	Insufficient items for title upgrade
ERR_TITLE_PPTLIMIT	Insufficient combat power required for title upgrade
ERR_SPRITE_NOTFIND	The sprite was not found
ERR_SPRITE_NOTREBIRTH	Elves cannot be reborn
ERR_SPRITE_LEVELMAX	The elf level has reached the current maximum level
ERR_SPRITE_EVOLUTION_LEVELMAX	Elf Rising Star has reached the highest level
ERR_SPRITE_EVOLUTION_LEVELLIMIT	Insufficient level required for elves to upgrade to stars
ERR_SPRITE_EVOLUTION_LACKOFCOST	Insufficient Elf Star Rising Potion
ERR_SPRITE_AWAKE_LACKOFCOST	Spirit Awakening Potion Insufficient
ERR_SPRITE_LEVELUP_LACKOFCOST	Insufficient elves feeding props
ERR_SPRITE_ALREADY_INFIGHT	The elf has gone to battle
ERR_SPRITE_INFIGHT_FULL	The battle elves are full
ERR_SPRITE_ALREADY_OUTFIGHT	The elf did not fight
ERR_SPRITE_INFIGHT_SAMETYPE	Your elves have reached the upper limit of 80, please disassemble some elves first
ERR_SPRITE_ALREADY_ISLEADER	The elf is already the captain
ERR_SPRITE_EVOLUTION_ROLE_LEVELLIMIT	Insufficient character level required for elves to rise to stars
ERR_SPRITE_AWAKE_ROLE_LEVELLIMIT	Insufficient character level required for Spirit Awakening
ERR_SMELT_MINLEVEL	Insufficient level of items required for purification
ERR_FASHION_NOT_EXIST	fashion does not exist
ERR_GMF_UP_FULL	The squad is full
ERR_GMF_UP_INCOOL	Removed by the guild leader, cooling down
ERR_GMF_NOPOWER_KICK_LEADER	You do not have the right to kick the chairperson
ERR_GCF_UP_PROFESSION_REPEAT	Unable to repeat the first and second career change
ERR_INSPIRE_COOLDOWN	Inspiration cooling
GUILDARENA_INSPIRE_NOTICE	Inspirational success, participating members get attack bonus!
ERR_GMF_DOWN_FIGHTING	is fighting
ERR_GMF_DOWN_HAVEFAILED	you have been defeated
ERR_GMF_UPBATTLE_REPEAT	Not repeatable
ERR_ROLE_LOGOUT	Player is offline
ERR_BAG_FULL	The package is full, the props have been sent to the mailbox
ERR_BAG_FULL_TAKEOFF_EQUIP	The package is full and the gear cannot be unloaded
ERR_BAG_FULL_TAKEOFF_FASHION	The package is full and cannot be unloaded
ERR_BAG_FULL_TAKEOFF_EMBLEM	The package is full and the coat of arms cannot be removed
ERR_BAG_FULL_TAKEOFF_JADE	The package is full and the dragon jade cannot be unloaded
ERR_BAG_FULL_GIVE_MAIL_REWARD	The package is full and the mail cannot be picked up
ERR_BAG_FULL_TAKEOFF_ARTIFACT	The package is full and the dragon can't be unloaded
ERR_ARTIFACT_INSCRIPTION_LEVEL	The dragon weapon is inconsistent with the inscription level and cannot be inlaid
ERR_PANDORA_LACKOF_FIRE	Insufficient props required to activate
ERR_GOLDCLICK_LIMIT	The number of redemptions for today has been used up
ERR_DRAGONCOIN_LIMIT	Insufficient Dragon Coins
ERR_NOT_ENOUGH	Insufficient {0}
ERR_MS_UNNORMAL	The server is abnormal, please try again later, Irene is urging the programmer
ERR_RECONNECT_FAIL	You are disconnected from the server, please try logging in again
ERR_CAMERA_ROT	The current viewing angle cannot be rotated horizontally under the 2.5D viewing angle
ERR_WECHAT_NOT_INSTALLED	Please install WeChat first
ERR_QQ_NOT_INSTALLED	Please install QQ first
ERR_REQUEST_REPEAT	request to repeat
ERR_GUILD_LEVEL_REQ	Insufficient guild level
ERR_ROLE_IN_OTHER_SERVER	Players who are not on this server cannot view it
CAMERA_SAVED	Successfully saved to local album
CAMERA_SAVED_ERR	The picture has been saved to the album
ERR_MENTOR_ASKMAXTODAY	You can only initiate mentoring requests to the player 3 times a day.
ERR_MENTOR_REFRESHTOOFAST	refresh too fast
ERR_MENTOR_OTHER_ONLINE	The other party must be offline for more than 3 days before being forced to leave the apprenticeship
ERR_MENTOR_COMPLETE_OTHER_OFFLINE_NEED_DAYS	The other party must be offline for more than 3 days before being forced to leave the apprenticeship
ERR_MENTOR_COMPLETE_IN_RELATION_NEED_DAYS	Become a mentor for 10 days, and complete at least 25 mentoring tasks before you can start your apprenticeship
ERR_MENTOR_OTHER_APPLY_BREAK	The other party has applied to terminate the mentoring relationship
ERR_MENTOR_ALREADY_COMPLETE_MENTOR	You have already left the apprenticeship, you can't go to the apprenticeship
ERR_MENTOR_OTHER_ALREADY_APPLY_INHERIT	The other party has sent a transmission request, please click the message button to accept
ERR_MENTOR_CUR_STATUS_CANNOT_BREAK	There are currently no ongoing mentoring relationships
ERR_MENTOR_ALREADY_INRELATION	Does not meet the requirements of mentoring
ERR_MENTOR_CUR_STATUS_CANNOT_APPLYSTUDENT	The current state cannot accept apprentices, or the other party has blocked the apprenticeship function
ERR_MENTOR_CUR_STATUS_CANNOT_APPLYMASTER	The current state cannot be apprentice, or the other party has blocked the apprenticeship function
ERR_MENTOR_TASKCNT_LESS	The number of completed tasks does not meet the minimum requirements for graduation
ERR_MENTOR_LEVEL_LIMIT	The grade does not meet the minimum requirements for graduation
ERR_MENTOR_PPT_LIMIT	The combat power does not meet the minimum requirements for training
ERR_Mentor_CannotApplyMaster	You have become a master, you cannot be a teacher
ERR_Mentor_HasCompleted	You have already left the apprenticeship, you can't go to the apprenticeship
ERR_Mentor_MasterCntLimit	The number of masters cannot exceed 2
ERR_Mentor_CannotApplyStudent	As a little apprentice, I can't accept apprentices.
ERR_Mentor_StudentCntLimit	The number of apprentices cannot exceed 2
ERR_Mentor_DonotNeedMentor	The other party has blocked the mentoring function
ERR_Mentor_LevelLimit	The level does not meet the conditions
ERR_Mentor_PunishTime	Currently in the penalty period or interval period
ERR_Mentor_PowerPointLimit	The combat power does not meet the requirements for apprenticeship
ERR_AUTH_TOKEN_INVALID	Login expired, please login again
ERR_PLATSHARE_FAILED	Failed to share
ERR_NIG_STAGE_REWARD	Not eligible
ERR_NIGNOTHAVE_MAX	No Nightmare Wrecks or Challenges maxed
ERR_CHALLNUM_NOHAVE	no challenges
RECONNECT_TIP	Network connection failed! Please check the network status and reconnect! Irene cheers you on!
LOGIN_RECONNECT_TIP	The system detects that you are doing {0}, do you need to reconnect to enter
LOGIN_TOO_FREQUENT	Signing in too frequently, please try again later
RELOGIN	re-register
RECONNECT	reconnect
START_RECONNECT	Re-establishing connection...
COMMON_OK	Sure
COMMON_CANCEL	Cancel
COMMON_BATTLE	level
COMMON_NO_MP	Insufficient mana
COMMON_DIDIAO	I'm low key
COMMON_DESE	get down
SKILL_LEARN	Level {0} on
ITEM_REQUIRE_LEVEL	Requires level {0}
COMMON_AREA	Area
SERVER_STATE_FREE	smooth
SERVER_STATE_NORMAL	ordinary
SERVER_STATE_BUSY	full
SERVER_STATE_CLOSE	maintain
SERVER_NEW	new server
SKILL_PROMOTE_REQUIRE	There are still {0} levels to transfer
SKILL_OVERVIEW	preview
SKILL_PROMOTE	change jobs
SKILL_RESET_SP	Resetting skill points requires {0}{1}{n} (it can be reset once for free after class change)
SKILL_RESET_PROF	Reset occupation requires {0}
SKILL_CAN_PROMOTE	Can change jobs
SKILL_WILL_PROMOTE	Changed to {0}
SKILL_PROMOTE_TIP	[F03F07]{0}level[-][EAD29C] can change jobs
SKILL_TREE_TAB	{0} {1} level {2} turn
SKILL_TREE_TAB_AWAKE	wake up
SKILL_RESETFREE_TIPS	Free before level {0}
SKILL_CHOOSE_TIPS	{0} being deployed for battle
CURRENT	current
NOT_LEARN	not studied
PASSIVE_SKILL	Passive skill
SCENEBUFF_SKILL	Passive skill
SUPPORT_SKILL	Auxiliary skills
NORMAL_SKILL	Active skills
SPECIAL_SKILL	special skill
BUFF_SKILL	gain skill
AWAKE_SKILL	Awakening skills
REM_TYPE1	You have been online for three hours this time, please take a break
REM_TYPE2	You have been online for eight hours today, please take a break
REM_3G	In the current mobile network environment, more traffic is consumed! Order exclusive data packs to play games anytime, anywhere!
REM_BUY	to order
ITEM_PART_HEAD	helmet
ITEM_PART_UPPERBODY	Jacket
ITEM_PART_LOWERBODY	Pants
ITEM_PART_GLOVES	Gloves
ITEM_PART_BOOTS	shoe
ITEM_PART_MAINWEAPON	main weapon
ITEM_PART_SECWEAPON	secondary weapon
ITEM_PART_NECKLACE	necklace
ITEM_PART_EARRING	earrings
ITEM_PART_RING1	ring
ITEM_PART_RING2	ring
FASHION_HEAD	head
FASHION_UPPERBODY	Jacket
FASHION_LOWERBODY	Pants
FASHION_GLOVES	Gloves
FASHION_BOOTS	shoe
FASHION_MAINWEAPON	main weapon
FASHION_SECWEAPON	secondary weapon
FASHION_WINGS	wing
FASHION_TAIL	Tail
FASHION_DECAL	tattoo
FASHION_PREFIX	fashion-
FASHION_LIMIT_ALWAYS	permanent
ITEM_PART_AMULET	talisman
FASHION_WEAPON	Primary and secondary weapons
FASHION_THIRD	three-piece set
FASHION_HAIR	hairstyle
FASHION_HAIR_COLORING	Insufficient number of {0}
FASHION_PREVIEW_TIPS	Don't own this hair color
FASHION_HAIRCOLOR_UNSAVE	The currently selected hair color is not active and cannot be saved
FASHION_LIMIT_UNWEAR	(The timing starts when you wear it for the first time)
FASHION_DISAPPEAR	{0} has expired, and the fashion bonus effect has disappeared
FASHION_EQUIP_HINT	Please select a piece of {0} equipment in the right fashion backpack
DRAW_FREE	free
DRAW_ONE	smash once
DRAW_TEN	smash ten times
DRAW_BIRD	Costs 1 bluebird
ENHANCE_PROTECT_NOTE	Reinforce +{0}, required
ARENA_HISTORY_PART0	{0} challenged {1},
ARENA_HISTORY_PART1	{0} defeated {1},
ARENA_HISTORY_PART2_0	Attack and beat {0}.
ARENA_HISTORY_PART2_1	Guard {0}.
ARENA_NO_RANK	Not on the list
ARENA_DIALOG_BUYTIMES	Are you sure you want to spend {0} to purchase arenas?
ARENA_BUY_COOLDOWN	Arena Challenge is on cooldown, does it cost |[im=common/Universal||icon-28|]{0} to start immediately?
SUCCESS	success
FAILED	Fail
YOU	you
HE	other side
AGO	forward
JUSTNOW	just
OUTLINE	offline
ONLINE	[32a106]Online[-]
SECOND_DUARATION	second
MINUTE_DUARATION	minute
HOUR_DUARATION	Hour
DAY_DUARATION	sky
MONTH_DUARATION	month
MINUTE_TIME	Minute
PUTON	equipment
PUTSUIT	equipment set
TAKEOFFALL	Remove the suit
TAKEOFF	remove
UPGRADE	upgrade
COMPOSE	synthesis
IDENTIFY	identification
DECOMPOSE	break down
SMELT_REPLACE	Purify
SMELT_TRANSFER	transfer
USE	use
SELL	Recycle
LEARN	learn
ENHANCE	strengthen
REINFORCE	proficient
ENHANCE_TRANSFORM	enhanced transfer
