SpriteEquipID	EquipPos	AttributesNum	AttributesRandom	AttributesWeight	AttributesLimit	SpecialLimit	LevelStage	IsCanSmelt	SmeltNeedItem	SmeltNeedMoney	SmeltRandomWeight	ReturnSmeltStoneRate
1303012	2	0|0|0|1|1|0	101|104|105|106|105	4083=12000	1=2|4=1	1=5|4=1	130	1	1185=2	50000	-70=100=5|150=200=95	80
1304010	0	0|0|0|0|1|1	101|102|104|104|105	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1304011	1	0|0|0|0|1|1	101|102|104|104|105	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1304012	2	0|0|0|0|1|1	101|102|104|104|105	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1304020	0	0|0|0|0|0|1	101|101|201|201|101	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1304021	1	0|0|0|0|0|1	101|101|201|201|101	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1304022	2	0|0|0|0|0|1	101|101|201|201|101	8167=25000	1=2|4=1	1=5|4=1	130	1	1185=3	100000	-70=100=5|150=200=95	80
1412010	0	0|0|1|1|0|0	101|102|106|104|105	3537=12000	1=2|4=1	1=5|4=1	140	1	1185=1	25000	-70=100=5|150=200=95	80
1412011	1	0|0|1|1|0|0	101|102|106|104|105	3537=12000	1=2|4=1	1=5|4=1	140	1	1185=1	25000	-70=100=5|150=200=95	80
1412012	2	0|0|1|1|0|0	101|102|106|104|105	3537=12000	1=2|4=1	1=5|4=1	140	1	1185=1	25000	-70=100=5|150=200=95	80
1413010	0	0|0|0|1|1|0	101|104|105|106|105	5307=15000	1=2|4=1	1=5|4=1	140	1	1185=2	50000	-70=100=5|150=200=95	80
1413011	1	0|0|0|1|1|0	101|104|105|106|105	5307=15000	1=2|4=1	1=5|4=1	140	1	1185=2	50000	-70=100=5|150=200=95	80
1413012	2	0|0|0|1|1|0	101|104|105|106|105	5307=15000	1=2|4=1	1=5|4=1	140	1	1185=2	50000	-70=100=5|150=200=95	80
1414010	0	0|0|0|0|1|1	101|102|104|104|105	10617=30000	1=2|4=1	1=5|4=1	140	1	1185=3	100000	-70=100=5|150=200=95	80
1414011	1	0|0|0|0|1|1	101|102|104|104|105	10617=30000	1=2|4=1	1=5|4=1	140	1	1185=3	100000	-70=100=5|150=200=95	80
1414012	2	0|0|0|0|1|1	101|102|104|104|105	10617=30000	1=2|4=1	1=5|4=1	140	1	1185=3	100000	-70=100=5|150=200=95	80
1502014	3	0|0|0|1|0|0	101|102|106|104|105	4327=12000	1=2|4=1	1=5|4=1	150	0	1185=1	25000	-70=100=5|150=200=95	80
1503014	3	0|0|0|0|1|0	101|101|105|106|105	6493=20000	1=2|4=1	1=5|4=1	150	0	1185=2	50000	-70=100=5|150=200=95	80
1504014	3	0|0|0|0|0|1	101|101|104|105|106	12987=40000	1=2|4=1	1=5|4=1	150	0	1185=3	100000	-70=100=5|150=200=95	80
