scendid	scenename	star2	star3	time	hppercent	found	behit	npchp	combo	passpower
23004	海洋巫师塔	1=0=600	2=0=50	600	50					
23005	船长达兰特领地	1=0=600	2=0=50	600	50					
23006	海盗驳船港	1=0=600	2=0=50	600	50					
23007	船长达兰特根据地	1=0=600	2=0=50	600	50					
23008	无名暴君之墓	1=0=600	2=0=50	600	50					
23009	凄凉之村	1=0=600	2=0=50	600	50					
23010	沼泽地边界	1=0=600	2=0=50	600	50					
23011	红胡须之岛	1=0=600	2=0=50	600	50					
23012	腐烂泥沼	1=0=600	2=0=50	600	50					
30001	挖掘场深处	1=0=300	2=0=50	300	50					
30002	马里安神殿	1=0=300	2=0=50	300	50					
30003	死亡之村	1=0=300	2=0=50	300	50					
30004	大君主禁地	1=0=300	2=0=50	300	50					
30005	黑山魔物城	1=0=300	2=0=50	300	50					
30006	挑战者之路	1=0=300	2=0=50	300	50					
30007	江下游废墟	1=0=300	2=0=50	300	50					
30008	江下游淹没地	1=0=300	2=0=50	300	50					
30009	海盗藏宝岛	1=0=300	2=0=50	300	50					
30010	海盗根据腹地	1=0=300	2=0=50	300	50					
31001	江下游废墟	1=0=300	2=0=50	300	50					
31002	江下游淹没地	1=0=300	2=0=50	300	50					
31003	海盗藏宝岛	1=0=300	2=0=50	300	50					
31004	海盗根据腹地	1=0=300	2=0=50	300	50					
31005	古代图书馆深处	1=0=300	2=0=50	300	50					
31006	盲目溪谷深处	1=0=300	2=0=50	300	50					
31007	古代仓库东边	1=0=300	2=0=50	300	50					
31008	古代藏宝库	1=0=300	2=0=50	300	50					
32001	古代图书馆深处	1=0=300	2=0=50	300	50					
32002	盲目溪谷深处	1=0=300	2=0=50	300	50					
32003	古代仓库东边	1=0=300	2=0=50	300	50					
32004	古代藏宝库	1=0=300	2=0=50	300	50					
32005	古代图书馆深处	1=0=300	2=0=50	300	50					
32006	盲目溪谷深处	1=0=300	2=0=50	300	50					
32007	古代仓库东边	1=0=300	2=0=50	300	50					
32008	古代藏宝库	1=0=300	2=0=50	300	50					
33001	古代图书馆深处	1=0=300	2=0=50	300	50					
33002	盲目溪谷深处	1=0=300	2=0=50	300	50					
33003	古代仓库东边	1=0=300	2=0=50	300	50					
33004	古代藏宝库	1=0=300	2=0=50	300	50					
33005	女王栖息地	1=0=300	2=0=50	300	50					
33006	陨石坑	1=0=300	2=0=50	300	50					
33007	泰努阿尔神殿	1=0=300	2=0=50	300	50					
33008	沙蝎之巢	1=0=300	2=0=50	300	50					
34001	女王栖息地	1=0=300	2=0=50	300	50					
34002	陨石坑	1=0=300	2=0=50	300	50					
34003	泰努阿尔神殿	1=0=300	2=0=50	300	50					
34004	沙蝎之巢	1=0=300	2=0=50	300	50					
34005	混乱时空研究所	1=0=300	2=0=50	300	50					
34006	古代神庙遗迹	1=0=300	2=0=50	300	50					
34007	神庙祭祀区	1=0=300	2=0=50	300	50					
34008	实验体禁区	1=0=300	2=0=50	300	50					
35001	混乱时空研究所	1=0=300	2=0=50	300	50					
35002	古代神庙遗迹	1=0=300	2=0=50	300	50					
35003	神庙祭祀区	1=0=300	2=0=50	300	50					
35004	实验体禁区	1=0=300	2=0=50	300	50					
35005	沼泽最深处	1=0=300	2=0=50	300	50					
35006	沼泽地边界	1=0=300	2=0=50	300	50					
35007	黑暗领地峡谷	1=0=300	2=0=50	300	50					
35008	原住民部落	1=0=300	2=0=50	300	50					
36001	混乱时空研究所	1=0=300	2=0=50	300	50					
36002	古代神庙遗迹	1=0=300	2=0=50	300	50					
36003	神庙祭祀区	1=0=300	2=0=50	300	50					
36004	实验体禁区	1=0=300	2=0=50	300	50					
36005	沼泽最深处	1=0=300	2=0=50	300	50					
36006	沼泽地边界	1=0=300	2=0=50	300	50					
36007	黑暗领地峡谷	1=0=300	2=0=50	300	50					
36008	原住民部落	1=0=300	2=0=50	300	50					
30011	竞技巢穴（地狱犬）	1=0=240	2=0=50	240	50					
30012	竞技巢穴（狮蝎）	1=0=240	2=0=50	240	50					
30013	竞技巢穴（天启）	1=0=240	2=0=50	240	50					
30014	竞技巢穴（大主教）	1=0=240	2=0=50	240	50					
30021	卫兵西米特	1=0=240	2=0=50	240	50					
30022	发条熊帕尼布洛卡	1=0=240	2=0=50	240	50					
30023	小丑代达罗斯	1=0=240	2=0=50	240	50					
40000	深渊派对35级-练习1	1=0=240	2=0=50	240	50					
40001	深渊派对35级-练习2	1=0=240	2=0=50	240	50					
40002	深渊派对35级-练习3	1=0=240	2=0=50	240	50					
40003	深渊派对35级-练习4	1=0=240	2=0=50	240	50					
40004	深渊派对35级-练习5	1=0=240	2=0=50	240	50					
40005	深渊派对35级-简单1	1=0=240	2=0=50	240	50					
40006	深渊派对35级-简单2	1=0=240	2=0=50	240	50					
40007	深渊派对35级-简单3	1=0=240	2=0=50	240	50					
40008	深渊派对35级-简单4	1=0=240	2=0=50	240	50					
40009	深渊派对35级-简单5	1=0=240	2=0=50	240	50					
40010	深渊派对35级-普通1	1=0=240	2=0=50	240	50					
40011	深渊派对35级-普通2	1=0=240	2=0=50	240	50					
40012	深渊派对35级-普通3	1=0=240	2=0=50	240	50					
40013	深渊派对35级-普通4	1=0=240	2=0=50	240	50					
40014	深渊派对35级-普通5	1=0=240	2=0=50	240	50					
40015	深渊派对35级-困难1	1=0=240	2=0=50	240	50					
40016	深渊派对35级-困难2	1=0=240	2=0=50	240	50					
40017	深渊派对35级-困难3	1=0=240	2=0=50	240	50					
40018	深渊派对35级-困难4	1=0=240	2=0=50	240	50					
40019	深渊派对35级-困难5	1=0=240	2=0=50	240	50					
40020	深渊派对35级-地狱1	1=0=240	2=0=50	240	50					
40021	深渊派对35级-地狱2	1=0=240	2=0=50	240	50					
40022	深渊派对35级-地狱3	1=0=240	2=0=50	240	50					
40023	深渊派对35级-地狱4	1=0=240	2=0=50	240	50					
40024	深渊派对35级-地狱5	1=0=240	2=0=50	240	50					
40025	深渊派对35级-噩梦1	1=0=240	2=0=50	240	50					
40026	深渊派对35级-噩梦2	1=0=240	2=0=50	240	50					
40027	深渊派对35级-噩梦3	1=0=240	2=0=50	240	50					
40028	深渊派对35级-噩梦4	1=0=240	2=0=50	240	50					
40029	深渊派对35级-噩梦5	1=0=240	2=0=50	240	50					
40100	深渊派对51级-练习1	1=0=240	2=0=50	240	50					
40101	深渊派对51级-练习2	1=0=240	2=0=50	240	50					
40102	深渊派对51级-练习3	1=0=240	2=0=50	240	50					
40103	深渊派对51级-练习4	1=0=240	2=0=50	240	50					
40104	深渊派对51级-练习5	1=0=240	2=0=50	240	50					
40105	深渊派对51级-简单1	1=0=240	2=0=50	240	50					
40106	深渊派对51级-简单2	1=0=240	2=0=50	240	50					
40107	深渊派对51级-简单3	1=0=240	2=0=50	240	50					
40108	深渊派对51级-简单4	1=0=240	2=0=50	240	50					
40109	深渊派对51级-简单5	1=0=240	2=0=50	240	50					
40110	深渊派对51级-普通1	1=0=240	2=0=50	240	50					
40111	深渊派对51级-普通2	1=0=240	2=0=50	240	50					
40112	深渊派对51级-普通3	1=0=240	2=0=50	240	50					
40113	深渊派对51级-普通4	1=0=240	2=0=50	240	50					
40114	深渊派对51级-普通5	1=0=240	2=0=50	240	50					
40115	深渊派对51级-困难1	1=0=240	2=0=50	240	50					
40116	深渊派对51级-困难2	1=0=240	2=0=50	240	50					
40117	深渊派对51级-困难3	1=0=240	2=0=50	240	50					
40118	深渊派对51级-困难4	1=0=240	2=0=50	240	50					
40119	深渊派对51级-困难5	1=0=240	2=0=50	240	50					
40120	深渊派对51级-地狱1	1=0=240	2=0=50	240	50					
40121	深渊派对51级-地狱2	1=0=240	2=0=50	240	50					
40122	深渊派对51级-地狱3	1=0=240	2=0=50	240	50					
40123	深渊派对51级-地狱4	1=0=240	2=0=50	240	50					
40124	深渊派对51级-地狱5	1=0=240	2=0=50	240	50					
40125	深渊派对51级-噩梦1	1=0=240	2=0=50	240	50					
40126	深渊派对51级-噩梦2	1=0=240	2=0=50	240	50					
40127	深渊派对51级-噩梦3	1=0=240	2=0=50	240	50					
40128	深渊派对51级-噩梦4	1=0=240	2=0=50	240	50					
40129	深渊派对51级-噩梦5	1=0=240	2=0=50	240	50					
40200	深渊派对61级-练习1	1=0=240	2=0=50	240	50					
40201	深渊派对61级-练习2	1=0=240	2=0=50	240	50					
40202	深渊派对61级-练习3	1=0=240	2=0=50	240	50					
40203	深渊派对61级-练习4	1=0=240	2=0=50	240	50					
40204	深渊派对61级-练习5	1=0=240	2=0=50	240	50					
40205	深渊派对61级-简单1	1=0=240	2=0=50	240	50					
40206	深渊派对61级-简单2	1=0=240	2=0=50	240	50					
40207	深渊派对61级-简单3	1=0=240	2=0=50	240	50					
40208	深渊派对61级-简单4	1=0=240	2=0=50	240	50					
40209	深渊派对61级-简单5	1=0=240	2=0=50	240	50					
40210	深渊派对61级-普通1	1=0=240	2=0=50	240	50					
40211	深渊派对61级-普通2	1=0=240	2=0=50	240	50					
40212	深渊派对61级-普通3	1=0=240	2=0=50	240	50					
40213	深渊派对61级-普通4	1=0=240	2=0=50	240	50					
40214	深渊派对61级-普通5	1=0=240	2=0=50	240	50					
40215	深渊派对61级-困难1	1=0=240	2=0=50	240	50					
