Comment	CommentSceneID	ID	Name	PresentID	Type	Tag	Fightgroup	SummonGroup	WalkSpeed	RunSpeed	FloatHeight	RotateSpeed	AttackSpeed	SkillCD	AttackProb	Sight	FightTogetherDis	BeLocked	InBornBuff	AttackBase	MagicAttackBase	MaxHP	Level	PhysicalDef	MagicDef	CritResist2	IconString	ElementDef	MobaExp	MobaExpRange	MobaKillNeedHint	PosIndex	HpSection	IsWander	Block	DynamicBlock	UsingGeneralCutscene	SoloShow	EndShow	Fov	AIStartTime	AIActionGap	IsFixedInCD	FashionTemplate	Highlight	UseMyMesh	ExtraReward	aihit	AiBehavior	InitEnmity	AlwaysHpBar	HideName	ratioleft	ratioright	ratioidle	ratiodistance	ratioskill	ratioexp	navigation	IsNavPingpong	HideInMiniMap	Access	SameBillBoard	HellDrop	PandoraDropIDs	DropIDs	BigMeleePoints	LinkCombo	CanBeManipulate	CritDamageDef	InheriteAtrribute	MaxSuperArmorA	MaxSuperArmorB	MaxSuperArmorC	SuperArmorRecoverSpeedA	SuperArmorRecoveryMaxA	SuperArmorBrokenBuffA	SuperArmorInvincibleTimeA	SuperArmorRecoverSpeedB	SuperArmorRecoveryMaxB	SuperArmorBrokenBuffB	SuperArmorInvincibleTimeB	SuperArmorRecoverSpeedC	SuperArmorRecoveryMaxC	SuperArmorBrokenBuffC	SuperArmorInvincibleTimeC	SuperArmorBrokenStrike	DoodadDrop
创角银色舞灵		10	创角银色舞灵	10117	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1019	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
login黑龙		11	login黑龙	3101	1				3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE		TRUE			1	Monster	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
创角黑暗教主		12	创角黑暗教主	10114	5		2		3	5		8	100	100	1	20	10			150	150	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1020	TRUE			1		0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE			999999999	999999999	999999999														
新手关助战战士		91	冒险者战士	10131	2		1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3400	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关助战弓箭手		92	冒险者弓箭手	10132	2		1		3	5		8	100	100	1	20	10			800	800	100000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3401	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关助战魔法师		93	冒险者魔法师	10133	2		1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3402	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关助战牧师		94	冒险者牧师	10134	2		1		3	5		8	100	100	1	20	10			800	800	100000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3403	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
治愈之手（新手关牧师）		95	治愈之手	1352	2		-1		0	0		0	100	100	0	35	10		34213=1|50126=1	1	1	1												FALSE	FALSE		FALSE	FALSE	FALSE		0.5	0.5	FALSE		FALSE			-1	Monster_Summon	0	TRUE	TRUE	0	0	0	0	0.2	0		1									TRUE			999999	999999	999999														
新手关战士		101	冒险者战士	10121	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关弓箭手		102	冒险者弓箭手	10122	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关魔法师		103	冒险者魔法师	10123	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关牧师		104	冒险者牧师	10124	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关学者		105	冒险者学者	10125	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关刺客		106	冒险者刺客	10126	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
新手关舞娘		107	冒险者舞娘	10127	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
剑圣转职体验		111	剑圣转职体验	10141	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
战神转职体验		112	战神转职体验	10142	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
箭神转职体验		113	箭神转职体验	10143	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
游侠转职体验		114	游侠转职体验	10144	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
元素转职体验		115	元素转职体验	10145	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
魔导转职体验		116	魔导转职体验	10146	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
贤者转职体验		117	贤者转职体验	10147	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
祭司转职体验		118	祭司转职体验	10148	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
工程师转职体验		119	工程师转职体验	10149	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
炼金术士转职体验		120	炼金术士转职体验	10150	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
暗之使徒转职体验		121	暗之使徒转职体验	10151	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
光明之怒转职体验		122	光明之怒转职体验	10152	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
呐喊者转职体验		123	呐喊者转职体验	10153	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
舞者转职体验		124	舞者转职体验	10154	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
舞灵转职体验		125	舞灵转职体验	10155	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
教主转职体验		126	教主转职体验	10156	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
剑皇转职体验		131	剑皇转职体验	10161	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
月之领主转职体验		132	月之领主转职体验	10162	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
毁灭者转职体验		133	毁灭者转职体验	10163	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
狂战士转职体验		134	狂战士转职体验	10164	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
狙翎转职体验		135	狙翎转职体验	10165	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
魔羽转职体验		136	魔羽转职体验	10166	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
影舞者转职体验		137	影舞者转职体验	10167	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
风行者转职体验		138	风行者转职体验	10168	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
火舞转职体验		139	火舞转职体验	10169	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
冰灵转职体验		140	冰灵转职体验	10170	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
时空领主转职体验		141	时空领主转职体验	10171	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
黑暗女王转职体验		142	黑暗女王转职体验	10172	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3302	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
圣骑士转职体验		143	圣骑士转职体验	10173	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
十字军转职体验		144	十字军转职体验	10174	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
圣徒转职体验		145	圣徒转职体验	10175	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
雷神转职体验		146	雷神转职体验	10176	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3303	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
重炮手转职体验		147	重炮手转职体验	10177	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
机械大师转职体验		148	机械大师转职体验	10178	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
炼金圣士转职体验		149	炼金圣士转职体验	10179	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
药剂师转职体验		150	药剂师转职体验	10180	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
烈转职体验		151	烈转职体验	10183	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
影转职体验		152	影转职体验	10184	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
曜转职体验		153	曜转职体验	10185	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
暗转职体验		154	暗转职体验	10186	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3305	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
噬魂者转职体验		155	噬魂者转职体验	10187	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
影灵魂舞者转职体验		156	影灵魂舞者转职体验	10188	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
灵魂舞者转职体验		157	灵魂舞者转职体验	10189	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
刀锋舞者转职体验		158	刀锋舞者转职体验	10190	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3306	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
复仇者转职体验		159	复仇者转职体验	10191	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3300	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
猎人转职体验		160	猎人转职体验	10192	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3301	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
机甲师转职体验		161	机甲师转职体验	10193	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	3304	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
黑暗复仇者转职体验		162	黑暗复仇者转职体验	10194	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	10002	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
银色猎人转职体验		163	银色猎人转职体验	10195	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	10003	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
银色机甲师转职体验		164	银色机甲师转职体验	10196	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE		TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
银色舞灵转职体验		165	银色舞灵转职体验	10198	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	10004	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
黑暗教主转职体验		166	黑暗教主转职体验	10199	2		-1		3	5		8	100	100	1	20	10			500	500	4000											5	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE	1103	TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
皇家骑士外传体验		167	皇家骑士	10200	2		-1		3	5		8	100	100	1	20	10		37741=1|37747=1|37750=1	500	500	4000											1	FALSE	TRUE		FALSE	FALSE	FALSE		1.5	1.5	FALSE		TRUE			1	Ally	0			0.2	0.2	0.2	0.2	0.2	0.2		1									TRUE																			
陪练教练组		99000	幼儿园陪练-兽人	323	2				1.5	3.5		10	100	100	0	10	10			10	10	1.00E+12	130	70000	70000	320000000								FALSE	FALSE		FALSE	FALSE	FALSE		1.5	1.5	FALSE		TRUE			1	Monster	0			0.2	0.1	0.1	0.2	0	0		1									TRUE																			
陪练教练组		99001	小学陪练-地狱犬	99001	1				3.5	3		10	100	100	0.15	20	10			10	10	100000000											10	FALSE	TRUE		FALSE	FALSE	FALSE	55	2.5	1.5	TRUE		TRUE			1	Monster_Nest	0			0	0	0.1	0	0.75	0		1									TRUE			999999999	999999999	999999999														
陪练教练组		99002	初中陪练-狮蝎	40277	1				3	3		10	100	100	0.15	15	10			10	10	100000000											10	FALSE	TRUE		FALSE	FALSE	FALSE	55	2.5	1.5	TRUE		TRUE			1	Monster_Nest	0			0	0	0.1	0	0.75	0		1									TRUE			999999999	999999999	999999999														
陪练教练组		99003	高中陪练-天启	40371	1				3	3		5	100	100	0.15	15	10			10	10	100000000											10	FALSE	TRUE		TRUE	FALSE	TRUE	55	2.5	1.5	TRUE		TRUE			1	Monster_Nest	0			0	0	0.1	0	0.75	0		1									TRUE			800000	800000	800000														
