id	percent	maxhp_ratio1	atk_ratio1	def_ratio1	maxhp_ratio2	atk_ratio2	def_ratio2	maxhp_ratio3	atk_ratio3	def_ratio3	maxhp_ratio4	atk_ratio4	def_ratio4	maxhp_ratio5	atk_ratio5	def_ratio5	maxhp_ratio6	atk_ratio6	def_ratio6
120	881	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810	8810
121	880	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800	8800
122	879	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790	8790
123	878	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780	8780
124	877	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770	8770
125	876	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760	8760
126	875	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750	8750
127	874	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740	8740
128	873	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730	8730
129	872	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720	8720
130	871	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710	8710
131	870	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700	8700
132	869	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690	8690
133	868	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680	8680
134	867	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670	8670
135	866	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660	8660
136	865	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650	8650
137	864	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640	8640
138	863	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630	8630
139	862	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620	8620
140	861	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610	8610
141	860	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600	8600
142	859	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590	8590
143	858	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580	8580
144	857	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570	8570
145	856	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560	8560
146	855	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550	8550
147	854	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540	8540
148	853	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530	8530
149	852	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520	8520
150	851	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510	8510
151	850	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500	8500
152	849	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490	8490
153	848	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480	8480
154	847	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470	8470
155	846	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460	8460
156	845	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450	8450
157	844	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440	8440
158	843	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430	8430
159	842	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420	8420
160	841	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410	8410
161	840	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400	8400
162	839	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390	8390
163	838	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380	8380
164	837	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370	8370
165	836	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360	8360
166	835	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350	8350
167	834	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340	8340
168	833	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330	8330
169	832	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320	8320
170	831	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310	8310
171	830	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300	8300
172	829	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290	8290
173	828	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280	8280
174	827	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270	8270
175	826	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260	8260
176	825	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250	8250
177	824	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240	8240
178	823	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230	8230
179	822	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220	8220
180	821	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210	8210
181	820	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200	8200
182	819	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190	8190
183	818	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180	8180
184	817	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170	8170
185	816	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160	8160
186	815	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150	8150
187	814	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140	8140
188	813	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130	8130
189	812	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120	8120
190	811	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110	8110
191	810	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100	8100
192	809	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090	8090
193	808	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080	8080
194	807	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070	8070
195	806	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060	8060
196	805	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050	8050
197	804	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040	8040
198	803	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030	8030
199	802	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020	8020
200	801	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010	8010
201	800	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000	8000
202	799	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990	7990
203	798	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980	7980
204	797	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970	7970
205	796	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960	7960
206	795	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950	7950
207	794	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940	7940
208	793	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930	7930
209	792	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920	7920
210	791	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910	7910
211	790	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900	7900
212	789	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890	7890
213	788	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880	7880
214	787	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870	7870
215	786	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860	7860
216	785	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850	7850
217	784	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840	7840
218	783	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830	7830
219	782	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820	7820
220	781	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810	7810
221	780	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800	7800
222	779	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790	7790
223	778	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780	7780
224	777	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770	7770
225	776	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760	7760
226	775	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750	7750
227	774	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740	7740
228	773	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730	7730
229	772	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720	7720
230	771	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710	7710
