TowerHardLevel	TowerFloor	SceneID	Reward	FirstPassReward	Name	DragonCoinFindBackCost	GoldCoinCost	GoldCoinFindBackItem	preward
1	17	31201	1=8500|4=32300|93=1|1024=1	4=32300|1=8500|93=3|1024=1	黑暗神殿	5	2000	1=25500	0
1	18	31211	1=9000|4=34200|93=1|1024=1	4=34200|1=9000|93=3|1024=1	黑暗神殿	5	2000	1=27000	0
1	19	31212	1=9500|4=36100|93=1|1024=1	4=36100|1=9500|93=3|1024=1	黑暗神殿	5	2000	1=28500	0
1	20	31231	1=10000|4=38000|93=1|1024=1	4=38000|1=30000|93=21|1024=1	黑暗神殿	5	2000	1=30000	0
1	21	32011	1=10500|4=39900|93=2|1024=1	4=39900|1=10500|93=4|1024=1	黑暗神殿	5	2500	1=31500	0
1	22	32021	1=11000|4=41800|93=2|1024=1	4=41800|1=11000|93=4|1024=1	黑暗神殿	5	2500	1=33000	0
1	23	32031	1=11500|4=43700|93=2|1024=1	4=43700|1=11500|93=4|1024=1	黑暗神殿	5	2500	1=34500	0
1	24	32032	1=12000|4=45600|93=2|1024=1	4=45600|1=12000|93=4|1024=1	黑暗神殿	5	2500	1=36000	0
1	25	32051	1=12500|4=47500|93=2|1024=1	4=47500|1=37500|93=22|1024=1	黑暗神殿	5	2500	1=37500	0
1	26	32061	1=13000|4=49400|93=2|1024=1	4=49400|1=13000|93=4|1024=1	黑暗神殿	5	3000	1=39000	0
1	27	32071	1=13500|4=51300|93=2|1024=1	4=51300|1=13500|93=4|1024=1	黑暗神殿	5	3000	1=40500	0
1	28	32081	1=14000|4=53200|93=2|1024=1	4=53200|1=14000|93=4|1024=1	黑暗神殿	5	3000	1=42000	0
1	29	32082	1=14500|4=55100|93=2|1024=1	4=55100|1=14500|93=4|1024=1	黑暗神殿	5	3000	1=43500	0
1	30	32101	1=15000|4=57000|93=2|1024=1	4=57000|1=45000|93=22|1024=1	黑暗神殿	5	3000	1=45000	0
1	31	32111	1=15500|4=58900|93=2|1024=1	4=58900|1=15500|93=4|1024=1	黑暗神殿	5	3500	1=46500	0
1	32	32121	1=16000|4=60800|93=2|1024=1	4=60800|1=16000|93=4|1024=1	黑暗神殿	5	3500	1=48000	0
1	33	32131	1=16500|4=62700|93=2|1024=1	4=62700|1=16500|93=4|1024=1	黑暗神殿	5	3500	1=49500	0
1	34	32132	1=17000|4=64600|93=2|1024=1	4=64600|1=17000|93=4|1024=1	黑暗神殿	5	3500	1=51000	0
1	35	32151	1=17500|4=66500|93=2|1024=1	4=66500|1=52500|93=22|1024=1	黑暗神殿	5	3500	1=52500	0
1	36	32161	1=18000|4=68400|93=2|1024=1	4=68400|1=18000|93=4|1024=1	黑暗神殿	5	4000	1=54000	0
1	37	32171	1=18500|4=70300|93=2|1024=1	4=70300|1=18500|93=4|1024=1	黑暗神殿	5	4000	1=55500	0
1	38	32181	1=19000|4=72200|93=2|1024=1	4=72200|1=19000|93=4|1024=1	黑暗神殿	5	4000	1=57000	0
1	39	32182	1=19500|4=74100|93=2|1024=1	4=74100|1=19500|93=4|1024=1	黑暗神殿	5	4000	1=58500	0
1	40	31401	1=20000|4=76000|93=2|1024=1	4=76000|1=60000|93=32|1024=1	黑暗神殿	5	4000	1=60000	0
1	41	31411	1=20500|4=77900|93=3|1024=1	4=77900|1=20500|93=5|1024=1	黑暗神殿	5	4500	1=61500	0
1	42	31421	1=21000|4=79800|93=3|1024=1	4=79800|1=21000|93=5|1024=1	黑暗神殿	5	4500	1=63000	0
1	43	31431	1=21500|4=81700|93=3|1024=1	4=81700|1=21500|93=5|1024=1	黑暗神殿	5	4500	1=64500	0
1	44	31441	1=22000|4=83600|93=3|1024=1	4=83600|1=22000|93=5|1024=1	黑暗神殿	5	4500	1=66000	0
1	45	31451	1=22500|4=85500|93=3|1024=1	4=85500|1=67500|93=33|1024=1	黑暗神殿	5	4500	1=67500	0
1	46	31461	1=23000|4=87400|93=3|1024=1	4=87400|1=23000|93=5|1024=1	黑暗神殿	5	5000	1=69000	0
1	47	31471	1=23500|4=89300|93=3|1024=1	4=89300|1=23500|93=5|1024=1	黑暗神殿	5	5000	1=70500	0
1	48	31481	1=24000|4=91200|93=3|1024=1	4=91200|1=24000|93=5|1024=1	黑暗神殿	5	5000	1=72000	0
1	49	31491	1=24500|4=93100|93=3|1024=1	4=93100|1=24500|93=5|1024=1	黑暗神殿	5	5000	1=73500	0
1	50	31501	1=25000|4=95000|93=3|1024=1	4=95000|1=75000|93=33|1024=1	黑暗神殿	5	5000	1=75000	0
1	51	31511	1=25500|4=96900|93=3|1024=1	4=96900|1=25500|93=5|1024=1	黑暗神殿	5	5500	1=76500	0
1	52	31521	1=26000|4=98800|93=3|1024=1	4=98800|1=26000|93=5|1024=1	黑暗神殿	5	5500	1=78000	0
1	53	31531	1=26500|4=100700|93=3|1024=1	4=100700|1=26500|93=5|1024=1	黑暗神殿	5	5500	1=79500	0
1	54	31541	1=27000|4=102600|93=3|1024=1	4=102600|1=27000|93=5|1024=1	黑暗神殿	5	5500	1=81000	0
1	55	31551	1=27500|4=104500|93=3|1024=1	4=104500|1=82500|93=33|1024=1	黑暗神殿	5	5500	1=82500	0
1	56	31561	1=28000|4=106400|93=3|1024=1	4=106400|1=28000|93=5|1024=1	黑暗神殿	5	6000	1=84000	0
1	57	31571	1=28500|4=108300|93=3|1024=1	4=108300|1=28500|93=5|1024=1	黑暗神殿	5	6000	1=85500	0
1	58	31581	1=29000|4=110200|93=3|1024=1	4=110200|1=29000|93=5|1024=1	黑暗神殿	5	6000	1=87000	0
1	59	31591	1=29500|4=112100|93=3|1024=1	4=112100|1=29500|93=5|1024=1	黑暗神殿	5	6000	1=88500	0
1	60	31601	1=30000|4=114000|93=3|1024=2	4=114000|1=90000|93=43|1024=2	黑暗神殿	5	6000	1=90000	0
1	61	31611	1=30500|4=115900|93=4|1024=2	4=115900|1=30500|93=6|1024=2	黑暗神殿	5	6500	1=91500	0
1	62	31621	1=31000|4=117800|93=4|1024=2	4=117800|1=31000|93=6|1024=2	黑暗神殿	5	6500	1=93000	0
1	63	31631	1=31500|4=119700|93=4|1024=2	4=119700|1=31500|93=6|1024=2	黑暗神殿	5	6500	1=94500	0
1	64	31641	1=32000|4=121600|93=4|1024=2	4=121600|1=32000|93=6|1024=2	黑暗神殿	5	6500	1=96000	0
1	65	31651	1=32500|4=123500|93=4|1024=2	4=123500|1=97500|93=44|1024=2	黑暗神殿	5	6500	1=97500	0
1	66	31661	1=33000|4=125400|93=4|1024=2	4=125400|1=33000|93=6|1024=2	黑暗神殿	5	7000	1=99000	0
1	67	31671	1=33500|4=127300|93=4|1024=2	4=127300|1=33500|93=6|1024=2	黑暗神殿	5	7000	1=100500	0
1	68	31681	1=34000|4=129200|93=4|1024=2	4=129200|1=34000|93=6|1024=2	黑暗神殿	5	7000	1=102000	0
1	69	31691	1=34500|4=131100|93=4|1024=2	4=131100|1=34500|93=6|1024=2	黑暗神殿	5	7000	1=103500	0
1	70	31701	1=35000|4=133000|93=4|1024=2	4=133000|1=105000|93=44|1024=2	黑暗神殿	5	7000	1=105000	0
1	71	31711	1=35500|4=134900|93=4|1024=2	4=134900|1=35500|93=6|1024=2	黑暗神殿	5	6500	1=106500	0
1	72	31721	1=36000|4=136800|93=4|1024=2	4=136800|1=36000|93=6|1024=2	黑暗神殿	5	6500	1=108000	0
1	73	31731	1=36500|4=138700|93=4|1024=2	4=138700|1=36500|93=6|1024=2	黑暗神殿	5	6500	1=109500	0
1	74	31741	1=37000|4=140600|93=4|1024=2	4=140600|1=37000|93=6|1024=2	黑暗神殿	5	6500	1=111000	0
1	75	31751	1=37500|4=142500|93=4|1024=2	4=142500|1=112500|93=44|1024=2	黑暗神殿	5	6500	1=112500	0
1	76	31761	1=38000|4=144400|93=4|1024=2	4=144400|1=38000|93=6|1024=2	黑暗神殿	5	7000	1=114000	0
1	77	31771	1=38500|4=146300|93=4|1024=2	4=146300|1=38500|93=6|1024=2	黑暗神殿	5	7000	1=115500	0
1	78	31781	1=39000|4=148200|93=4|1024=2	4=148200|1=39000|93=6|1024=2	黑暗神殿	5	7000	1=117000	0
1	79	31791	1=39500|4=150100|93=4|1024=2	4=150100|1=39500|93=6|1024=2	黑暗神殿	5	7000	1=118500	0
1	80	31801	1=40000|4=152000|93=4|1024=2	4=152000|1=125000|93=44|1024=2	黑暗神殿	5	7000	1=120000	0
1	81	31811	1=40500|4=153900|93=5|1024=2	4=153900|1=40500|93=7|1024=2	黑暗神殿	5	7500	1=121500	0
1	82	31821	1=41000|4=155800|93=5|1024=2	4=155800|1=41000|93=7|1024=2	黑暗神殿	5	7500	1=123000	0
1	83	31831	1=41500|4=157700|93=5|1024=2	4=157700|1=41500|93=7|1024=2	黑暗神殿	5	7500	1=124500	0
1	84	31841	1=42000|4=159600|93=5|1024=2	4=159600|1=42000|93=7|1024=2	黑暗神殿	5	7500	1=126000	0
1	85	31851	1=42500|4=161500|93=5|1024=2	4=161500|1=132500|93=45|1024=2	黑暗神殿	5	7500	1=127500	0
1	86	31861	1=43000|4=163400|93=5|1024=2	4=163400|1=43000|93=7|1024=2	黑暗神殿	5	8000	1=129000	0
1	87	31871	1=43500|4=165300|93=5|1024=2	4=165300|1=43500|93=7|1024=2	黑暗神殿	5	8000	1=130500	0
1	88	31881	1=44000|4=167200|93=5|1024=2	4=167200|1=44000|93=7|1024=2	黑暗神殿	5	8000	1=132000	0
1	89	31891	1=44500|4=169100|93=5|1024=2	4=169100|1=44500|93=7|1024=2	黑暗神殿	5	8000	1=133500	0
1	90	31901	1=45000|4=171000|93=5|1024=2	4=171000|1=140000|93=45|1024=2	黑暗神殿	5	8000	1=135000	0
1	91	31911	1=45500|4=172900|93=5|1024=2	4=172900|1=45500|93=7|1024=2	黑暗神殿	5	8500	1=136500	0
1	92	31921	1=46000|4=174800|93=5|1024=2	4=174800|1=46000|93=7|1024=2	黑暗神殿	5	8500	1=138000	0
1	93	31931	1=46500|4=176700|93=5|1024=2	4=176700|1=46500|93=7|1024=2	黑暗神殿	5	8500	1=139500	0
1	94	31941	1=47000|4=178600|93=5|1024=2	4=178600|1=47000|93=7|1024=2	黑暗神殿	5	8500	1=141000	0
1	95	31951	1=47500|4=180500|93=5|1024=2	4=180500|1=147500|93=45|1024=2	黑暗神殿	5	8500	1=142500	0
1	96	31961	1=48000|4=182400|93=5|1024=2	4=182400|1=48000|93=7|1024=2	黑暗神殿	5	9000	1=144000	0
1	97	31971	1=48500|4=184300|93=5|1024=2	4=184300|1=48500|93=7|1024=2	黑暗神殿	5	9000	1=145500	0
1	98	31981	1=49000|4=186200|93=5|1024=2	4=186200|1=49000|93=7|1024=2	黑暗神殿	5	9000	1=147000	0
1	99	31991	1=49500|4=188100|93=5|1024=2	4=188100|1=49500|93=7|1024=2	黑暗神殿	5	9000	1=148500	0
1	100	31100	1=50000|4=190000|93=5|1024=2	4=190000|1=155000|93=45|1024=2	黑暗神殿	5	9000	1=150000	0
1	101	60101	1=50500|4=192250|93=6|1024=2	4=192250|1=50500|93=8|1024=2	黑暗神殿	5	9500	1=151500	0
1	102	60102	1=51000|4=194500|93=6|1024=2	4=194500|1=51000|93=8|1024=2	黑暗神殿	5	9500	1=153000	0
1	103	60103	1=51500|4=196750|93=6|1024=2	4=196750|1=51500|93=8|1024=2	黑暗神殿	5	9500	1=154500	0
1	104	60104	1=52000|4=199000|93=6|1024=2	4=199000|1=52000|93=8|1024=2	黑暗神殿	5	9500	1=156000	0
1	105	60105	1=52500|4=201250|93=6|1024=2	4=201250|1=162500|93=46|1024=2	黑暗神殿	5	9500	1=157500	0
1	106	60106	1=53000|4=203500|93=6|1024=2	4=203500|1=53000|93=8|1024=2	黑暗神殿	5	10000	1=159000	0
1	107	60107	1=53500|4=205750|93=6|1024=2	4=205750|1=53500|93=8|1024=2	黑暗神殿	5	10000	1=160500	0
1	108	60108	1=54000|4=208000|93=6|1024=2	4=208000|1=54000|93=8|1024=2	黑暗神殿	5	10000	1=162000	0
1	109	60109	1=54500|4=210250|93=6|1024=2	4=210250|1=54500|93=8|1024=2	黑暗神殿	5	10000	1=163500	0
1	110	60110	1=55000|4=212500|93=6|1024=3	4=212500|1=170000|93=46|1024=3	黑暗神殿	5	10000	1=165000	0
1	111	60111	1=55500|4=214750|93=6|1024=3	4=214750|1=55500|93=8|1024=3	黑暗神殿	5	10500	1=166500	0
1	112	60112	1=56000|4=217000|93=6|1024=3	4=217000|1=56000|93=8|1024=3	黑暗神殿	5	10500	1=168000	0
1	113	60113	1=56500|4=219250|93=6|1024=3	4=219250|1=56500|93=8|1024=3	黑暗神殿	5	10500	1=169500	0
1	114	60114	1=57000|4=221500|93=6|1024=3	4=221500|1=57000|93=8|1024=3	黑暗神殿	5	10500	1=171000	0
1	115	60115	1=57500|4=223750|93=6|1024=3	4=223750|1=177500|93=46|1024=3	黑暗神殿	5	10500	1=172500	0
1	116	60116	1=58000|4=226000|93=6|1024=3	4=226000|1=58000|93=8|1024=3	黑暗神殿	5	11000	1=174000	0
1	117	60117	1=58500|4=228250|93=6|1024=3	4=228250|1=58500|93=8|1024=3	黑暗神殿	5	11000	1=175500	0
1	118	60118	1=59000|4=230500|93=6|1024=3	4=230500|1=59000|93=8|1024=3	黑暗神殿	5	11000	1=177000	0
1	119	60119	1=59500|4=232750|93=6|1024=3	4=232750|1=59500|93=8|1024=3	黑暗神殿	5	11000	1=178500	0
1	120	60120	1=60000|4=235000|93=6|1024=3	4=235000|1=185000|93=46|1024=3	黑暗神殿	5	11000	1=180000	0
1	121	60121	1=60500|4=237250|93=7|1024=3	4=237250|1=60500|93=9|1024=3	黑暗神殿	5	11500	1=181500	0
1	122	60122	1=61000|4=239500|93=7|1024=3	4=239500|1=61000|93=9|1024=3	黑暗神殿	5	11500	1=183000	0
1	123	60123	1=61500|4=241750|93=7|1024=3	4=241750|1=61500|93=9|1024=3	黑暗神殿	5	11500	1=184500	0
1	124	60124	1=62000|4=244000|93=7|1024=3	4=244000|1=62000|93=9|1024=3	黑暗神殿	5	11500	1=186000	0
1	125	60125	1=62500|4=246250|93=7|1024=3	4=246250|1=192500|93=47|1024=3	黑暗神殿	5	11500	1=187500	0
1	126	60126	1=63000|4=248500|93=7|1024=3	4=248500|1=63000|93=9|1024=3	黑暗神殿	5	12000	1=189000	0
1	127	60127	1=63500|4=250750|93=7|1024=3	4=250750|1=63500|93=9|1024=3	黑暗神殿	5	12000	1=190500	0
1	128	60128	1=64000|4=253000|93=7|1024=3	4=253000|1=64000|93=9|1024=3	黑暗神殿	5	12000	1=192000	0
1	129	60129	1=64500|4=255250|93=7|1024=3	4=255250|1=64500|93=9|1024=3	黑暗神殿	5	12000	1=193500	0
1	130	60130	1=65000|4=257500|93=7|1024=3	4=257500|1=200000|93=47|1024=3	黑暗神殿	5	12000	1=195000	0
1	131	60131	1=65500|4=259750|93=7|1024=3	4=259750|1=65500|93=9|1024=3	黑暗神殿	5	12500	1=196500	0
1	132	60132	1=66000|4=262000|93=7|1024=3	4=262000|1=66000|93=9|1024=3	黑暗神殿	5	12500	1=198000	0
1	133	60133	1=66500|4=264250|93=7|1024=3	4=264250|1=66500|93=9|1024=3	黑暗神殿	5	12500	1=199500	0
1	134	60134	1=67000|4=266500|93=7|1024=3	4=266500|1=67000|93=9|1024=3	黑暗神殿	5	12500	1=201000	0
1	135	60135	1=67500|4=268750|93=7|1024=3	4=268750|1=207500|93=47|1024=3	黑暗神殿	5	12500	1=202500	0
1	136	60136	1=68000|4=271000|93=7|1024=3	4=271000|1=68000|93=9|1024=3	黑暗神殿	5	13000	1=204000	0
1	137	60137	1=68500|4=273250|93=7|1024=3	4=273250|1=68500|93=9|1024=3	黑暗神殿	5	13000	1=205500	0
1	138	60138	1=69000|4=275500|93=7|1024=3	4=275500|1=69000|93=9|1024=3	黑暗神殿	5	13000	1=207000	0
1	139	60139	1=69500|4=277750|93=7|1024=3	4=277750|1=69500|93=9|1024=3	黑暗神殿	5	13000	1=208500	0
1	140	60140	1=70000|4=280000|93=7|1024=3	4=280000|1=215000|93=47|1024=3	黑暗神殿	5	13000	1=210000	0
1	141	60141	1=70500|4=282250|93=8|1024=3	4=282250|1=70500|93=10|1024=3	黑暗神殿	5	13500	1=211500	0
1	142	60142	1=71000|4=284500|93=8|1024=3	4=284500|1=71000|93=10|1024=3	黑暗神殿	5	13500	1=213000	0
1	143	60143	1=71500|4=286750|93=8|1024=3	4=286750|1=71500|93=10|1024=3	黑暗神殿	5	13500	1=214500	0
1	144	60144	1=72000|4=289000|93=8|1024=3	4=289000|1=72000|93=10|1024=3	黑暗神殿	5	13500	1=216000	0
1	145	60145	1=72500|4=291250|93=8|1024=3	4=291250|1=222500|93=48|1024=3	黑暗神殿	5	13500	1=217500	0
1	146	60146	1=73000|4=293500|93=8|1024=3	4=293500|1=73000|93=10|1024=3	黑暗神殿	5	14000	1=219000	0
1	147	60147	1=73500|4=295750|93=8|1024=3	4=295750|1=73500|93=10|1024=3	黑暗神殿	5	14000	1=220500	0
1	148	60148	1=74000|4=298000|93=8|1024=3	4=298000|1=74000|93=10|1024=3	黑暗神殿	5	14000	1=222000	0
1	149	60149	1=74500|4=300250|93=8|1024=3	4=300250|1=74500|93=10|1024=3	黑暗神殿	5	14000	1=223500	0
1	150	60150	1=75000|4=302500|93=8|1024=3	4=302500|1=230000|93=48|1024=3	黑暗神殿	5	14000	1=225000	0
1	151	60151	1=75500|4=304750|93=8|1024=3	4=304750|1=75500|93=10|1024=3	黑暗神殿	5	9500	1=151500	0
1	152	60152	1=76000|4=307000|93=8|1024=3	4=307000|1=76000|93=10|1024=3	黑暗神殿	5	9500	1=153000	0
1	153	60153	1=76500|4=309250|93=8|1024=3	4=309250|1=76500|93=10|1024=3	黑暗神殿	5	9500	1=154500	0
1	154	60154	1=77000|4=311500|93=8|1024=3	4=311500|1=77000|93=10|1024=3	黑暗神殿	5	9500	1=156000	0
1	155	60155	1=77500|4=313750|93=8|1024=3	4=313750|1=187500|93=48|1024=3	黑暗神殿	5	9500	1=157500	0
1	156	60156	1=78000|4=316000|93=8|1024=3	4=316000|1=78000|93=10|1024=3	黑暗神殿	5	10000	1=159000	0
1	157	60157	1=78500|4=318250|93=8|1024=3	4=318250|1=78500|93=10|1024=3	黑暗神殿	5	10000	1=160500	0
1	158	60158	1=79000|4=320500|93=8|1024=3	4=320500|1=79000|93=10|1024=3	黑暗神殿	5	10000	1=162000	0
1	159	60159	1=79500|4=322750|93=8|1024=3	4=322750|1=79500|93=10|1024=3	黑暗神殿	5	10000	1=163500	0
1	160	60160	1=80000|4=325000|93=8|1024=4	4=325000|1=195000|93=48|1024=4	黑暗神殿	5	10000	1=165000	0
1	161	60161	1=80500|4=327250|93=9|1024=4	4=327250|1=80500|93=11|1024=4	黑暗神殿	5	10500	1=166500	0
1	162	60162	1=81000|4=329500|93=9|1024=4	4=329500|1=81000|93=11|1024=4	黑暗神殿	5	10500	1=168000	0
1	163	60163	1=81500|4=331750|93=9|1024=4	4=331750|1=81500|93=11|1024=4	黑暗神殿	5	10500	1=169500	0
1	164	60164	1=82000|4=334000|93=9|1024=4	4=334000|1=82000|93=11|1024=4	黑暗神殿	5	10500	1=171000	0
1	165	60165	1=82500|4=336250|93=9|1024=4	4=336250|1=202500|93=49|1024=4	黑暗神殿	5	10500	1=172500	0
1	166	60166	1=83000|4=338500|93=9|1024=4	4=338500|1=83000|93=11|1024=4	黑暗神殿	5	11000	1=174000	0
1	167	60167	1=83500|4=340750|93=9|1024=4	4=340750|1=83500|93=11|1024=4	黑暗神殿	5	11000	1=175500	0
1	168	60168	1=84000|4=343000|93=9|1024=4	4=343000|1=84000|93=11|1024=4	黑暗神殿	5	11000	1=177000	0
1	169	60169	1=84500|4=345250|93=9|1024=4	4=345250|1=84500|93=11|1024=4	黑暗神殿	5	11000	1=178500	0
1	170	60170	1=85000|4=347500|93=9|1024=4	4=347500|1=210000|93=49|1024=4	黑暗神殿	5	11000	1=180000	0
1	171	60171	1=85500|4=349750|93=9|1024=4	4=349750|1=85500|93=11|1024=4	黑暗神殿	5	11500	1=181500	0
1	172	60172	1=86000|4=352000|93=9|1024=4	4=352000|1=86000|93=11|1024=4	黑暗神殿	5	11500	1=183000	0
1	173	60173	1=86500|4=354250|93=9|1024=4	4=354250|1=86500|93=11|1024=4	黑暗神殿	5	11500	1=184500	0
1	174	60174	1=87000|4=356500|93=9|1024=4	4=356500|1=87000|93=11|1024=4	黑暗神殿	5	11500	1=186000	0
1	175	60175	1=87500|4=358750|93=9|1024=4	4=358750|1=217500|93=49|1024=4	黑暗神殿	5	11500	1=187500	0
1	176	60176	1=88000|4=361000|93=9|1024=4	4=361000|1=88000|93=11|1024=4	黑暗神殿	5	12000	1=189000	0
1	177	60177	1=88500|4=363250|93=9|1024=4	4=363250|1=88500|93=11|1024=4	黑暗神殿	5	12000	1=190500	0
1	178	60178	1=89000|4=365500|93=9|1024=4	4=365500|1=89000|93=11|1024=4	黑暗神殿	5	12000	1=192000	0
1	179	60179	1=89500|4=367750|93=9|1024=4	4=367750|1=89500|93=11|1024=4	黑暗神殿	5	12000	1=193500	0
1	180	60180	1=90000|4=370000|93=9|1024=4	4=370000|1=225000|93=49|1024=4	黑暗神殿	5	12000	1=195000	0
1	181	60181	1=90500|4=372250|93=10|1024=4	4=372250|1=90500|93=12|1024=4	黑暗神殿	5	12500	1=196500	0
1	182	60182	1=91000|4=374500|93=10|1024=4	4=374500|1=91000|93=12|1024=4	黑暗神殿	5	12500	1=198000	0
1	183	60183	1=91500|4=376750|93=10|1024=4	4=376750|1=91500|93=12|1024=4	黑暗神殿	5	12500	1=199500	0
1	184	60184	1=92000|4=379000|93=10|1024=4	4=379000|1=92000|93=12|1024=4	黑暗神殿	5	12500	1=201000	0
1	185	60185	1=92500|4=381250|93=10|1024=4	4=381250|1=232500|93=50|1024=4	黑暗神殿	5	12500	1=202500	0
1	186	60186	1=93000|4=383500|93=10|1024=4	4=383500|1=93000|93=12|1024=4	黑暗神殿	5	13000	1=204000	0
1	187	60187	1=93500|4=385750|93=10|1024=4	4=385750|1=93500|93=12|1024=4	黑暗神殿	5	13000	1=205500	0
1	188	60188	1=94000|4=388000|93=10|1024=4	4=388000|1=94000|93=12|1024=4	黑暗神殿	5	13000	1=207000	0
1	189	60189	1=94500|4=390250|93=10|1024=4	4=390250|1=94500|93=12|1024=4	黑暗神殿	5	13000	1=208500	0
1	190	60190	1=95000|4=392500|93=10|1024=4	4=392500|1=240000|93=50|1024=4	黑暗神殿	5	13000	1=210000	0
1	191	60191	1=95500|4=394750|93=10|1024=4	4=394750|1=95500|93=12|1024=4	黑暗神殿	5	13500	1=211500	0
1	192	60192	1=96000|4=397000|93=10|1024=4	4=397000|1=96000|93=12|1024=4	黑暗神殿	5	13500	1=213000	0
1	193	60193	1=96500|4=399250|93=10|1024=4	4=399250|1=96500|93=12|1024=4	黑暗神殿	5	13500	1=214500	0
1	194	60194	1=97000|4=401500|93=10|1024=4	4=401500|1=97000|93=12|1024=4	黑暗神殿	5	13500	1=216000	0
1	195	60195	1=97500|4=403750|93=10|1024=4	4=403750|1=247500|93=50|1024=4	黑暗神殿	5	13500	1=217500	0
1	196	60196	1=98000|4=406000|93=10|1024=4	4=406000|1=98000|93=12|1024=4	黑暗神殿	5	14000	1=219000	0
1	197	60197	1=98500|4=408250|93=10|1024=4	4=408250|1=98500|93=12|1024=4	黑暗神殿	5	14000	1=220500	0
1	198	60198	1=99000|4=410500|93=10|1024=4	4=410500|1=99000|93=12|1024=4	黑暗神殿	5	14000	1=222000	0
1	199	60199	1=99500|4=412750|93=10|1024=4	4=412750|1=99500|93=12|1024=4	黑暗神殿	5	14000	1=223500	0
1	200	60200	1=100000|4=415000|93=11|1024=5	4=415000|1=255000|93=51|1024=5	黑暗神殿	5	14000	1=225000	0
1	201	60201	1=100000|4=415000|93=11|1024=5	4=415000|1=100000|93=13|1024=5	黑暗神殿	5	14500	1=226500	0
1	202	60202	1=100500|4=416500|93=11|1024=5	4=416500|1=100500|93=13|1024=5	黑暗神殿	5	14500	1=228000	0
1	203	60203	1=101000|4=418000|93=11|1024=5	4=418000|1=101000|93=13|1024=5	黑暗神殿	5	14500	1=229500	0
1	204	60204	1=101500|4=419500|93=11|1024=5	4=419500|1=101500|93=13|1024=5	黑暗神殿	5	14500	1=231000	0
1	205	60205	1=102000|4=421000|93=11|1024=5	4=421000|1=262000|93=61|1024=5	黑暗神殿	5	14500	1=232500	0
1	206	60206	1=102500|4=422500|93=11|1024=5	4=422500|1=102500|93=13|1024=5	黑暗神殿	5	15000	1=234000	0
1	207	60207	1=103000|4=424000|93=11|1024=5	4=424000|1=103000|93=13|1024=5	黑暗神殿	5	15000	1=235500	0
1	208	60208	1=103500|4=425500|93=11|1024=5	4=425500|1=103500|93=13|1024=5	黑暗神殿	5	15000	1=237000	0
1	209	60209	1=104000|4=427000|93=11|1024=5	4=427000|1=104000|93=13|1024=5	黑暗神殿	5	15000	1=238500	0
1	210	60210	1=104500|4=428500|93=12|1024=5	4=428500|1=104550|93=62|1024=5	黑暗神殿	5	15000	1=240000	0
1	211	60211	1=105000|4=430000|93=12|1024=5	4=430000|1=105000|93=14|1024=5	黑暗神殿	5	15500	1=241500	0
1	212	60212	1=105500|4=431500|93=12|1024=5	4=431500|1=105500|93=14|1024=5	黑暗神殿	5	15500	1=243000	0
1	213	60213	1=106000|4=433000|93=12|1024=5	4=433000|1=106000|93=14|1024=5	黑暗神殿	5	15500	1=244500	0
