TaskType	TaskID	PreTaskID	StepID	BranchID	ConditionType	Content	Prof	ProfLevel	TaskTime	EndTime	BeginTaskNPCID	EndTaskNPCID	RequiredLevel	ActivityID	TaskTitle	TaskDesc	InprocessDesc	BeginDesc	EndDesc	PassScene	TaskScene	TaskItem	TaskMonster	RewardItem	MailID	TaskActivity	HideTaskTitleTag	AchieveMedalLevel	TaskStateTutorial
2	5568								2017|04|25|05|00|01	2017|04|26|05|00|00	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		抵抗黑暗入侵		抵抗黑暗入侵	教皇特拉玛依正紧急召集你	黑暗军团的入侵暂时被阻止了		50017=1			445=1					
6	20190607								2019|06|07|05|00|00	2019|06|10|17|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		端午冒险		出发冒险	艾琳正在找你	把冒险经历告诉艾琳吧		52001=1			3976=1					
6	20190608	20190607							2019|06|07|05|00|00	2019|06|10|17|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		端午冒险		出发冒险	艾琳正在找你	把冒险经历告诉艾琳吧		52002=1			3976=1					
6	20190609	20190608							2019|06|07|05|00|00	2019|06|10|17|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		端午冒险		出发冒险	艾琳正在找你	把冒险经历告诉艾琳吧		52005=1			3977=1					
6	5574								2017|04|29|05|00|00	2017|04|30|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5575								2017|04|30|05|00|01	2017|05|01|05|00|01	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5576								2017|05|06|05|00|00	2017|05|07|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5577								2017|05|07|05|00|01	2017|05|08|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5578								2017|05|08|05|00|00	2017|05|09|05|00|00	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		抵抗黑暗入侵		抵抗黑暗入侵	教皇特拉玛依正紧急召集你	黑暗军团的入侵暂时被阻止了		50017=1			445=1					
6	5579								2017|05|09|05|00|01	2017|05|10|05|00|00	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		抵抗黑暗入侵		抵抗黑暗入侵	教皇特拉玛依正紧急召集你	黑暗军团的入侵暂时被阻止了		50017=1			445=1					
6	5580								2017|05|13|05|00|00	2017|05|14|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5581								2017|05|14|05|00|01	2017|05|15|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50023=1			450=1					
6	5582								2017|05|20|05|00|01	2017|05|21|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50024=1			450=1					
6	5583								2017|05|21|05|00|01	2017|05|22|05|00|00	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		化身英雄		前往战斗	铁匠道林托人在四处找你	告诉铁匠战斗胜利的消息		50024=1			450=1					
6	5584								2017|05|27|05|00|00	2017|05|28|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		疯狂鸭子		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50027=1			450=1					
6	5585								2017|05|28|05|00|01	2017|05|29|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		疯狂鸭子		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50027=1			450=1					
6	5586								2017|06|03|05|00|01	2017|06|04|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		蘑菇危机		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50026=1			450=1|554=2					
6	5587								2017|06|04|05|00|01	2017|06|05|05|00|01	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		蘑菇危机		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50026=1			450=1|554=2					
6	5588								2017|06|01|05|00|01	2017|06|02|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		万事屋的秘密		快去看看	小丑杰克正在四处找你呢	去询问小丑万事屋的秘密吧		50027=1			419=1					
6	5589								2017|06|02|05|00|01	2017|06|03|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		万事屋的秘密		快去看看	小丑杰克正在四处找你呢	去询问小丑万事屋的秘密吧		50026=1			419=1					
6	5590								2017|06|03|05|00|01	2017|06|04|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		万事屋的秘密		快去看看	小丑杰克正在四处找你呢	去询问小丑万事屋的秘密吧		50023=1			419=1					
6	5591								2017|06|04|05|00|01	2017|06|05|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		万事屋的秘密		快去看看	小丑杰克正在四处找你呢	去询问小丑万事屋的秘密吧		50017=1			419=1					
6	5592								2017|06|10|05|00|01	2017|06|11|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		疯狂鸭子		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50027=1			450=1|554=2					
6	5593								2017|06|11|05|00|01	2017|06|12|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		蘑菇危机		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50026=1			450=1|554=2					
6	5594								2017|06|17|05|00|01	2017|06|18|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		疯狂鸭子		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50027=1			450=1|554=2					
6	5595								2017|06|18|05|00|01	2017|06|19|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		蘑菇危机		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50026=1			450=1|554=2					
6	5596								2017|06|24|05|00|01	2017|06|25|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		疯狂鸭子		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50027=1			450=1|554=2					
6	5597								2017|06|25|05|00|01	2017|06|26|05|00|00	10|10|10|10|10|10|10	10|10|10|10|10|10|10	20		蘑菇危机		快去看看	魔法师桑德斯正在找你	告诉桑德斯奇妙的体验吧		50026=1			450=1|554=2					
6	5598								2017|07|05|05|00|00	2017|07|06|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		酷炫到底		快去看看	小丑杰克正在四处找你呢	告诉小丑杰克战斗胜利的消息		50050=1			239=1|554=2|604=3					
6	5599								2017|07|06|05|00|01	2017|07|07|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		酷炫到底		快去看看	小丑杰克正在四处找你呢	告诉小丑杰克战斗胜利的消息		50050=1			239=1|554=2|604=3					
6	5600								2017|07|07|05|00|01	2017|07|08|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		酷炫到底		快去看看	小丑杰克正在四处找你呢	告诉小丑杰克战斗胜利的消息		50050=1			239=1|554=2|604=3					
6	5601								2017|07|08|05|00|01	2017|07|09|05|00|01	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		酷炫到底		快去看看	小丑杰克正在四处找你呢	告诉小丑杰克战斗胜利的消息		50050=1			239=1|554=2|604=3					
6	5602								2017|07|09|05|00|01	2017|07|10|05|00|00	16|16|16|16|16|16|16	16|16|16|16|16|16|16	20		酷炫到底		快去看看	小丑杰克正在四处找你呢	告诉小丑杰克战斗胜利的消息		50050=1			239=1|554=2|604=3					
6	5603								2017|07|18|05|00|00	2017|08|01|05|00|01	12|12|12|12|12|12|12	124|124|124|124|124|124|124	20		明星到来		快去看看	戴卡德会长正在四处找你	快去寻找大明星董子健吧					1=1000					
6	5604	5603							2017|07|18|05|00|01	2017|08|01|05|00|02	124|124|124|124|124|124|124	124|124|124|124|124|124|124	20		神秘挑战		快去试试	大明星有秘密任务交给你	快把好消息告诉董子健吧		50017=1			695=1					
6	5605								2017|07|18|05|00|00	2017|07|24|05|00|03	24|24|24|24|24|24|24	125|125|125|125|125|125|125	20		美丽姐姐		快去看看	莉莉拉住了过路的你	去见见美丽的宋祖儿吧					1=1000					
6	5606	5605							2017|07|18|05|00|01	2017|07|19|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		鸭子粉丝		快去试试	宋祖儿也有一些烦恼想说	告诉祖儿麻烦已经被解决了		50026=1			603=1|611=1|694=1					
6	5607								2017|07|19|05|00|01	2017|07|20|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		祖儿的烦恼		快去试试	大明星宋祖儿邀请你过去	告诉祖儿麻烦已经被解决了		50027=1			603=1|611=1|694=1					
6	5608								2017|07|20|05|00|01	2017|07|21|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		疯狂的粉丝		快去试试	宋祖儿又遇到烦恼了	告诉祖儿麻烦已经被解决了		50026=1			603=1|611=1|694=1					
6	5609								2017|07|21|05|00|01	2017|07|22|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		祖儿的烦恼		快去试试	美丽的祖儿邀请你去聊聊	告诉祖儿麻烦已经被解决了		50027=1			603=1|611=1|694=1					
6	5610								2017|07|22|05|00|01	2017|07|23|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		疯狂的粉丝		快去试试	宋祖儿又遇到烦恼了	告诉祖儿麻烦已经被解决了		50026=1			603=1|611=1|694=1					
6	5611								2017|07|23|05|00|05	2017|07|24|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		宋祖儿的请求		快去试试	美丽的祖儿邀请你去聊聊	告诉祖儿麻烦已经被解决了		50027=1			603=1|611=1|694=1					
6	5612								2017|07|27|05|00|00	2017|07|28|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		粉丝大暴走		快去阻止	美丽的祖儿正在找你呢	告诉祖儿麻烦已经被解决了		50033=1			7=30|93=5|603=2					
6	5613								2017|07|28|05|00|01	2017|07|29|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		粉丝大暴走		快去阻止	美丽的祖儿正在找你呢	告诉祖儿麻烦已经被解决了		50033=1			7=30|93=5|603=2					
6	5614								2017|07|29|05|00|02	2017|07|30|05|00|00	125|125|125|125|125|125|125	125|125|125|125|125|125|125	20		粉丝大暴走		快去阻止	美丽的祖儿在请求你的帮助	告诉祖儿麻烦已经被解决了		50033=1			7=30|93=5|603=2|979=1					
6	5615								2017|07|30|05|00|03	2017|07|31|05|00|00	124|124|124|124|124|124|124	124|124|124|124|124|124|124	20		粉丝大暴走		快去阻止	大明星有秘密任务交给你	快把好消息告诉董子健吧		50033=1			7=30|93=5|603=2|978=1					
6	5616								2017|07|31|05|00|04	2017|08|01|05|00|00	124|124|124|124|124|124|124	124|124|124|124|124|124|124	20		粉丝大暴走		快去阻止	大明星有秘密任务交给你	快把好消息告诉董子健吧		50033=1			7=30|93=5|603=2					
2	5617								2017|08|05|05|00|00	2017|08|06|05|00|00	12|12|12|12|12|12|12	4|4|4|4|4|4|4	20		羞怯心意		去传话吧	戴卡德会长神神秘秘的喊你	去找奸商波普问问吧					1=1000					
2	5618	5617							2017|08|05|05|00|00	2017|08|06|05|00|00	4|4|4|4|4|4|4	125|125|125|125|125|125|125	20		误会乌龙		去传话吧	挑选一个合适的礼物吧	去问问宋祖儿的心意吧										
2	5619	5618							2017|08|05|05|00|00	2017|08|06|05|00|00	125|125|125|125|125|125|125	12|12|12|12|12|12|12	20		惊喜会长		去传话吧	祖儿笑眯眯的安慰你	把消息告诉戴卡德会长					154=1					
2	5620								2017|08|06|05|00|01	2017|08|07|05|00|00	12|12|12|12|12|12|12	124|124|124|124|124|124|124	20		极大危险		去传话吧	戴卡德会长忧心忡忡的	去找大明星董子健										
2	5621	5620							2017|08|06|05|00|01	2017|08|07|05|00|00	124|124|124|124|124|124|124	12|12|12|12|12|12|12	20		深藏不露		去传话吧	大明星是深藏不露的高手	把好消息告诉戴卡德会长					154=1					
2	5622								2017|08|11|18|00|00	2017|08|12|00|00|00	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		熊猫的挑战		去看看吧	戴卡德会长正在急着找你	把熊猫人的消息告诉会长		50035=1			586=1					
2	5623								2017|08|12|18|00|01	2017|08|13|00|00|00	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		熊猫的挑战		去看看吧	戴卡德会长正在四处找你	把解决的消息告诉会长吧		50035=1			586=1					
6	5624								2017|08|17|05|00|00	2017|08|20|05|00|00	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		龙的故事		仔细听听看	戴卡德会长想拉你聊天	听听戴卡德会长的秘密消息					2201=1					
6	5625								2017|08|20|05|00|02	2017|08|23|05|00|00	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		女神的奥秘		仔细听听看	戴卡德会长想拉你聊天	听听戴卡德会长的秘密消息					2202=1					
6	5626								2017|08|23|05|00|03	2017|08|26|05|00|01	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		大陆的威胁		仔细听听看	戴卡德会长想拉你喝酒	听听戴卡德会长的秘密消息					2203=1					
2	6050								2018|10|26|05|00|00	2018|11|25|05|00|00	12|12|12|12|12|12|12	12|12|12|12|12|12|12	40		重大消息			戴卡德会长好像在担忧什么	戴卡德会长严肃了起来										
2	6051	6050							2018|10|26|05|00|00	2018|11|25|05|00|01	11|11|11|11|11|11|11	11|11|11|11|11|11|11	40		亡灵危机		快去帮忙	教皇陛下也是忧心忡忡	告诉教皇守护水晶已经安全		50053=1			7=200|238=1|239=2					
2	6052	6051							2018|11|05|05|00|00	2018|11|25|05|00|02	9|9|9|9|9|9|9	9|9|9|9|9|9|9	40		世界危机			黑暗女神官正在找你	可怕的消息必须慎重对待										
2	6053	6052							2018|11|05|05|00|00	2018|11|25|05|00|03	11|11|11|11|11|11|11	11|11|11|11|11|11|11	40		深入探查		准备潜入	把预言告诉教皇陛下吧	把探查情况告诉教皇吧		50054=1			7=250|611=5|401=1					
2	6054	6053							2018|11|15|05|00|00	2018|11|25|05|00|04	11|11|11|11|11|11|11	11|11|11|11|11|11|11	40		拯救世界		准备决战	教皇陛下忧心忡忡的找你	把好消息告诉教皇陛下吧		50055=1			7=300|607=1|603=5					
6	6005								2017|08|28|05|00|01	2017|08|30|05|00|02	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		情比金坚		一起前往挑战吧	教皇陛下面露怀念的表情	一起去汇报教皇陛下吧		50026=1			90=99|11378=1					
6	5627								2017|09|10|05|00|01	2017|09|19|05|00|01	1|6|5|35|75|123|166	1|6|5|35|75|123|166	20		师傅的教导		听师傅说吧	导师喊住了急匆匆的你	听听导师想说的话吧					1=58888|94=5|901=1|178=1					
6	5628								2017|09|13|05|00|01	2017|09|19|05|00|01	1|6|5|35|75|123|166	1|6|5|35|75|123|166	20		师傅的考验		迎接挑战吧	导师面带笑容的叫住了你	自豪的告诉导师已经通过了		50061=1			2205=1					
6	5629								2017|09|10|05|00|01	2017|09|13|05|00|01	1|6|5|35|75|123|166	1|6|5|35|75|123|166	20		师傅的礼物			导师扛着礼物叫住了你	接下导师的礼物吧					2206=1					
6	5630								2017|09|05|05|00|01	2017|09|07|05|00|01	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		鬼节传说		快去看看	教皇陛下忧心忡忡的找你	把好消息告诉教皇陛下吧		50062=1			2208=1					
6	5631								2017|09|28|05|00|00	2017|10|06|05|00|01	1|6|5|35|75|123|166	1|6|5|35|75|123|166	20		国庆传说			导师喊住了急匆匆的你	听听导师说的话吧					15285=1					
6	5632	5631							2017|09|29|05|00|01	2017|10|06|05|00|02	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		大使来访			教皇陛下派人邀请了你	完成教皇陛下的任务吧					15285=1					
6	5633	5632							2017|09|30|05|00|02	2017|10|06|05|00|03	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		奇妙国庆			和铁匠道林说说国庆节吧	老铁匠要感谢你的诉说					15285=1					
6	5634	5633							2017|10|01|05|00|03	2017|10|06|05|00|04	3|3|3|3|3|3|3	3|3|3|3|3|3|3	20		国庆节日			去看看铁匠道林爷爷	铁匠道林给你准备了礼物					15286=1					
6	5635	5634							2017|10|02|05|00|04	2017|10|06|05|00|05	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		遥远传说			戴卡德会长想拉你喝酒	听听戴卡德会长的故事					15285=1					
6	5636	5635							2017|10|03|05|00|05	2017|10|06|05|00|06	12|12|12|12|12|12|12	12|12|12|12|12|12|12	20		月亮传说			快去听戴卡德会长的故事	终于得知了完整的故事					15285=1					
6	5637	5636							2017|10|04|05|00|06	2017|10|06|05|00|07	24|24|24|24|24|24|24	24|24|24|24|24|24|24	20		中秋团圆			快去看看哭泣的莉莉	好好陪陪莉莉吧					15287=1					
6	5638	5637							2017|10|05|05|00|07	2017|10|06|05|00|08	24|24|24|24|24|24|24	24|24|24|24|24|24|24	20		佳节告别			陪莉莉说说话吧	莉莉要和你道谢					15285=1					
6	5639								2017|10|01|05|00|00	2017|10|08|05|00|02	11|11|11|11|11|11|11	11|11|11|11|11|11|11	20		满城轰动		快去看看	教皇陛下忧心忡忡的找你	把好消息告诉教皇陛下吧		50062=1			1=88888|7=88|402=1|584=1					
6	5640								2017|10|12|05|00|01	2017|10|16|05|00|02	37|37|37|37|37|37|37	37|37|37|37|37|37|37	20		萝莉佳节			很多人围在夏萝莉身边	听听夏萝莉的介绍吧					2225=1					
6	5641								2017|10|26|05|00|02	2017|10|29|05|00|03	11|11|11|11|11|11|11	11|11|11|11|11|11|11			重阳佳节			教皇陛下派人邀请了你	和教皇陛下一同参加庆典吧					571=15|402=1|1=88888					
6	5642								2017|10|29|05|00|03	2017|11|03|05|00|04	11|11|11|11|11|11|11	11|11|11|11|11|11|11			万圣好礼			教皇特拉玛依正在召见你	去参加万圣节狂欢吧					2234=1					
6	5643								2017|11|02|05|00|04	2017|11|06|05|00|05	11|11|11|11|11|11|11	11|11|11|11|11|11|11			舞娘传说			教皇陛下请你前去	把见到的情况描述给教皇		50039=1			402=1|94=7|3050=1|1=88888					
6	5644								2017|11|13|05|00|00	2017|11|14|05|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		倒计时之初			艾琳一脸神神秘秘的喊你	听听艾琳在说什么吧					1=58888|7=188|2227=1					
6	5645								2017|11|14|05|00|01	2017|11|15|05|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		倒计时之始			艾琳的神奇故事又开讲啦	听听艾琳在说什么吧					2227=1|7=188|1=58888					
6	5646								2017|11|15|05|00|02	2017|11|16|05|00|00	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		倒计时之终			艾琳高高兴兴的喊你过去	听听艾琳在说什么吧					2123=1|607=1|584=3|1=58888					
6	5647								2017|11|16|05|00|03	2017|11|17|05|00|04	13|13|13|13|13|13|13	13|13|13|13|13|13|13	20		倒计时之末			听听艾琳故事的结局吧	听听艾琳的故事吧					2123=1|607=1|584=3|1=58888					
1	1111										13|13|13|13|13|13|13	1|6|5|35|75|123|166			梦醒时分			艾琳一脸嗔怪的看着你	快去和导师汇报吧					1276=1|611=100|901=10|42=10|1097=200|610=100					
1	3	1111									1|6|5|35|75|123|166	24|24|24|24|24|24|24			冒险开端	踏上冒险路途，展开未曾想到的未来，成为大陆的守护者之前，首先……	去阴影森林看看吧	导师有任务要交给你	去看看哭泣的莉莉	101=1				1=10000|4=10000					
1	4	3									38|38|38|38|38|38|38	1|6|5|35|75|123|166			寻找萝丝	哭泣的莉莉，焦急的提摩西，都催促着，要找回萝丝	去神殿挖掘场看看吧	焦急的提摩西正在找你	快将寻找萝丝的消息告诉导师	102=1				1=10000|4=10000					
1	5	4									1|6|5|35|75|123|166	38|38|38|38|38|38|38			想念萝丝	不入虎穴焉得虎子，去找寻怪物大本营的地图吧	快去把莉莉找回来	没有发现消息，莉莉也不见了	发现地图碎片，交给提摩西	103=1				1=10000|4=10000					
1	6	5									38|38|38|38|38|38|38	1|6|5|35|75|123|166			前往救援	前往怪物大本营，想办法救出萝丝吧	去墓穴神殿救出萝丝	和提摩西辨认地图	去找走散的提摩西和萝丝	104=1				1=10000|4=10000					
1	7	6									1|6|5|35|75|123|166	3|3|3|3|3|3|3			铁匠赠礼			去四处看看	铁匠在和你打招呼					4=10000					
1	8	7									3|3|3|3|3|3|3	1|6|5|35|75|123|166			紧急返回	找到了失散的两人，顺利的救援又忽生波澜	快去挖掘场中心接应	竟然失散了，必须回去救人	将提摩西牺牲的消息告知导师	105=1				1=10000|4=10000					
1	9	8									12|12|12|12|12|12|12	12|12|12|12|12|12|12			红色危机	决不能辜负提摩西的遗愿，去叹息峡谷找找消息吧	去峡谷边缘打探	希望能有救出萝丝的消息	回去找戴卡德会长询问信息	201=1				1=10000|4=10000					
1	11	9									12|12|12|12|12|12|12	12|12|12|12|12|12|12			精灵竖琴		去袭击者营地找竖琴	跟戴卡德会长报告搜寻情况	把精灵竖琴带给会长看看	202=1				1=10000|4=10000					
1	12	11									6|6|6|6|6|6|6	6|6|6|6|6|6|6			旋律密码		去峡谷深处帮竖琴充能	去问问精灵竖琴的用法吧	把充满能量的竖琴带回去吧	203=1				1=10000|4=10000					
1	13	12									4|4|4|4|4|4|4	4|4|4|4|4|4|4			奸商嘴脸			去问问奸商波普吧	看来必须买点东西					4=10000					
1	14	13									4|4|4|4|4|4|4	12|12|12|12|12|12|12			神秘骑士		去叹息峡谷救出萝丝	赶快准备出发吧	把黑骑士的消息告诉会长	204=1				1=10000|4=10000					
1	15	14									12|12|12|12|12|12|12	12|12|12|12|12|12|12			再次探秘		到圣域遗迹里再找找	和会长商量一下办法	戴卡德会长正在找你呢	205=1				1=10000|4=10000					
1	16	15									12|12|12|12|12|12|12	12|12|12|12|12|12|12			红衣女子		去神圣遗迹准备战斗	一定要救回萝丝	被神秘的红衣女子出手相救	206=1				1=10000|4=10000					
1	17	16									12|12|12|12|12|12|12	2|2|2|2|2|2|2			锲而不舍		去给自己采点药吧	告诉红衣女子事情的始末	红衣女子在叫你，去看看吧					1=10000|4=10000					
1	18	17									35|35|35|35|35|35|35	35|35|35|35|35|35|35			失踪的牧师		去威廉失踪的死亡森林	去四处问问魔法结界的情况	去寻找有没有其他的消息	207=1				1=10000|4=10000	31|32|31|32|32|32|32				
1	19	18									42|42|42|42|42|42|42	42|42|42|42|42|42|42			学者猜想		去兽人巢穴看看	纹章学者似乎知道吊坠的事	告诉纹章学者你的发现					1=10000|4=10000					
1	21	19									42|42|42|42|42|42|42	42|42|42|42|42|42|42			吊坠迷踪		小心前往浸毒之地	纹章学者充满了担心	告诉纹章学者你的发现	208=1				1=10000|4=10000					
1	22	21									42|42|42|42|42|42|42	35|35|35|35|35|35|35			顺从吊坠		也许亡灵林窟会有发现	去试试最后的可能	把吊坠拿给牧师导师看看	209=1				1=10000|4=10000					
1	23	22									2|2|2|2|2|2|2	2|2|2|2|2|2|2			红黑之战		去圣域中心做好诱饵	听听红衣女子的安排	去看看阿尔杰塔伤的如何	210=1				1=10000|4=10000					
1	24	23									41|41|41|41|41|41|41	41|41|41|41|41|41|41			交通瘫痪		去雾气森林捡飞艇零件	搭乘飞艇去找杰兰特吧	把飞艇零件送过去吧	301=1				1=10000|4=10000					
