RankID	BasicProfession	RankName	RankAtlas	RankIcon	AffectRoute	NeedPowerPoint	NeedItem	Attribute	RankPath	desc	
12	1	传奇	common/Billboard	cq_11		1250000	305=20	11=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	2	传奇	common/Billboard	cq_11		1250000	305=20	11=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	3	传奇	common/Billboard	cq_11		1250000	305=20	21=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	4	传奇	common/Billboard	cq_11		1250000	305=20	21=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	5	传奇	common/Billboard	cq_11		1250000	305=20	21=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	6	传奇	common/Billboard	cq_11		1250000	305=20	11=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
12	7	传奇	common/Billboard	cq_11		1250000	305=20	21=7000|13=560000	atlas/UI/common/Pic/title_tex_11	所需勋章	
13	1	圣者	common/Billboard	sz_12		1500000	305=25	11=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	2	圣者	common/Billboard	sz_12		1500000	305=25	11=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	3	圣者	common/Billboard	sz_12		1500000	305=25	21=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	4	圣者	common/Billboard	sz_12		1500000	305=25	21=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	5	圣者	common/Billboard	sz_12		1500000	305=25	21=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	6	圣者	common/Billboard	sz_12		1500000	305=25	11=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
13	7	圣者	common/Billboard	sz_12		1500000	305=25	21=8500|13=680000	atlas/UI/common/Pic/title_tex_12	所需勋章	
14	1	星耀	common/Billboard	xy_13		2000000	305=30	11=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	2	星耀	common/Billboard	xy_13		2000000	305=30	11=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	3	星耀	common/Billboard	xy_13		2000000	305=30	21=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	4	星耀	common/Billboard	xy_13		2000000	305=30	21=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	5	星耀	common/Billboard	xy_13		2000000	305=30	21=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	6	星耀	common/Billboard	xy_13		2000000	305=30	11=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
14	7	星耀	common/Billboard	xy_13		2000000	305=30	21=10000|13=800000	atlas/UI/common/Pic/title_tex_13	所需勋章	
