SkillEffectID	SkillName	SkillScript	Profession	ActivationStyle	ActivationContent	SuitName	FxPath	FlyFxPath	ExplodeFxPath	ChildEffectId
19	消亡之门·森林奥义	Player_cleric_attack_xiaowangzhimen	34	2	19496600=1|19496601=1|19496602=1|19496603=1|19496604=1|19496605=1|19496606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip01=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip01_1|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip02=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip02_2|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip03=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip03_3|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip04=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip04_4|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip05=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip05_5|Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip06=Effects/High_Resources/Prefabs/Cleric/Player_cleric_attack_xiaowangzhimen_Clip06_6			
20	摧毁·森林奥义	Player_academic_attack_cuihui	15	2	19596600=1|19596601=1|19596602=1|19596603=1|19596604=1|19596605=1|19596606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip02=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip02_2|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip04=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip04_4|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip05=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_cuihui_Clip05_5			
21	天际·森林奥义	Player_academic_attack_tianji	15	2	19596600=1|19596601=1|19596602=1|19596603=1|19596604=1|19596605=1|19596606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip01=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip01_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip02=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip02_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip03=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_tianji_Clip03_1			
22	冰柱释放·森林奥义	Player_academic_attack_bingzhushifang	25	2	19596600=1|19596601=1|19596602=1|19596603=1|19596604=1|19596605=1|19596606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Academic/Player_academic_attack_bingzhushifang_Clip01=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_bingzhushifang_Clip01_1			
23	毒池·森林奥义	Player_academic_attack_duchi	25	2	19596600=1|19596601=1|19596602=1|19596603=1|19596604=1|19596605=1|19596606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip01=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip01_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip03=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip03_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip04=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip04_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip05=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip05_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip06=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_duchi_Clip06_1			
24	卫星光束·森林奥义	Player_academic_attack_weixingguangshu	35	2	19596600=1|19596601=1|19596602=1|19596603=1|19596604=1|19596605=1|19596606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip01=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip01_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip02=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip02_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip04=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip04_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip05=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip05_1|Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip06=Effects/High_Resources/Prefabs/Academic/Player_academic_attack_weixingguangshu_Clip06_1			
25	终结·森林奥义	Player_assassin_attack_zhongjie	16	2	19696600=1|19696601=1|19696602=1|19696603=1|19696604=1|19696605=1|19696606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip01=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip01_lan|Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip02=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip02_lan|Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip03=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhongjie_Clip03_lan			
26	致残惩罚者·森林奥义	Player_assassin_zhicanchengfazhe_attack	16	2	19696600=1|19696601=1|19696602=1|19696603=1|19696604=1|19696605=1|19696606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhicanchengfazhe_Clip01=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_zhicanchengfazhe_Clip01_lan|Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip01=Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip01_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip02=Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip02_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip03=Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip03_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip04=Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip04_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip05=Effects/High_Resources/Prefabs/Assassin/Player_assassin_zhicanchengfazhe_attack_Clip05_zi			
27	黑暗信念·森林奥义	Player_assassin_attack_heianxinnian	26	2	19696600=1|19696601=1|19696602=1|19696603=1|19696604=1|19696605=1|19696606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_heianxinnian_Clip01=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_heianxinnian_Clip01_huang|Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_heianxinnian_Clip02=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_heianxinnian_Clip02_huang			
28	能量环·森林奥义	Player_assassin_attack_nenglianghuan	26	2	19696600=1|19696601=1|19696602=1|19696603=1|19696604=1|19696605=1|19696606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip02=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip02_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip03=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip03_zi|Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip04=Effects/High_Resources/Prefabs/Assassin/Player_assassin_attack_nenglianghuan_Clip04_zi		Prefabs/Bullets/Player_assassin_attack_nenglianghuan_Clip01=Prefabs/Bullets/Player_assassin_attack_nenglianghuan_Clip01_zi	
29	幽灵复仇者·森林奥义	Player_kali_attack_youlingfuchouzhe	17	2	19796600=1|19796601=1|19796602=1|19796603=1|19796604=1|19796605=1|19796606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip01=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip01_huang|Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip02=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip02_huang|Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip03=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_youlingfuchouzhe_Clip03_huang			
30	龙魂·森林奥义	Player_kali_attack_longhun	17	2	19796600=1|19796601=1|19796602=1|19796603=1|19796604=1|19796605=1|19796606=1	传奇·森林龙装备	Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip01=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip01_lv|Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip02=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip02_lv|Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip03=Effects/High_Resources/Prefabs/Kali/Player_kali_attack_longhun_Clip03_lv			
