ExpID	SceneID	EnemyType			Buff0	Buff1	Buff2	Buff3	Buff4	Buff5	Buff6	ChangeAttribute
	1325	6	沙漠龙-末日高地（全民屠龙）	130	2903006=1							
1540	1540	2	大师冰龙1	130	2902401=1							
1541	1541	2	大师冰龙2	130	2902501=1							
1542	1542	2	大师冰龙3	130	2902601=1							
1543	1543	2	大师冰龙4	130	2902701=1							
1544	1544	2	大师冰龙5	130	2902801=1							
1545	1545	2	大师冰龙6	130	2902901=1							
1540	1540	6	大师冰龙1	130	2902401=1							
1541	1541	6	大师冰龙2	130	2902501=1							
1542	1542	6	大师冰龙3	130	2902601=1							
1543	1543	6	大师冰龙4	130	2902701=1							
1544	1544	6	大师冰龙5	130	2902801=1							
1545	1545	6	大师冰龙6	130	2902901=1							
1550	1550	1	符文龙大师第一关	140	2904701=1							
1551	1551	1	符文龙大师第二关	140	2904801=1							
1552	1552	1	符文龙大师第三关	140	2904901=1							
1553	1553	1	符文龙大师第四关	140	2905001=1							
1554	1554	1	符文龙大师第五关	140	2905101=1							
1555	1555	1	符文龙大师第六关	140	2905201=1							
1550	1550	2	符文龙大师第一关	140	2904701=1							
1551	1551	2	符文龙大师第二关	140	2904801=1							
1552	1552	2	符文龙大师第三关	140	2904901=1							
1553	1553	2	符文龙大师第四关	140	2905001=1							
1554	1554	2	符文龙大师第五关	140	2905101=1							
1555	1555	2	符文龙大师第六关	140	2905201=1							
1550	1550	6	符文龙大师第一关	140	2904701=1							
1551	1551	6	符文龙大师第二关	140	2904801=1							
1552	1552	6	符文龙大师第三关	140	2904901=1							
1553	1553	6	符文龙大师第四关	140	2905001=1							
1554	1554	6	符文龙大师第五关	140	2905101=1							
1555	1555	6	符文龙大师第六关	140	2905201=1							
8006	8032	1	魔化巢穴简单赏金	130	2800101=1							
8007	8033	1	魔化巢穴困难赏金	130	2800301=1							
8006	8032	2	魔化巢穴简单赏金	130	2800101=1							
8007	8033	2	魔化巢穴困难赏金	130	2800301=1							
8006	8032	6	魔化巢穴简单赏金	130	2800101=1							
8007	8033	6	魔化巢穴困难赏金	130	2800301=1							
9024	9024	1	魔化海龙1	130	2900001=1							
9025	9025	1	魔化海龙2	130	2900101=1							
9026	9026	1	魔化海龙3	130	2900201=1							
9027	9027	1	魔化海龙4	130	2900301=1							
9028	9028	1	魔化海龙5	130	2900401=1							
9029	9029	1	魔化海龙6	130	2900501=1							
9030	9030	1	魔化绿龙1	130	2900601=1							
9031	9031	1	魔化绿龙2	130	2900701=1							
9032	9032	1	魔化绿龙3	130	2900801=1							
9033	9033	1	魔化绿龙4	130	2900901=1							
9034	9034	1	魔化绿龙5	130	2901001=1							
9035	9035	1	魔化绿龙6	130	2901101=1							
9036	9036	1	魔化沙龙1	130	2901201=1							
9037	9037	1	魔化沙龙2	130	2901301=1							
9038	9038	1	魔化沙龙3	130	2901401=1							
9039	9039	1	魔化沙龙4	130	2901501=1							
9040	9040	1	魔化沙龙5	130	2901601=1							
9041	9041	1	魔化沙龙6	130	2901701=1							
9042	9042	1	魔化黑龙1	130	2901801=1							
9043	9043	1	魔化黑龙2	130	2901901=1							
9044	9044	1	魔化黑龙3	130	2902001=1							
9045	9045	1	魔化黑龙4	130	2902101=1							
9046	9046	1	魔化黑龙5	130	2902201=1							
9047	9047	1	魔化黑龙6	130	2902301=1							
9024	9024	2	魔化海龙1	130	2900001=1							
9025	9025	2	魔化海龙2	130	2900101=1							
9026	9026	2	魔化海龙3	130	2900201=1							
9027	9027	2	魔化海龙4	130	2900301=1							
9028	9028	2	魔化海龙5	130	2900401=1							
9029	9029	2	魔化海龙6	130	2900501=1							
9030	9030	2	魔化绿龙1	130	2900601=1							
9031	9031	2	魔化绿龙2	130	2900701=1							
9032	9032	2	魔化绿龙3	130	2900801=1							
9033	9033	2	魔化绿龙4	130	2900901=1							
9034	9034	2	魔化绿龙5	130	2901001=1							
9035	9035	2	魔化绿龙6	130	2901101=1							
9036	9036	2	魔化沙龙1	130	2901201=1							
9037	9037	2	魔化沙龙2	130	2901301=1							
9038	9038	2	魔化沙龙3	130	2901401=1							
9039	9039	2	魔化沙龙4	130	2901501=1							
9040	9040	2	魔化沙龙5	130	2901601=1							
9041	9041	2	魔化沙龙6	130	2901701=1							
9042	9042	2	魔化黑龙1	130	2901801=1							
9043	9043	2	魔化黑龙2	130	2901901=1							
9044	9044	2	魔化黑龙3	130	2902001=1							
9045	9045	2	魔化黑龙4	130	2902101=1							
9046	9046	2	魔化黑龙5	130	2902201=1							
9047	9047	2	魔化黑龙6	130	2902301=1							
9024	9024	6	魔化海龙1	130	2900001=1							
9025	9025	6	魔化海龙2	130	2900101=1							
9026	9026	6	魔化海龙3	130	2900201=1							
9027	9027	6	魔化海龙4	130	2900301=1							
9028	9028	6	魔化海龙5	130	2900401=1							
9029	9029	6	魔化海龙6	130	2900501=1							
9030	9030	6	魔化绿龙1	130	2900601=1							
9031	9031	6	魔化绿龙2	130	2900701=1							
9032	9032	6	魔化绿龙3	130	2900801=1							
9033	9033	6	魔化绿龙4	130	2900901=1							
9034	9034	6	魔化绿龙5	130	2901001=1							
9035	9035	6	魔化绿龙6	130	2901101=1							
9036	9036	6	魔化沙龙1	130	2901201=1							
9037	9037	6	魔化沙龙2	130	2901301=1							
9038	9038	6	魔化沙龙3	130	2901401=1							
9039	9039	6	魔化沙龙4	130	2901501=1							
9040	9040	6	魔化沙龙5	130	2901601=1							
9041	9041	6	魔化沙龙6	130	2901701=1							
9042	9042	6	魔化黑龙1	130	2901801=1							
9043	9043	6	魔化黑龙2	130	2901901=1							
9044	9044	6	魔化黑龙3	130	2902001=1							
9045	9045	6	魔化黑龙4	130	2902101=1							
9046	9046	6	魔化黑龙5	130	2902201=1							
9047	9047	6	魔化黑龙6	130	2902301=1							
9079	9079	1	魔化冰龙2	130	2903202=1							
9078	9078	2	魔化冰龙1	130	2903101=1							
9079	9079	2	魔化冰龙2	130	2903201=1							
9080	9080	2	魔化冰龙3	130	2903301=1							
9081	9081	2	魔化冰龙4	130	2903401=1							
9082	9082	2	魔化冰龙5	130	2903501=1							
9083	9083	2	魔化冰龙6	130	2903601=1							
9078	9078	6	魔化冰龙1	130	2903101=1							
9079	9079	6	魔化冰龙2	130	2903201=1							
9080	9080	6	魔化冰龙3	130	2903301=1							
9081	9081	6	魔化冰龙4	130	2903401=1							
9082	9082	6	魔化冰龙5	130	2903501=1							
9083	9083	6	魔化冰龙6	130	2903601=1							
9084	9084	1	符文龙魔化第一关	140	2905301=1							
9085	9085	1	符文龙魔化第二关	140	2905401=1							
9086	9086	1	符文龙魔化第三关	140	2905501=1							
9087	9087	1	符文龙魔化第四关	140	2905601=1							
9088	9088	1	符文龙魔化第五关	140	2905701=1							
9089	9089	1	符文龙魔化第六关	140	2905801=1							
9084	9084	2	符文龙魔化第一关	140	2905301=1							
9085	9085	2	符文龙魔化第二关	140	2905401=1							
9086	9086	2	符文龙魔化第三关	140	2905501=1							
9087	9087	2	符文龙魔化第四关	140	2905601=1							
9088	9088	2	符文龙魔化第五关	140	2905701=1							
9089	9089	2	符文龙魔化第六关	140	2905801=1							
9084	9084	6	符文龙魔化第一关	140	2905301=1							
9085	9085	6	符文龙魔化第二关	140	2905401=1							
9086	9086	6	符文龙魔化第三关	140	2905501=1							
9087	9087	6	符文龙魔化第四关	140	2905601=1							
9088	9088	6	符文龙魔化第五关	140	2905701=1							
9089	9089	6	符文龙魔化第六关	140	2905801=1							
	61001	1	沙漠前哨站-1	40								1016=-99.75|1026=-99.75|1013=-99.99
	61002	1	沙漠前哨站-2	60								1016=-99.1|1026=-99.1|1013=-99.97
	61003	1	沙漠前哨站-3	80								1016=-98.93|1026=-98.93|1013=-98.65
	61004	1	沙漠前哨站-4	100								1016=-97.31|1026=-97.31|1013=-99.83
	61005	1	沙漠前哨站-5	120								1016=-95.52|1026=-95.52|1013=-99.6
	61006	1	沙漠前哨站-6	140								1016=-90.71|1026=-90.71|1013=-95.76
	61007	1	沙漠前哨站-7	140								1016=-81.43|1026=-81.43|1013=-89.54
	61008	1	沙漠前哨站-8	140								1016=-72.14|1026=-72.14|1013=-82.33
	61009	1	沙漠前哨站-9	140								1016=-62.85|1026=-62.85|1013=-74.45
	61010	1	沙漠前哨站-10	140								1016=-53.56|1026=-53.56|1013=-61.82
	61011	1	沙漠前哨站-11	140								1016=-44.27|1026=-44.27|1013=-51.91
	61012	1	沙漠前哨站-12	140								1016=-34.99|1026=-34.99|1013=-41.59
	61013	1	沙漠前哨站-13	140								1016=-25.71|1026=-25.71|1013=-31.27
	61014	1	沙漠前哨站-14	140								1016=-16.43|1026=-16.43|1013=-20.95
	61015	1	沙漠前哨站-15	150								1016=2.13|1026=2.13|1013=-0.31
	61016	1	沙漠前哨站-16	150								1016=20.69|1026=20.69|1013=20.33
	61017	1	沙漠前哨站-17	150								1016=39.25|1026=39.25|1013=40.97
	61018	1	沙漠前哨站-18	150								1016=57.81|1026=57.81|1013=61.61
	61019	1	沙漠前哨站-19	150								1016=76.37|1026=76.37|1013=82.25
	61101	1	遗弃的公园-1	40								1016=-99.73|1026=-99.73|1013=-99.99
	61102	1	遗弃的公园-2	60								1016=-99.01|1026=-99.01|1013=-99.97
	61103	1	遗弃的公园-3	80								1016=-98.72|1026=-98.72|1013=-98.29
	61104	1	遗弃的公园-4	100								1016=-96.86|1026=-96.86|1013=-99.79
	61105	1	遗弃的公园-5	120								1016=-94.62|1026=-94.62|1013=-99.49
	61106	1	遗弃的公园-6	140								1016=-88.39|1026=-88.39|1013=-94.33
	61107	1	遗弃的公园-7	140								1016=-79.1|1026=-79.1|1013=-87.81
	61108	1	遗弃的公园-8	140								1016=-69.81|1026=-69.81|1013=-80.41
	61109	1	遗弃的公园-9	140								1016=-60.53|1026=-60.53|1013=-72.4
	61110	1	遗弃的公园-10	140								1016=-51.24|1026=-51.24|1013=-59.38
	61111	1	遗弃的公园-11	140								1016=-41.95|1026=-41.95|1013=-49.37
	61112	1	遗弃的公园-12	140								1016=-32.66|1026=-32.66|1013=-38.96
	61113	1	遗弃的公园-13	140								1016=-23.37|1026=-23.37|1013=-28.55
	61114	1	遗弃的公园-14	140								1016=-14.08|1026=-14.08|1013=-18.14
	61115	1	遗弃的公园-15	150								1016=4.5|1026=4.5|1013=2.68
	61116	1	遗弃的公园-16	150								1016=23.08|1026=23.08|1013=23.5
	61117	1	遗弃的公园-17	150								1016=41.66|1026=41.66|1013=44.32
	61118	1	遗弃的公园-18	150								1016=60.24|1026=60.24|1013=65.14
	61119	1	遗弃的公园-19	150								1016=78.82|1026=78.82|1013=85.96
	61201	1	丛林深处-1	40								1016=-99.69|1026=-99.69|1013=-99.99
	61202	1	丛林深处-2	60								1016=-98.92|1026=-98.92|1013=-99.97
	61203	1	丛林深处-3	80								1016=-98.51|1026=-98.51|1013=-97.92
	61204	1	丛林深处-4	100								1016=-96.42|1026=-96.42|1013=-99.76
	61205	1	丛林深处-5	120								1016=-93.73|1026=-93.73|1013=-99.39
	61206	1	丛林深处-6	140								1016=-86.07|1026=-86.07|1013=-92.8
	61207	1	丛林深处-7	140								1016=-76.78|1026=-76.78|1013=-86.03
	61208	1	丛林深处-8	140								1016=-67.49|1026=-67.49|1013=-78.46
	61209	1	丛林深处-9	140								1016=-58.21|1026=-58.21|1013=-70.31
	61210	1	丛林深处-10	140								1016=-48.92|1026=-48.92|1013=-56.92
	61211	1	丛林深处-11	140								1016=-39.63|1026=-39.63|1013=-46.8
	61212	1	丛林深处-12	140								1016=-30.34|1026=-30.34|1013=-36.31
	61213	1	丛林深处-13	140								1016=-21.05|1026=-21.05|1013=-25.82
	61214	1	丛林深处-14	140								1016=-11.76|1026=-11.76|1013=-15.33
	61215	1	丛林深处-15	150								1016=6.82|1026=6.82|1013=5.65
	61216	1	丛林深处-16	150								1016=25.4|1026=25.4|1013=26.63
	61217	1	丛林深处-17	150								1016=43.98|1026=43.98|1013=47.61
	61218	1	丛林深处-18	150								1016=62.56|1026=62.56|1013=68.59
	61219	1	丛林深处-19	150								1016=81.14|1026=81.14|1013=89.57
	61301	1	迷宫入口-1	40								1016=-99.68|1026=-99.68|1013=-99.99
	61302	1	迷宫入口-2	60								1016=-98.84|1026=-98.84|1013=-99.96
	61303	1	迷宫入口-3	80								1016=-98.29|1026=-98.29|1013=-97.53
	61304	1	迷宫入口-4	100								1016=-95.97|1026=-95.97|1013=-99.72
	61305	1	迷宫入口-5	120								1016=-92.83|1026=-92.83|1013=-99.28
	61306	1	迷宫入口-6	140								1016=-83.75|1026=-83.75|1013=-91.2
	61307	1	迷宫入口-7	140								1016=-74.46|1026=-74.46|1013=-84.2
	61308	1	迷宫入口-8	140								1016=-65.17|1026=-65.17|1013=-76.47
	61309	1	迷宫入口-9	140								1016=-55.88|1026=-55.88|1013=-68.2
	61310	1	迷宫入口-10	140								1016=-46.6|1026=-46.6|1013=-54.43
	61311	1	迷宫入口-11	140								1016=-37.31|1026=-37.31|1013=-44.21
	61312	1	迷宫入口-12	140								1016=-28.02|1026=-28.02|1013=-33.64
	61313	1	迷宫入口-13	140								1016=-18.73|1026=-18.73|1013=-23.07
	61314	1	迷宫入口-14	140								1016=-9.44|1026=-9.44|1013=-12.5
	61315	1	迷宫入口-15	150								1016=9.14|1026=9.14|1013=8.64
	61316	1	迷宫入口-16	150								1016=27.72|1026=27.72|1013=29.78
	61317	1	迷宫入口-17	150								1016=46.3|1026=46.3|1013=50.92
	61318	1	迷宫入口-18	150								1016=64.88|1026=64.88|1013=72.06
	61319	1	迷宫入口-19	150								1016=83.46|1026=83.46|1013=93.2
	61001	2	沙漠前哨站-1	40								1016=-99.75|1026=-99.75|1013=-99.99
	61002	2	沙漠前哨站-2	60								1016=-99.1|1026=-99.1|1013=-99.97
	61003	2	沙漠前哨站-3	80								1016=-98.93|1026=-98.93|1013=-98.65
	61004	2	沙漠前哨站-4	100								1016=-97.31|1026=-97.31|1013=-99.83
	61005	2	沙漠前哨站-5	120								1016=-95.52|1026=-95.52|1013=-99.6
	61006	2	沙漠前哨站-6	140								1016=-90.71|1026=-90.71|1013=-95.76
	61007	2	沙漠前哨站-7	140								1016=-81.43|1026=-81.43|1013=-89.54
	61008	2	沙漠前哨站-8	140								1016=-72.14|1026=-72.14|1013=-82.33
	61009	2	沙漠前哨站-9	140								1016=-62.85|1026=-62.85|1013=-74.45
	61010	2	沙漠前哨站-10	140								1016=-53.56|1026=-53.56|1013=-61.82
	61011	2	沙漠前哨站-11	140								1016=-44.27|1026=-44.27|1013=-51.91
	61012	2	沙漠前哨站-12	140								1016=-34.99|1026=-34.99|1013=-41.59
	61013	2	沙漠前哨站-13	140								1016=-25.71|1026=-25.71|1013=-31.27
	61014	2	沙漠前哨站-14	140								1016=-16.43|1026=-16.43|1013=-20.95
	61015	2	沙漠前哨站-15	150								1016=2.13|1026=2.13|1013=-0.31
	61016	2	沙漠前哨站-16	150								1016=20.69|1026=20.69|1013=20.33
	61017	2	沙漠前哨站-17	150								1016=39.25|1026=39.25|1013=40.97
	61018	2	沙漠前哨站-18	150								1016=57.81|1026=57.81|1013=61.61
	61019	2	沙漠前哨站-19	150								1016=76.37|1026=76.37|1013=82.25
	61101	2	遗弃的公园-1	40								1016=-99.73|1026=-99.73|1013=-99.99
	61102	2	遗弃的公园-2	60								1016=-99.01|1026=-99.01|1013=-99.97
	61103	2	遗弃的公园-3	80								1016=-98.72|1026=-98.72|1013=-98.29
	61104	2	遗弃的公园-4	100								1016=-96.86|1026=-96.86|1013=-99.79
	61105	2	遗弃的公园-5	120								1016=-94.62|1026=-94.62|1013=-99.49
	61106	2	遗弃的公园-6	140								1016=-88.39|1026=-88.39|1013=-94.33
	61107	2	遗弃的公园-7	140								1016=-79.1|1026=-79.1|1013=-87.81
	61108	2	遗弃的公园-8	140								1016=-69.81|1026=-69.81|1013=-80.41
	61109	2	遗弃的公园-9	140								1016=-60.53|1026=-60.53|1013=-72.4
	61110	2	遗弃的公园-10	140								1016=-51.24|1026=-51.24|1013=-59.38
	61111	2	遗弃的公园-11	140								1016=-41.95|1026=-41.95|1013=-49.37
	61112	2	遗弃的公园-12	140								1016=-32.66|1026=-32.66|1013=-38.96
	61113	2	遗弃的公园-13	140								1016=-23.37|1026=-23.37|1013=-28.55
	61114	2	遗弃的公园-14	140								1016=-14.08|1026=-14.08|1013=-18.14
	61115	2	遗弃的公园-15	150								1016=4.5|1026=4.5|1013=2.68
	61116	2	遗弃的公园-16	150								1016=23.08|1026=23.08|1013=23.5
	61117	2	遗弃的公园-17	150								1016=41.66|1026=41.66|1013=44.32
	61118	2	遗弃的公园-18	150								1016=60.24|1026=60.24|1013=65.14
	61119	2	遗弃的公园-19	150								1016=78.82|1026=78.82|1013=85.96
	61201	2	丛林深处-1	40								1016=-99.69|1026=-99.69|1013=-99.99
	61202	2	丛林深处-2	60								1016=-98.92|1026=-98.92|1013=-99.97
	61203	2	丛林深处-3	80								1016=-98.51|1026=-98.51|1013=-97.92
	61204	2	丛林深处-4	100								1016=-96.42|1026=-96.42|1013=-99.76
	61205	2	丛林深处-5	120								1016=-93.73|1026=-93.73|1013=-99.39
	61206	2	丛林深处-6	140								1016=-86.07|1026=-86.07|1013=-92.8
	61207	2	丛林深处-7	140								1016=-76.78|1026=-76.78|1013=-86.03
	61208	2	丛林深处-8	140								1016=-67.49|1026=-67.49|1013=-78.46
	61209	2	丛林深处-9	140								1016=-58.21|1026=-58.21|1013=-70.31
	61210	2	丛林深处-10	140								1016=-48.92|1026=-48.92|1013=-56.92
	61211	2	丛林深处-11	140								1016=-39.63|1026=-39.63|1013=-46.8
	61212	2	丛林深处-12	140								1016=-30.34|1026=-30.34|1013=-36.31
	61213	2	丛林深处-13	140								1016=-21.05|1026=-21.05|1013=-25.82
	61214	2	丛林深处-14	140								1016=-11.76|1026=-11.76|1013=-15.33
	61215	2	丛林深处-15	150								1016=6.82|1026=6.82|1013=5.65
	61216	2	丛林深处-16	150								1016=25.4|1026=25.4|1013=26.63
	61217	2	丛林深处-17	150								1016=43.98|1026=43.98|1013=47.61
	61218	2	丛林深处-18	150								1016=62.56|1026=62.56|1013=68.59
	61219	2	丛林深处-19	150								1016=81.14|1026=81.14|1013=89.57
	61301	2	迷宫入口-1	40								1016=-99.68|1026=-99.68|1013=-99.99
	61302	2	迷宫入口-2	60								1016=-98.84|1026=-98.84|1013=-99.96
	61303	2	迷宫入口-3	80								1016=-98.29|1026=-98.29|1013=-97.53
	61304	2	迷宫入口-4	100								1016=-95.97|1026=-95.97|1013=-99.72
	61305	2	迷宫入口-5	120								1016=-92.83|1026=-92.83|1013=-99.28
	61306	2	迷宫入口-6	140								1016=-83.75|1026=-83.75|1013=-91.2
	61307	2	迷宫入口-7	140								1016=-74.46|1026=-74.46|1013=-84.2
	61308	2	迷宫入口-8	140								1016=-65.17|1026=-65.17|1013=-76.47
	61309	2	迷宫入口-9	140								1016=-55.88|1026=-55.88|1013=-68.2
	61310	2	迷宫入口-10	140								1016=-46.6|1026=-46.6|1013=-54.43
	61311	2	迷宫入口-11	140								1016=-37.31|1026=-37.31|1013=-44.21
	61312	2	迷宫入口-12	140								1016=-28.02|1026=-28.02|1013=-33.64
	61313	2	迷宫入口-13	140								1016=-18.73|1026=-18.73|1013=-23.07
	61314	2	迷宫入口-14	140								1016=-9.44|1026=-9.44|1013=-12.5
	61315	2	迷宫入口-15	150								1016=9.14|1026=9.14|1013=8.64
	61316	2	迷宫入口-16	150								1016=27.72|1026=27.72|1013=29.78
	61317	2	迷宫入口-17	150								1016=46.3|1026=46.3|1013=50.92
	61318	2	迷宫入口-18	150								1016=64.88|1026=64.88|1013=72.06
	61319	2	迷宫入口-19	150								1016=83.46|1026=83.46|1013=93.2
	61301	6	迷宫入口-1	40								1016=-99.68|1026=-99.68|1013=-99.99
	61302	6	迷宫入口-2	60								1016=-98.84|1026=-98.84|1013=-99.96
	61303	6	迷宫入口-3	80								1016=-98.29|1026=-98.29|1013=-97.53
	61304	6	迷宫入口-4	100								1016=-95.97|1026=-95.97|1013=-99.72
	61305	6	迷宫入口-5	120								1016=-92.83|1026=-92.83|1013=-99.28
	61306	6	迷宫入口-6	140								1016=-83.75|1026=-83.75|1013=-91.2
	61307	6	迷宫入口-7	140								1016=-74.46|1026=-74.46|1013=-84.2
	61308	6	迷宫入口-8	140								1016=-65.17|1026=-65.17|1013=-76.47
	61309	6	迷宫入口-9	140								1016=-55.88|1026=-55.88|1013=-68.2
	61310	6	迷宫入口-10	140								1016=-46.6|1026=-46.6|1013=-54.43
	61311	6	迷宫入口-11	140								1016=-37.31|1026=-37.31|1013=-44.21
	61312	6	迷宫入口-12	140								1016=-28.02|1026=-28.02|1013=-33.64
	61313	6	迷宫入口-13	140								1016=-18.73|1026=-18.73|1013=-23.07
	61314	6	迷宫入口-14	140								1016=-9.44|1026=-9.44|1013=-12.5
	61315	6	迷宫入口-15	150								1016=9.14|1026=9.14|1013=8.64
	61316	6	迷宫入口-16	150								1016=27.72|1026=27.72|1013=29.78
	61317	6	迷宫入口-17	150								1016=46.3|1026=46.3|1013=50.92
	61318	6	迷宫入口-18	150								1016=64.88|1026=64.88|1013=72.06
	61319	6	迷宫入口-19	150								1016=83.46|1026=83.46|1013=93.2
	61401	1|2|6	神殿大门1层	40								1016=-99.75|1026=-99.75|1013=-99.99
	61402	1|2|6	神殿大门2层	60								1016=-99.1|1026=-99.1|1013=-99.97
	61403	1|2|6	神殿大门3层	80								1016=-98.93|1026=-98.93|1013=-99.83
	61404	1|2|6	神殿大门4层	100								1016=-97.31|1026=-97.31|1013=-99.6
	61405	1|2|6	神殿大门5层	120								1016=-95.52|1026=-95.52|1013=-98.65
	61406	1|2|6	神殿大门6层	140								1016=-90.71|1026=-90.71|1013=-95.76
	61407	1|2|6	神殿大门7层	140								1016=-81.43|1026=-81.43|1013=-89.54
	61408	1|2|6	神殿大门8层	140								1016=-72.14|1026=-72.14|1013=-82.33
	61409	1|2|6	神殿大门9层	140								1016=-62.85|1026=-62.85|1013=-74.45
	61410	1|2|6	神殿大门10层	140								1016=-53.56|1026=-53.56|1013=-61.82
	61411	1|2|6	神殿大门11层	140								1016=-44.27|1026=-44.27|1013=-51.91
	61412	1|2|6	神殿大门12层	140								1016=-34.99|1026=-34.99|1013=-41.59
	61413	1|2|6	神殿大门13层	140								1016=-25.71|1026=-25.71|1013=-31.27
	61414	1|2|6	神殿大门14层	140								1016=-16.43|1026=-16.43|1013=-20.95
	61415	1|2|6	神殿大门15层	150								1016=2.13|1026=2.13|1013=-0.31
	61416	1|2|6	神殿大门16层	150								1016=20.69|1026=20.69|1013=20.33
	61417	1|2|6	神殿大门17层	150								1016=39.25|1026=39.25|1013=40.97
	61418	1|2|6	神殿大门18层	150								1016=57.81|1026=57.81|1013=61.61
	61419	1|2|6	神殿大门19层	150								1016=76.37|1026=76.37|1013=82.25
	61501	1|2|6	迷宫尽头1层	40								1016=-99.73|1026=-99.73|1013=-99.99
	61502	1|2|6	迷宫尽头2层	60								1016=-99.01|1026=-99.01|1013=-99.97
	61503	1|2|6	迷宫尽头3层	80								1016=-96.86|1026=-96.86|1013=-99.79
	61504	1|2|6	迷宫尽头4层	100								1016=-94.62|1026=-94.62|1013=-99.49
	61505	1|2|6	迷宫尽头5层	120								1016=-98.72|1026=-98.72|1013=-98.29
	61506	1|2|6	迷宫尽头6层	140								1016=-88.39|1026=-88.39|1013=-94.33
	61507	1|2|6	迷宫尽头7层	140								1016=-79.1|1026=-79.1|1013=-87.81
	61508	1|2|6	迷宫尽头8层	140								1016=-69.81|1026=-69.81|1013=-80.41
	61509	1|2|6	迷宫尽头9层	140								1016=-60.53|1026=-60.53|1013=-72.4
	61510	1|2|6	迷宫尽头10层	140								1016=-51.24|1026=-51.24|1013=-59.38
	61511	1|2|6	迷宫尽头11层	140								1016=-41.95|1026=-41.95|1013=-49.37
	61512	1|2|6	迷宫尽头12层	140								1016=-32.66|1026=-32.66|1013=-38.96
	61513	1|2|6	迷宫尽头13层	140								1016=-23.37|1026=-23.37|1013=-28.55
	61514	1|2|6	迷宫尽头14层	140								1016=-14.08|1026=-14.08|1013=-18.14
	61515	1|2|6	迷宫尽头15层	150								1016=4.5|1026=4.5|1013=2.68
	61516	1|2|6	迷宫尽头16层	150								1016=23.08|1026=23.08|1013=23.5
	61517	1|2|6	迷宫尽头17层	150								1016=41.66|1026=41.66|1013=44.32
	61518	1|2|6	迷宫尽头18层	150								1016=60.24|1026=60.24|1013=65.14
	61519	1|2|6	迷宫尽头19层	150								1016=78.82|1026=78.82|1013=85.96
1350	1350	1	绿龙来袭5-1	140	2920000=1							
1350	1350	2	绿龙来袭5-1	140	2920000=1							
1350	1350	6	绿龙来袭5-1	140	2920000=1							
1351	1351	1	绿龙来袭5-2	140	2920001=1							
1352	1352	1	绿龙来袭5-3	140	2920002=1							
1352	1352	2	绿龙来袭5-3	140	2920002=1							
1352	1352	6	绿龙来袭5-3	140	2920002=1							
1353	1353	1	绿龙来袭5-4	140	2920003=1							
1353	1353	2	绿龙来袭5-4	140	2920003=1							
