slotlevel	cost	special	sloth	sloty	slotk	slots	slotx	slotw	slotf	slotn	slote	slotj
45	1=12112	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
46	1=12736	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
47	1=13388	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
48	1=14070	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
49	1=14784	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
50	63=2|1=25000	1	13=1200	13=1200	13=1200	12=30	12=30	11=75	11=75	12=30	12=30	11=30
51	1=16304	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
52	1=17118	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
53	1=17968	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
54	1=18854	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
55	1=19782	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
56	1=20752	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
57	1=21764	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
58	1=22824	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
59	1=23930	0	13=400	13=400	13=400	12=10	12=10	11=25	11=25	12=10	12=10	11=25
60	63=4|1=50000	1	13=1200	13=1200	13=1200	12=30	12=30	11=75	11=75	12=30	12=30	11=30
61	1=28484	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
62	1=29852	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
63	1=31282	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
64	1=32774	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
65	1=34338	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
66	1=35968	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
67	1=37670	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
68	1=39452	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
69	1=41314	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
70	63=6|1=80000	1	13=1440	13=1440	13=1440	12=36	12=36	11=90	11=90	12=36	12=36	11=30
71	1=45292	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
72	1=47416	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
73	1=49636	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
74	1=51954	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
75	1=54378	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
76	1=56910	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
77	1=59558	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
78	1=62324	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
79	1=65214	0	13=480	13=480	13=480	12=12	12=12	11=30	11=30	12=12	12=12	11=30
80	64=3|1=120000	1	13=1440	13=1440	13=1440	12=36	12=36	11=90	11=90	12=36	12=36	11=30
81	1=76882	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
82	1=80434	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
83	1=84148	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
84	1=88026	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
85	1=92080	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
86	1=96316	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
87	1=100744	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
88	1=105368	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
89	1=110202	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
90	64=6|1=200000	1	13=1680	13=1680	13=1680	12=42	12=36	11=105	11=105	12=42	12=42	11=105
91	1=120534	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
92	1=126050	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
93	1=131814	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
94	1=137838	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
95	1=144132	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
96	1=150712	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
97	1=157586	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
98	1=164768	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
99	1=172278	0	13=560	13=560	13=560	12=14	12=14	11=35	11=35	12=14	12=14	11=35
100	64=9|1=300000	1	13=1680	13=1680	13=1680	12=42	12=36	11=105	11=105	12=42	12=42	11=105
