DNExpeditionID	Remarks	DNExpeditionName	Count	Reward
2052		台风金巢穴	1	15=50|20=50
2053		台风金巢穴	1	15=50|20=50
2054		台风金巢穴	1	15=50|20=50
2055		台风金巢穴	1	15=50|20=50
2056		台风金巢穴	1	15=50|20=50
2057		台风金巢穴	1	15=50|20=50
2058		台风金巢穴	1	15=50|20=50
2059		台风金巢穴	1	15=50|20=50
1015		地狱犬巢穴	2	8=50|10=50
1016		地狱犬巢穴	2	8=50|10=50
1017		地狱犬巢穴	2	8=50|10=50
1018		地狱犬巢穴	2	8=50|10=50
2001		地狱犬巢穴	2	8=50|10=50
2002		地狱犬巢穴	2	8=50|10=50
2003		地狱犬巢穴	2	8=50|10=50
2004		地狱犬巢穴	2	8=50|10=50
2005		地狱犬巢穴	2	8=50|10=50
2006		地狱犬巢穴	2	8=50|10=50
2007		地狱犬巢穴	2	8=50|10=50
2008		地狱犬巢穴	2	8=50|10=50
2009		地狱犬巢穴	2	8=50|10=50
1025		狮蝎巢穴	2	8=50|10=50
1026		狮蝎巢穴	2	8=50|10=50
1027		狮蝎巢穴	2	8=50|10=50
1028		狮蝎巢穴	2	8=50|10=50
2011		狮蝎巢穴	2	8=50|10=50
2012		狮蝎巢穴	2	8=50|10=50
2013		狮蝎巢穴	2	8=50|10=50
2014		狮蝎巢穴	2	8=50|10=50
2015		狮蝎巢穴	2	8=50|10=50
2016		狮蝎巢穴	2	8=50|10=50
2017		狮蝎巢穴	2	8=50|10=50
2018		狮蝎巢穴	2	8=50|10=50
2019		狮蝎巢穴	2	8=50|10=50
1035		天启巢穴	2	8=50|10=50
1036		天启巢穴	2	8=50|10=50
1037		天启巢穴	2	8=50|10=50
1038		天启巢穴	2	8=50|10=50
2021		天启巢穴	2	8=50|10=50
2022		天启巢穴	2	8=50|10=50
2023		天启巢穴	2	8=50|10=50
2024		天启巢穴	2	8=50|10=50
2025		天启巢穴	2	8=50|10=50
2026		天启巢穴	2	8=50|10=50
2027		天启巢穴	2	8=50|10=50
2028		天启巢穴	2	8=50|10=50
2029		天启巢穴	2	8=50|10=50
1045		大主教巢穴	2	8=50|10=50
1046		大主教巢穴	2	8=50|10=50
1047		大主教巢穴	2	8=50|10=50
1048		大主教巢穴	2	8=50|10=50
2031		大主教巢穴	2	8=50|10=50
2032		大主教巢穴	2	8=50|10=50
2033		大主教巢穴	2	8=50|10=50
2034		大主教巢穴	2	8=50|10=50
2035		大主教巢穴	2	8=50|10=50
2036		大主教巢穴	2	8=50|10=50
2037		大主教巢穴	2	8=50|10=50
2038		大主教巢穴	2	8=50|10=50
2039		大主教巢穴	2	8=50|10=50
1055		巨人巢穴	2	8=50|10=50
1056		巨人巢穴	2	8=50|10=50
1057		巨人巢穴	2	8=50|10=50
1058		巨人巢穴	2	8=50|10=50
2041		巨人巢穴	2	8=50|10=50
2042		巨人巢穴	2	8=50|10=50
2043		巨人巢穴	2	8=50|10=50
2044		巨人巢穴	2	8=50|10=50
2045		巨人巢穴	2	8=50|10=50
2046		巨人巢穴	2	8=50|10=50
2047		巨人巢穴	2	8=50|10=50
2048		巨人巢穴	2	8=50|10=50
2049		巨人巢穴	2	8=50|10=50
1065		台风金巢穴	2	8=50|10=50
1066		台风金巢穴	2	8=50|10=50
1067		台风金巢穴	2	8=50|10=50
1068		台风金巢穴	2	8=50|10=50
2051		台风金巢穴	2	8=50|10=50
2052		台风金巢穴	2	8=50|10=50
2053		台风金巢穴	2	8=50|10=50
2054		台风金巢穴	2	8=50|10=50
2055		台风金巢穴	2	8=50|10=50
2056		台风金巢穴	2	8=50|10=50
2057		台风金巢穴	2	8=50|10=50
2058		台风金巢穴	2	8=50|10=50
2059		台风金巢穴	2	8=50|10=50
1015		地狱犬巢穴	3	0=100
1016		地狱犬巢穴	3	0=100
1017		地狱犬巢穴	3	0=100
1018		地狱犬巢穴	3	0=100
2001		地狱犬巢穴	3	0=100
2002		地狱犬巢穴	3	0=100
2003		地狱犬巢穴	3	0=100
2004		地狱犬巢穴	3	0=100
2005		地狱犬巢穴	3	0=100
2006		地狱犬巢穴	3	0=100
2007		地狱犬巢穴	3	0=100
2008		地狱犬巢穴	3	0=100
2009		地狱犬巢穴	3	0=100
1025		狮蝎巢穴	3	0=100
1026		狮蝎巢穴	3	0=100
1027		狮蝎巢穴	3	0=100
1028		狮蝎巢穴	3	0=100
2011		狮蝎巢穴	3	0=100
2012		狮蝎巢穴	3	0=100
2013		狮蝎巢穴	3	0=100
2014		狮蝎巢穴	3	0=100
2015		狮蝎巢穴	3	0=100
2016		狮蝎巢穴	3	0=100
2017		狮蝎巢穴	3	0=100
2018		狮蝎巢穴	3	0=100
2019		狮蝎巢穴	3	0=100
1035		天启巢穴	3	0=100
1036		天启巢穴	3	0=100
1037		天启巢穴	3	0=100
1038		天启巢穴	3	0=100
2021		天启巢穴	3	0=100
2022		天启巢穴	3	0=100
2023		天启巢穴	3	0=100
2024		天启巢穴	3	0=100
2025		天启巢穴	3	0=100
2026		天启巢穴	3	0=100
2027		天启巢穴	3	0=100
2028		天启巢穴	3	0=100
2029		天启巢穴	3	0=100
1045		大主教巢穴	3	0=100
1046		大主教巢穴	3	0=100
1047		大主教巢穴	3	0=100
1048		大主教巢穴	3	0=100
2031		大主教巢穴	3	0=100
2032		大主教巢穴	3	0=100
2033		大主教巢穴	3	0=100
2034		大主教巢穴	3	0=100
2035		大主教巢穴	3	0=100
2036		大主教巢穴	3	0=100
2037		大主教巢穴	3	0=100
2038		大主教巢穴	3	0=100
2039		大主教巢穴	3	0=100
1055		巨人巢穴	3	0=100
1056		巨人巢穴	3	0=100
1057		巨人巢穴	3	0=100
1058		巨人巢穴	3	0=100
2041		巨人巢穴	3	0=100
2042		巨人巢穴	3	0=100
2043		巨人巢穴	3	0=100
2044		巨人巢穴	3	0=100
2045		巨人巢穴	3	0=100
2046		巨人巢穴	3	0=100
2047		巨人巢穴	3	0=100
2048		巨人巢穴	3	0=100
2049		巨人巢穴	3	0=100
1065		台风金巢穴	3	0=100
1066		台风金巢穴	3	0=100
1067		台风金巢穴	3	0=100
1068		台风金巢穴	3	0=100
2051		台风金巢穴	3	0=100
2052		台风金巢穴	3	0=100
2053		台风金巢穴	3	0=100
2054		台风金巢穴	3	0=100
2055		台风金巢穴	3	0=100
2056		台风金巢穴	3	0=100
2057		台风金巢穴	3	0=100
2058		台风金巢穴	3	0=100
2059		台风金巢穴	3	0=100
1075		K博士巢穴	1	15=50|20=50
1076		K博士巢穴	1	15=50|20=50
1077		K博士巢穴	1	15=50|20=50
1078		K博士巢穴	1	15=50|20=50
2061		K博士巢穴	1	15=50|20=50
2062		K博士巢穴	1	15=50|20=50
2063		K博士巢穴	1	15=50|20=50
2064		K博士巢穴	1	15=50|20=50
2065		K博士巢穴	1	15=50|20=50
2066		K博士巢穴	1	15=50|20=50
2067		K博士巢穴	1	15=50|20=50
2068		K博士巢穴	1	15=50|20=50
2069		K博士巢穴	1	15=50|20=50
1075		K博士巢穴	2	8=50|10=50
1076		K博士巢穴	2	8=50|10=50
1077		K博士巢穴	2	8=50|10=50
1078		K博士巢穴	2	8=50|10=50
2061		K博士巢穴	2	8=50|10=50
2062		K博士巢穴	2	8=50|10=50
2063		K博士巢穴	2	8=50|10=50
2064		K博士巢穴	2	8=50|10=50
2065		K博士巢穴	2	8=50|10=50
2066		K博士巢穴	2	8=50|10=50
2067		K博士巢穴	2	8=50|10=50
2068		K博士巢穴	2	8=50|10=50
2069		K博士巢穴	2	8=50|10=50
1075		K博士巢穴	3	0=100
1076		K博士巢穴	3	0=100
1077		K博士巢穴	3	0=100
1078		K博士巢穴	3	0=100
2061		K博士巢穴	3	0=100
2062		K博士巢穴	3	0=100
2063		K博士巢穴	3	0=100
2064		K博士巢穴	3	0=100
2065		K博士巢穴	3	0=100
2066		K博士巢穴	3	0=100
2067		K博士巢穴	3	0=100
2068		K博士巢穴	3	0=100
2069		K博士巢穴	3	0=100
1085		守护者巢穴	1	15=50|20=50
1086		守护者巢穴	1	15=50|20=50
1087		守护者巢穴	1	15=50|20=50
1088		守护者巢穴	1	15=50|20=50
2071		守护者巢穴	1	15=50|20=50
2072		守护者巢穴	1	15=50|20=50
2073		守护者巢穴	1	15=50|20=50
2074		守护者巢穴	1	15=50|20=50
2075		守护者巢穴	1	15=50|20=50
2076		守护者巢穴	1	15=50|20=50
2077		守护者巢穴	1	15=50|20=50
2078		守护者巢穴	1	15=50|20=50
2079		守护者巢穴	1	15=50|20=50
1085		守护者巢穴	2	8=50|10=50
1086		守护者巢穴	2	8=50|10=50
1087		守护者巢穴	2	8=50|10=50
1088		守护者巢穴	2	8=50|10=50
2071		守护者巢穴	2	8=50|10=50
2072		守护者巢穴	2	8=50|10=50
2073		守护者巢穴	2	8=50|10=50
2074		守护者巢穴	2	8=50|10=50
2075		守护者巢穴	2	8=50|10=50
2076		守护者巢穴	2	8=50|10=50
2077		守护者巢穴	2	8=50|10=50
2078		守护者巢穴	2	8=50|10=50
2079		守护者巢穴	2	8=50|10=50
1085		守护者巢穴	3	0=100
1086		守护者巢穴	3	0=100
1087		守护者巢穴	3	0=100
1088		守护者巢穴	3	0=100
2071		守护者巢穴	3	0=100
2072		守护者巢穴	3	0=100
2073		守护者巢穴	3	0=100
2074		守护者巢穴	3	0=100
2075		守护者巢穴	3	0=100
2076		守护者巢穴	3	0=100
2077		守护者巢穴	3	0=100
2078		守护者巢穴	3	0=100
2079		守护者巢穴	3	0=100
1095		迷雾巢穴	1	15=50|20=50
1096		迷雾巢穴	1	15=50|20=50
1097		迷雾巢穴	1	15=50|20=50
1098		迷雾巢穴	1	15=50|20=50
2081		迷雾巢穴	1	15=50|20=50
2082		迷雾巢穴	1	15=50|20=50
2083		迷雾巢穴	1	15=50|20=50
2084		迷雾巢穴	1	15=50|20=50
2085		迷雾巢穴	1	15=50|20=50
2086		迷雾巢穴	1	15=50|20=50
2087		迷雾巢穴	1	15=50|20=50
2088		迷雾巢穴	1	15=50|20=50
2089		迷雾巢穴	1	15=50|20=50
1095		迷雾巢穴	2	8=50|10=50
1096		迷雾巢穴	2	8=50|10=50
1097		迷雾巢穴	2	8=50|10=50
1098		迷雾巢穴	2	8=50|10=50
2081		迷雾巢穴	2	8=50|10=50
2082		迷雾巢穴	2	8=50|10=50
2083		迷雾巢穴	2	8=50|10=50
2084		迷雾巢穴	2	8=50|10=50
2085		迷雾巢穴	2	8=50|10=50
2086		迷雾巢穴	2	8=50|10=50
2087		迷雾巢穴	2	8=50|10=50
2088		迷雾巢穴	2	8=50|10=50
2089		迷雾巢穴	2	8=50|10=50
1095		迷雾巢穴	3	0=100
1096		迷雾巢穴	3	0=100
1097		迷雾巢穴	3	0=100
1098		迷雾巢穴	3	0=100
2081		迷雾巢穴	3	0=100
2082		迷雾巢穴	3	0=100
2083		迷雾巢穴	3	0=100
2084		迷雾巢穴	3	0=100
2085		迷雾巢穴	3	0=100
2086		迷雾巢穴	3	0=100
2087		迷雾巢穴	3	0=100
2088		迷雾巢穴	3	0=100
2089		迷雾巢穴	3	0=100
7000		火山巢穴	1	15=50|20=50
7001		火山巢穴	1	15=50|20=50
7002		火山巢穴	1	15=50|20=50
7003		火山巢穴	1	15=50|20=50
7004		火山巢穴	1	15=50|20=50
7005		火山巢穴	1	15=50|20=50
7006		火山巢穴	1	15=50|20=50
7007		火山巢穴	1	15=50|20=50
7008		火山巢穴	1	15=50|20=50
7009		火山巢穴	1	15=50|20=50
7010		火山巢穴	1	15=50|20=50
7011		火山巢穴	1	15=50|20=50
7012		火山巢穴	1	15=50|20=50
7000		火山巢穴	2	8=50|10=50
7001		火山巢穴	2	8=50|10=50
7002		火山巢穴	2	8=50|10=50
7003		火山巢穴	2	8=50|10=50
7004		火山巢穴	2	8=50|10=50
7005		火山巢穴	2	8=50|10=50
7006		火山巢穴	2	8=50|10=50
7007		火山巢穴	2	8=50|10=50
7008		火山巢穴	2	8=50|10=50
7009		火山巢穴	2	8=50|10=50
7010		火山巢穴	2	8=50|10=50
7011		火山巢穴	2	8=50|10=50
7012		火山巢穴	2	8=50|10=50
7000		火山巢穴	3	0=100
7001		火山巢穴	3	0=100
7002		火山巢穴	3	0=100
7003		火山巢穴	3	0=100
7004		火山巢穴	3	0=100
7005		火山巢穴	3	0=100
7006		火山巢穴	3	0=100
7007		火山巢穴	3	0=100
7008		火山巢穴	3	0=100
7009		火山巢穴	3	0=100
7010		火山巢穴	3	0=100
7011		火山巢穴	3	0=100
7012		火山巢穴	3	0=100
9000		黑山洞窟-魔化	1	100=100
9001		熔岩岛-魔化	1	100=100
9002		蜥蜴人栖息地-魔化	1	100=100
9003		龙骨荒漠-魔化	1	100=100
9004		剧毒之森-魔化	1	100=100
9005		沙芬特拉之岛-魔化	1	100=100
9006		巨木丛林-魔化	1	100=100
9007		符文沼泽-魔化	1	100=100
9008		勇者遗迹-魔化	1	100=100
9009		剧毒峡谷-魔化	1	100=100
9010		魔力之源-魔化	1	100=100
9011		梦的回廊-魔化	1	100=100
9012		月光飞艇-魔化	1	100=100
9013		熔岩孤岛-魔化	1	100=100
9014		暴风瞭望台-魔化	1	100=100
9015		蘑岩峡谷-魔化	1	100=100
9016		赞龙的神殿-魔化	1	100=100
9017		末日高地-魔化	1	100=100
9018		神圣天堂南郊地牢-魔化	1	100=100
9019		神圣天堂南城门-魔化	1	100=100
9020		王城地下的神殿-魔化	1	100=100
9021		被遗弃的绚烂主题公园-魔化	1	100=100
9022		神圣天堂王城正门-魔化	1	100=100
9023		魔龙圣坛-魔化	1	100=100
9024		黑山洞窟·Ⅱ	1	100=100
9025		熔岩岛·Ⅱ	1	100=100
9026		蜥蜴人栖息地·Ⅱ	1	100=100
9027		龙骨荒漠·Ⅱ	1	100=100
9028		剧毒之森·Ⅱ	1	100=100
9029		沙芬特拉之岛·Ⅱ	1	100=100
9030		巨木丛林·Ⅱ	1	100=100
9031		符文沼泽·Ⅱ	1	100=100
9032		勇者遗迹·Ⅱ	1	100=100
9033		剧毒峡谷·Ⅱ	1	100=100
9034		魔力之源·Ⅱ	1	100=100
9035		梦的回廊·Ⅱ	1	100=100
9036		月光飞艇·Ⅱ	1	100=100
9037		熔岩孤岛·Ⅱ	1	100=100
9038		暴风瞭望台·Ⅱ	1	100=100
9039		蘑岩峡谷·Ⅱ	1	100=100
9040		赞龙的神殿·Ⅱ	1	100=100
9041		末日高地·Ⅱ	1	100=100
9042		神圣天堂南郊地牢·Ⅱ	1	100=100
9043		神圣天堂南城门·Ⅱ	1	100=100
9044		王城地下的神殿·Ⅱ	1	100=100
9045		被遗弃的绚烂主题公园·Ⅱ	1	100=100
9046		神圣天堂王城正门·Ⅱ	1	100=100
9047		魔龙圣坛·Ⅱ	1	100=100
9048		翼龙平台-魔化	1	100=100
9049		龙脊墓地-魔化	1	100=100
9050		亡者之门-魔化	1	100=100
9051		机械废墟-魔化	1	100=100
9052		锻刀熔炉-魔化	1	100=100
9053		红莲地狱-魔化	1	100=100
9054		黑山洞窟·Ⅲ	1	100=100
9055		熔岩岛·Ⅲ	1	100=100
9056		蜥蜴人栖息地·Ⅲ	1	100=100
9057		龙骨荒漠·Ⅲ	1	100=100
9058		剧毒之森·Ⅲ	1	100=100
9059		沙芬特拉之岛·Ⅲ	1	100=100
9060		巨木丛林·Ⅲ	1	100=100
9061		符文沼泽·Ⅲ	1	100=100
9062		勇者遗迹·Ⅲ	1	100=100
9063		剧毒峡谷·Ⅲ	1	100=100
9064		魔力之源·Ⅲ	1	100=100
9065		梦的回廊·Ⅲ	1	100=100
9066		月光飞艇·Ⅲ	1	100=100
9067		熔岩孤岛·Ⅲ	1	100=100
9068		暴风瞭望台·Ⅲ	1	100=100
9069		蘑岩峡谷·Ⅲ	1	100=100
9070		赞龙的神殿·Ⅲ	1	100=100
9071		末日高地·Ⅲ	1	100=100
9072		神圣天堂南郊地牢·Ⅲ	1	100=100
9073		神圣天堂南城门·Ⅲ	1	100=100
9074		王城地下的神殿·Ⅲ	1	100=100
9075		被遗弃的绚烂主题公园·Ⅲ	1	100=100
9076		神圣天堂王城正门·Ⅲ	1	100=100
9077		魔龙圣坛·Ⅲ	1	100=100
