actid	taskid	tasktype	taskson	taskfather	title	basetask	num	cnt	items	autogetandreset	icon	type	belong	jump	arg	chapterFather
1	59	0			任意10件装备强化至+50	9	50		93=70|62=30|7=100|30=50|1310=60			2	2	121		
1	29	0			累积参加1次世界BOSS	3	1	1	7=20|22=500|1=18888|30=50|1310=5			1	3	524		
1	30	0			累积参加3次世界BOSS	3	3	3	7=30|22=500|1=28888|30=50|1310=15			1	3	524		
1	31	0			累积参加5次世界BOSS	3	5	5	7=50|22=500|1=58888|30=50|1310=25			1	3	524		
1	32	0			累积参加10次世界BOSS	3	10	10	7=100|444=1|1=88888|30=50|1310=50			1	3	524		
1	33	0			累积参加15次世界BOSS	3	15	15	7=200|22=500|1=100000|30=50|1310=75			1	3	524		
1	34	0			累积参加25次世界BOSS	3	25	25	7=300|22=500|1=200000|30=50|1310=100			1	3	524		
1	50	0			累积参加1次公会boss	4	1	1	7=50|22=500|402=1|30=50|1310=10			1	3	85		
1	51	0			累积参加3次公会boss	4	3	3	7=80|22=1000|402=3|30=50|1310=20			1	3	85		
1	52	0			累积参加7次公会boss	4	7	7	7=100|22=1500|402=5|30=50|1310=30			1	3	85		
1	53	0			累积参加10次公会boss	4	10	10	7=200|22=2000|402=6|30=50|1310=40			1	3	85		
1	54	0			累积参加12次公会boss	4	12	12	7=300|22=2500|402=8|30=50|1310=60			1	3	85		
1	35	0			累积参加3次天梯赛	2	12|3	3	7=15|21=500|1180=10|30=50|1310=10			2	3	54		
1	36	0			累积参加5次天梯赛	2	12|5	5	7=20|21=600|1180=20|30=50|1310=20			2	3	54		
1	37	0			累积参加10次天梯赛	2	12|10	10	7=30|21=800|1180=30|30=50|1310=30			2	3	54		
1	38	0			累积参加20次天梯赛	2	12|20	20	7=40|21=1600|1182=30|30=50|1310=50			2	3	54		
1	39	0			累积参加30次天梯赛	2	12|30	30	7=50|21=2000|1182=50|30=50|1310=100			2	3	54		
1	13	0			累积送出3个好友礼物	11	3	3	7=5|602=15|90=5|30=50|1310=10			1	4			
1	14	0			累积送出5个好友礼物	11	5	5	7=10|602=25|90=10|30=50|1310=20			1	4			
1	15	0			累积送出10个好友礼物	11	10	10	7=20|602=30|90=20|30=50|1310=30			1	4			
1	16	0			累积送出30个好友礼物	11	30	30	7=50|602=35|90=30|30=50|1310=40			1	4			
1	17	0			累积送出60个好友礼物	11	60	60	7=100|602=40|90=50|30=50|1310=60			1	4			
1	65	0			累计拥有10枚1级龙玉	10	1|10	10	7=20|400=10|611=2|30=50|1310=10			2	4	122		
1	66	0			累计拥有10枚3级龙玉	10	3|10	10	7=30|400=30|611=5|30=50|1310=20			2	4	122		
1	67	0			累计拥有10枚4级龙玉	10	4|10	10	7=40|400=40|611=8|30=50|1310=30			2	4	122		
1	68	0			累计拥有10枚5级龙玉	10	5|10	10	7=50|400=50|611=10|30=50|1310=40			2	4	122		
1	69	0			累计拥有10枚6级龙玉	10	6|10	10	7=100|402=20|611=12|30=50|1310=60			2	4	122		
1	40	0			通关龙穴6次	15	18|6	6	7=20|1024=3|5832=1|30=50|1310=10			1	5	526		
1	41	0			通关龙穴12次	15	18|12	12	7=25|1024=5|5832=2|30=50|1310=20			1	5	526		
1	42	0			通关龙穴18次	15	18|18	18	7=30|1024=8|5832=3|30=50|1310=30			1	5	526		
1	43	0			通关龙穴30次	15	18|30	30	7=35|1024=12|5832=4|30=50|1310=40			1	5	526		
1	44	0			通关龙穴48次	15	18|48	48	7=50|1024=15|5832=5|30=50|1310=60			1	5	526		
1	18	0			累积3次和公会成员通关副本	7	3	3	7=50|553=1|239=1|30=50|1310=10			2	5			
1	19	0			累积9次和公会成员通关副本	7	9	9	7=80|553=2|239=2|30=50|1310=20			2	5			
1	20	0			累积15次和公会成员通关副本	7	15	15	7=100|553=3|238=3|30=50|1310=30			2	5			
1	21	0			累积24次和公会成员通关副本	7	24	24	7=200|553=4|238=4|30=50|1310=40			2	5			
1	22	0			累积30次和公会成员通关副本	7	30	30	7=300|553=5|157=5|30=50|1310=60			2	5			
1	60	0			注灵任意装备50次	29	50	50	1053=10|1=50000|7=20|30=50|1310=10			1	6	129		
1	61	0			注灵任意装备100次	29	100	100	1053=30|1=100000|7=25|30=50|1310=20			1	6	129		
1	62	0			注灵任意装备120次	29	120	120	1053=40|1=200000|7=30|30=50|1310=30			1	6	129		
1	63	0			注灵任意装备150次	29	150	150	1053=50|1=288888|7=50|30=50|1310=40			1	6	129		
1	64	0			注灵任意装备180次	29	180	180	1053=60|1=400000|7=100|30=50|1310=60			1	6	129		
5	4010100	0			累积登陆5天	5	5		722=1							
5	4010200	0			累积登陆5天	5	5									
5	4010300	0			累积登陆5天	5	5									
5	4010400	0			累积登陆5天	5	5									
5	4010500	0			累积登陆5天	5	5									
5	4010600	0			累积登陆5天	5	5									
5	4010700	0			累积登陆5天	5	5									
5	4010800	0			累积登陆5天	5	5									
5	4010900	0			累积登陆5天	5	5									
5	4020101	0			登录1天	5	1									
5	4020102	0			登录2天	5	2									
5	4020103	0			登录3天	5	3									
5	4020104	0			登录4天	5	4									
5	4020105	0			登录5天	5	5									
5	4020106	0			登录6天	5	6									
5	4020107	0			登录7天	5	7									
5	4020201	0			登录1天	5	1									
5	4020202	0			登录2天	5	2									
5	4020203	0			登录3天	5	3									
5	4020204	0			登录4天	5	4									
5	4020205	0			登录5天	5	5									
5	4020206	0			登录6天	5	6									
5	4020207	0			登录7天	5	7									
5	4020301	0			登录1天	5	1									
5	4020302	0			登录2天	5	2									
5	4020303	0			登录3天	5	3									
5	4020304	0			登录4天	5	4									
5	4020305	0			登录5天	5	5									
5	4020306	0			登录6天	5	6									
5	4020307	0			登录7天	5	7									
5	4020401	0			登录1天	5	1									
5	4020402	0			登录2天	5	2									
5	4020403	0			登录3天	5	3									
5	4020404	0			登录4天	5	4									
5	4020405	0			登录5天	5	5									
5	4020406	0			登录6天	5	6									
5	4020407	0			登录7天	5	7									
5	4020501	0			登录1天	5	1									
5	4020502	0			登录2天	5	2									
5	4020503	0			登录3天	5	3									
5	4020504	0			登录4天	5	4									
5	4020505	0			登录5天	5	5									
5	4020506	0			登录6天	5	6									
5	4020507	0			登录7天	5	7									
5	4020601	0			登录1天	5	1									
5	4020602	0			登录2天	5	2									
5	4020603	0			登录3天	5	3									
5	4020604	0			登录4天	5	4									
5	4020605	0			登录5天	5	5									
5	4020606	0			登录6天	5	6									
5	4020607	0			登录7天	5	7									
5	4020701	0			登录1天	5	1									
5	4020702	0			登录2天	5	2									
5	4020703	0			登录3天	5	3									
5	4020704	0			登录4天	5	4									
5	4020705	0			登录5天	5	5									
5	4020706	0			登录6天	5	6									
5	4020707	0			登录7天	5	7									
5	4020801	0			登录1天	5	1									
5	4020802	0			登录2天	5	2									
5	4020803	0			登录3天	5	3									
5	4020804	0			登录4天	5	4									
5	4020805	0			登录5天	5	5									
5	4020806	0			登录6天	5	6									
5	4020807	0			登录7天	5	7									
5	4020901	0			登录1天	5	1									
5	4020902	0			登录2天	5	2									
5	4020903	0			登录3天	5	3									
5	4020904	0			登录4天	5	4									
5	4020905	0			登录5天	5	5									
5	4020906	0			登录6天	5	6									
5	4020907	0			登录7天	5	7									
5	4030120	0			等级达到20级	12	20									
5	4030125	0			等级达到25级	12	25									
5	4030130	0			等级达到30级	12	30									
5	4030220	0			等级达到20级	12	20									
5	4030225	0			等级达到25级	12	25									
5	4030230	0			等级达到30级	12	30									
5	4030320	0			等级达到20级	12	20									
5	4030325	0			等级达到25级	12	25									
5	4030330	0			等级达到30级	12	30									
5	4030335	0			等级达到35级	12	35									
5	4030338	0			等级达到38级	12	38									
5	4030340	0			等级达到40级	12	40									
5	4030420	0			等级达到20级	12	20									
5	4030425	0			等级达到25级	12	25									
5	4030430	0			等级达到30级	12	30									
5	4030435	0			等级达到35级	12	35									
5	4030438	0			等级达到38级	12	38									
5	4030440	0			等级达到40级	12	40									
5	4030445	0			等级达到45级	12	45									
5	4030448	0			等级达到48级	12	48									
5	4030450	0			等级达到50级	12	50									
5	4030520	0			等级达到20级	12	20									
5	4030525	0			等级达到25级	12	25									
5	4030530	0			等级达到30级	12	30									
5	4030535	0			等级达到35级	12	35									
5	4030538	0			等级达到38级	12	38									
5	4030540	0			等级达到40级	12	40									
5	4030545	0			等级达到45级	12	45									
5	4030548	0			等级达到48级	12	48									
5	4030550	0			等级达到50级	12	50									
5	4030555	0			等级达到55级	12	55									
5	4030558	0			等级达到58级	12	58									
5	4030560	0			等级达到60级	12	60									
5	4030620	0			等级达到20级	12	20									
5	4030625	0			等级达到25级	12	25									
5	4030630	0			等级达到30级	12	30									
5	4030635	0			等级达到35级	12	35									
5	4030638	0			等级达到38级	12	38									
5	4030640	0			等级达到40级	12	40									
5	4030645	0			等级达到45级	12	45									
5	4030648	0			等级达到48级	12	48									
5	4030650	0			等级达到50级	12	50									
5	4030655	0			等级达到55级	12	55									
5	4030658	0			等级达到58级	12	58									
5	4030660	0			等级达到60级	12	60									
5	4030665	0			等级达到65级	12	65									
5	4030668	0			等级达到68级	12	68									
5	4030670	0			等级达到70级	12	70									
5	4030720	0			等级达到20级	12	20									
5	4030725	0			等级达到25级	12	25									
5	4030730	0			等级达到30级	12	30									
5	4030735	0			等级达到35级	12	35									
5	4030738	0			等级达到38级	12	38									
5	4030740	0			等级达到40级	12	40									
5	4030745	0			等级达到45级	12	45									
5	4030748	0			等级达到48级	12	48									
5	4030750	0			等级达到50级	12	50									
5	4030755	0			等级达到55级	12	55									
5	4030758	0			等级达到58级	12	58									
5	4030760	0			等级达到60级	12	60									
5	4030765	0			等级达到65级	12	65									
5	4030768	0			等级达到68级	12	68									
5	4030770	0			等级达到70级	12	70									
5	4030775	0			等级达到75级	12	75									
5	4030778	0			等级达到78级	12	78									
5	4030780	0			等级达到80级	12	80									
5	4030820	0			等级达到20级	12	20									
5	4030825	0			等级达到25级	12	25									
5	4030830	0			等级达到30级	12	30									
5	4030835	0			等级达到35级	12	35									
5	4030838	0			等级达到38级	12	38									
5	4030840	0			等级达到40级	12	40									
5	4030845	0			等级达到45级	12	45									
5	4030848	0			等级达到48级	12	48									
5	4030850	0			等级达到50级	12	50									
5	4030855	0			等级达到55级	12	55									
5	4030858	0			等级达到58级	12	58									
5	4030860	0			等级达到60级	12	60									
5	4030865	0			等级达到65级	12	65									
5	4030868	0			等级达到68级	12	68									
5	4030870	0			等级达到70级	12	70									
5	4030875	0			等级达到75级	12	75									
5	4030878	0			等级达到78级	12	78									
5	4030880	0			等级达到80级	12	80									
5	4030885	0			等级达到85级	12	85									
5	4030888	0			等级达到88级	12	88									
5	4030890	0			等级达到90级	12	90									
5	4030920	0			等级达到20级	12	20									
5	4030925	0			等级达到25级	12	25									
5	4030930	0			等级达到30级	12	30									
5	4030935	0			等级达到35级	12	35									
5	4030938	0			等级达到38级	12	38									
5	4030940	0			等级达到40级	12	40									
5	4030945	0			等级达到45级	12	45									
5	4030948	0			等级达到48级	12	48									
5	4030950	0			等级达到50级	12	50									
5	4030955	0			等级达到55级	12	55									
5	4030958	0			等级达到58级	12	58									
5	4030960	0			等级达到60级	12	60									
5	4030965	0			等级达到65级	12	65									
5	4030968	0			等级达到68级	12	68									
5	4030970	0			等级达到70级	12	70									
5	4030975	0			等级达到75级	12	75									
5	4030978	0			等级达到78级	12	78									
5	4030980	0			等级达到80级	12	80									
5	4030985	0			等级达到85级	12	85									
5	4030988	0			等级达到88级	12	88									
5	4030990	0			等级达到90级	12	90									
5	4030995	0			等级达到95级	12	95									
5	4030998	0			等级达到98级	12	98									
5	4030900	0			等级达到100级	12	100									
5	9999900	0			累积登陆1天	5	1	1	1026=1|4=6000000					353		
5	9999901	0			累积登陆2天	5	2	2	15350=1|157=5|603=20					353		
5	9999902	0			累积登陆3天	5	3	3	3511=1|1053=30					353		
5	9999903	0			累积登陆4天	5	4	4	1204010=1|604=30					353		
5	9999904	0			累积登陆5天	5	5	5	1036=1|1=1000000					353		
5	9999905	0			累积登陆6天	5	6	6	11508=1|771=1					353		
5	9999906	0			累积登陆7天	5	7	7	11272=1|2228=3					353		
5	9999907	0			累积参加1次世界BOSS	3	1	1	157=5|93614=1					524		
5	9999908	0			通关5次魔化巢穴	31	30|5	5	7=300|611=5					516		
5	9999909	0			完成深渊关卡30次	15	13|30	30	21=3000|93=150					111		
5	10000000	0			参加物资筹备1次	38	1|61001|61002|61003|61004|61005|61006|61007|61008|61009|61010|61011|61012|61013|61014|61015|61016|61017|61018|61019|61020|61021|61022|61101|61102|61103|61104|61105|61106|61107|61108|61109|61110|61111|61112|61113|61114|61115|61116|61117|61118|61119|61120|61121|61122|61201|61202|61203|61204|61205|61206|61207|61208|61209|61210|61211|61212|61213|61214|61215|61216|61217|61218|61219|61220|61221|61222|61301|61302|61303|61304|61305|61306|61307|61308|61309|61310|61311|61312|61313|61314|61315|61316|61317|61318|61319|61320|61321|61322|61401|61402|61403|61404|61405|61406|61407|61408|61409|61410|61411|61412|61413|61414|61415|61416|61417|61418|61419|61420|61421|61422|61501|61502|61503|61504|61505|61506|61507|61508|61509|61510|61511|61512|61513|61514|61515|61516|61517|61518|61519|61520|61521|61522	1						1010		
5	10000001	0			通过任意龙穴副本1次	31	6|3	3						526		
5	10000002	0			累积登陆5天	5	5		771=1							
5	10000003	0			寻找公会=加入1个公会	20		1	593=20|22=1000|900=10					17		
5	10000004	0			结交好友=好友数量达到10个	21	10	1	593=50|569=10|900=10					72		
5	10000005	0			互帮互助=公会捐赠5个道具	22	5	5	593=25|572=10|900=10					887		
5	10000006	0			日常达人=完成6个日常小任务	23	1|6	6	593=20|401=10|900=10					886		
5	10000007	0			日常达人=完成20个日常小任务	23	1|20	20	593=20|401=10|900=10					886		
5	10000008	0			日常达人=完成40个日常小任务	23	1|40	40	593=20|401=10|900=10					886		
5	10000009	0			悬赏达人=完成3个悬赏小任务	23	2|3	3	593=20|401=10|900=10					904		
5	10000010	0			悬赏达人=完成6个悬赏小任务	23	2|6	6	593=20|401=10|900=10					904		
5	10000011	0			悬赏达人=完成12个悬赏小任务	23	2|12	12	593=20|401=10|900=10					904		
5	10000012	0			巢穴试炼=通过2次任意巢穴副本	15	3|2	2	593=20|900=10|604=2					520		
5	10000013	0			巢穴试炼=通过6次任意巢穴副本	15	3|6	6	593=30|900=10|604=3					520		
5	10000014	0			巢穴试炼=通过12次任意巢穴副本	15	3|12	12	593=50|900=10|604=5					520		
5	10000015	0			龙穴试炼=通过1次任意龙穴-大师模式	24	1	1	593=50|603=1|606=1					526		
5	10000016	0			龙穴试炼=通过5次任意龙穴-大师模式	24	5	5	593=50|603=2|606=1					526		
5	10000017	0			龙穴试炼=通过10次任意龙穴-大师模式	24	10	10	593=100|603=3|606=1					526		
5	10000018	0			团体PVP=获得2次英雄战场胜场	15	36|2	2	593=50|21=500|68=2					956		
5	10000019	0			团体PVP=获得5次英雄战场胜场	15	36|5	5	593=100|21=1000|68=3					956		
5	10000020	0			天梯强者=获得5次1v1天梯赛胜利	15	12|5	5	593=50|21=500|68=5					54		
5	10000021	0			天梯强者=获得10次1v1天梯赛胜利	15	12|10	10	593=100|21=1000|67=10					54		
5	10000022	0			禁地试炼=通过5次龙魂禁地副本	15	44|5	5	593=50|603=1|605=5					360		
5	10000023	0			禁地试炼=通过10次龙魂禁地副本	15	44|10	10	593=50|603=2|605=5					360		
5	10000024	0			禁地试炼=通过20次龙魂禁地副本	15	44|20	20	593=100|603=3|605=10					360		
5	10000026	0			累积登陆1天	5	1	1	2286=1							
5	10000027	0			累积登陆1天	5	1	1	2287=1							
5	10000028	0			累积登陆1天	5	1	1	2288=1							
5	10000029	0			累积登陆1天	5	1	1	2289=1							
5	10000030	0			累积登陆1天	5	1	1	2290=1							
5	10000031	0			累积登陆1天	5	1	1	2291=1							
5	10000032	0			累积登陆1天	5	1	1	2292=1							
5	10000033	0			累积登陆1天	5	1	1	2293=1							
5	10000034	0			累积登陆1天	5	1	1	2294=1							
5	10000035	0			任意装备累计注灵80次	29	80	80	1053=50					129		
5	10000036	0			任意鉴定50次装备	30	50	50	3612=2					12		
5	10000037	0			【基谷回归】=累积登陆1天	5	1	1	593=100|7505=1|3612=2|1907=1					353		
5	10000038	0			【再续基缘】=累积登陆7天	5	7	7	1204010=1|157=15|550=1|3511=1					353		
5	10000039	0			【公会缘】=加入1个公会	20		1	593=100|22=3000|7=200					17		
5	10000040	0			【好友缘】=好友数量达到10个	21	10	10	593=400|90=99|7=300					72		
5	10000041	0			【伙伴缘】=分享游戏1次，召唤好友	33	1	1	593=200|92=33|15259=1					926		
5	10000042	0			【战队缘】=战友组队完成5次英雄战场	15	36|5	5	593=200|573=1|6200=5					956		
5	10000043	0			【日常达人】=完成40个日常小任务	23	1|40	40	593=200|400=60|900=100|3602=2					886		
5	10000044	0			【天梯强者】=获得10次1v1天梯赛胜利	15	12|10	10	593=200|21=2000|68=15|94614=1					54		
5	10000045	0			【禁地试炼】=通过15次龙魂禁地副本	15	44|15	15	593=200|3128=40					360		
5	10000046	0			【注灵装备】=任意装备累计注灵80次	29	80	80	593=400|1053=200|1254=1					129		
5	10000047	0			【鉴定装备】=任意鉴定50次装备	30	50	50	593=250|3602=1|3605=1|3608=1					12		
5	10000050	0			充值60钻石	27	60	60	11288=1|3128=40|14=60|1183=100							
5	10000051	0			充值360钻石	27	360	360	2659=1|553=200|2345=1|827=50							
5	10000052	0			充值1340钻石	27	1340	1340	1304010=1|1097=200|1053=300|1254=2							
5	10000053	0			充值3320钻石	27	3320	3320	1304011=1|1097=200|603=100|604=100							
5	10000054	0			充值6600钻石	27	6600	6600	1304012=1|1097=400|1027=10|1024=500							
5	10000055	0			充值13080钻石	27	13080	13080	1278=40|1279=300|1099907=1|551=4							
5	10000056	0			充值19560钻石	27	19560	19560	8549=500|1420=1000|1013006=1|551=6							
5	10000057	0			充值26040钻石	27	26040	26040	1327=1|1420=2000|1502=1|551=12							
5	10000158	0			【基谷回归】=累积登陆1天	5	1	1	593=200|1909=1|1700=1|7505=1					353		
5	10000159	0			【基谷回归】=累积登陆2天	5	2	2	593=200|157=15|1024=50					353		
5	10000160	0			【基谷回归】=累积登陆3天	5	3	3	593=200|157=15|602=100					353		
5	10000161	0			【基谷回归】=累积登陆4天	5	4	4	593=250|157=20|1304010=1					353		
5	10000162	0			【基谷回归】=累积登陆5天	5	5	5	593=250|157=20|771=1					353		
5	10000163	0			【挑战BOSS】=累积参加1次世界BOSS	3	1	1	593=100|9023=3					524		
5	10000164	0			【挑战BOSS】=累积参加3次世界BOSS	3	3	3	593=100|9023=4					524		
5	10000165	0			【挑战BOSS】=累积参加5次世界BOSS	3	5	5	593=100|9023=5|2345=1					524		
5	10000166	0			【小试身手】=累计通关BOSSRUSH 2次	2	9|2	2	593=100|1328=5					48		
5	10000167	0			【小试身手】=累计通关BOSSRUSH 4次	2	9|4	4	593=100|1328=7					48		
5	10000168	0			【小试身手】=累计通关BOSSRUSH 6次	2	9|6	6	593=100|1328=10					48		
5	10000169	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）3次	38	3|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	3	4810=20					526		
5	10000170	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）6次	38	6|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	6	4810=20					526		
5	10000171	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）12次	38	12|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	12	4810=25					526		
5	10000172	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）18次	38	18|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	18	4810=25					526		
5	10000173	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）24次	38	24|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	24	4810=30					526		
5	10000174	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）30次	38	30|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	30	4810=30					526		
5	10000175	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）36次	38	36|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	36	4810=40					526		
5	10000176	0			【符文龙试炼】=通关符文龙本（简单、普通、困难）42次	38	42|9084|9085|9086|9087|9088|9089|1550|1551|1552|1553|1554|1555|1170|1171|1172|1173|1174|1175	42	4810=40					526		
5	10000077	0			【小试身手】通关龙穴3次	15	18|3	3	10094602=1|1183=10					526		
5	10000078	0			【小试身手】通关龙穴6次	15	18|6	6	10094601=1|1183=20					526		
5	10000079	0			【小试身手】通关龙穴9次	15	18|9	9	10094606=1|1183=50					526		
5	10000177	0			【基谷回归】=累积登陆1天	5	1	1	593=200|1909=1|1701=1|7505=1					353		
5	10000178	0			【基谷回归】=累积登陆2天	5	2	2	593=200|157=15|1024=50					353		
5	10000179	0			【基谷回归】=累积登陆3天	5	3	3	593=200|157=15|602=100					353		
5	10000180	0			【基谷回归】=累积登陆4天	5	4	4	593=250|157=20|1304010=1					353		
5	10000181	0			【基谷回归】=累积登陆5天	5	5	5	593=250|157=20|771=1					353		
5	10000182	0			【挑战BOSS】=累积参加1次世界BOSS	3	1	1	593=100|193652=20					524		
5	10000183	0			【挑战BOSS】=累积参加3次世界BOSS	3	3	3	593=100|193652=40					524		
5	10000184	0			【挑战BOSS】=累积参加5次世界BOSS	3	5	5	593=100|193652=40|2345=1					524		
5	10000185	0			【小试身手】=累计通关BOSSRUSH 2次	2	9|2	2	593=100|1328=5					48		
5	10000186	0			【小试身手】=累计通关BOSSRUSH 4次	2	9|4	4	593=100|1328=7					48		
5	10000187	0			【小试身手】=累计通关BOSSRUSH 6次	2	9|6	6	593=100|1328=10					48		
5	10000188	0			【森林龙试炼】=通关森林龙本（简单、普通、困难）3次	38	3|1210|1211|1212|1220|1221|1222|1230|1231|1232	3	1358=15					526		
5	10000189	0			【森林龙试炼】=通关森林龙本（简单、普通、困难）6次	38	6|1210|1211|1212|1220|1221|1222|1230|1231|1232	6	1358=20					526		
5	10000190	0			【森林龙试炼】=通关森林龙本（简单、普通、困难）9次	38	9|1210|1211|1212|1220|1221|1222|1230|1231|1232	12	1358=25					526		
5	10000191	0			【小试身手】完成3次物资筹备	38	3|61001|61002|61003|61004|61005|61006|61007|61008|61009|61010|61011|61012|61013|61014|61015|61016|61017|61018|61019|61020|61021|61022|61101|61102|61103|61104|61105|61106|61107|61108|61109|61110|61111|61112|61113|61114|61115|61116|61117|61118|61119|61120|61121|61122|61201|61202|61203|61204|61205|61206|61207|61208|61209|61210|61211|61212|61213|61214|61215|61216|61217|61218|61219|61220|61221|61222|61301|61302|61303|61304|61305|61306|61307|61308|61309|61310|61311|61312|61313|61314|61315|61316|61317|61318|61319|61320|61321|61322|61401|61402|61403|61404|61405|61406|61407|61408|61409|61410|61411|61412|61413|61414|61415|61416|61417|61418|61419|61420|61421|61422|61501|61502|61503|61504|61505|61506|61507|61508|61509|61510|61511|61512|61513|61514|61515|61516|61517|61518|61519|61520|61521|61522	3	1420=200|602=100					1010		
5	10000192	0			【小试身手】完成8次物资筹备	38	8|61001|61002|61003|61004|61005|61006|61007|61008|61009|61010|61011|61012|61013|61014|61015|61016|61017|61018|61019|61020|61021|61022|61101|61102|61103|61104|61105|61106|61107|61108|61109|61110|61111|61112|61113|61114|61115|61116|61117|61118|61119|61120|61121|61122|61201|61202|61203|61204|61205|61206|61207|61208|61209|61210|61211|61212|61213|61214|61215|61216|61217|61218|61219|61220|61221|61222|61301|61302|61303|61304|61305|61306|61307|61308|61309|61310|61311|61312|61313|61314|61315|61316|61317|61318|61319|61320|61321|61322|61401|61402|61403|61404|61405|61406|61407|61408|61409|61410|61411|61412|61413|61414|61415|61416|61417|61418|61419|61420|61421|61422|61501|61502|61503|61504|61505|61506|61507|61508|61509|61510|61511|61512|61513|61514|61515|61516|61517|61518|61519|61520|61521|61522	8	1420=400|604=50					1010		
5	10000193	0			【小试身手】完成15次物资筹备	38	15|61001|61002|61003|61004|61005|61006|61007|61008|61009|61010|61011|61012|61013|61014|61015|61016|61017|61018|61019|61020|61021|61022|61101|61102|61103|61104|61105|61106|61107|61108|61109|61110|61111|61112|61113|61114|61115|61116|61117|61118|61119|61120|61121|61122|61201|61202|61203|61204|61205|61206|61207|61208|61209|61210|61211|61212|61213|61214|61215|61216|61217|61218|61219|61220|61221|61222|61301|61302|61303|61304|61305|61306|61307|61308|61309|61310|61311|61312|61313|61314|61315|61316|61317|61318|61319|61320|61321|61322|61401|61402|61403|61404|61405|61406|61407|61408|61409|61410|61411|61412|61413|61414|61415|61416|61417|61418|61419|61420|61421|61422|61501|61502|61503|61504|61505|61506|61507|61508|61509|61510|61511|61512|61513|61514|61515|61516|61517|61518|61519|61520|61521|61522	15	1420=600|603=30					1010		
7	71001	0			通关1次龙穴副本	15	18|1	1			BQ_29			526		
7	71002	0			累计通关3次龙穴副本	15	18|3	3			BQ_29			526		
7	71003	0			累计参与3次1V1天梯对决	2	12|3	3			BQ_39			54		
7	71004	0			累计参与5次1V1天梯对决	2	12|5	5			BQ_39			54		
7	71005	0			英雄战场获得1次胜利	15	36|1	1			BQ_39			956		
7	71006	0			英雄战场获得3次胜利	15	36|3	3			BQ_39			956		
7	71007	0			累计获得100点活跃度	16	100	100			BQ_10			351		
7	71008	0			累计获得200点活跃度	16	200	200			BQ_10			351		
7	71009	0			累计获得300点活跃度	16	300	300			BQ_10			351		
2	1120	1	1121|1122		桃花秋千			1	796=1							
