SceneID		MaxTimeScores	Time	MaxSurviveScores	DeadScores	DamageScores	TreatScores	FightScores	ProfessionScores	Standard
1055	巨人巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1056	巨人巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1057	巨人巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1058	星级巢穴-巨人1（原地狱模式）	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1059	巨人巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1065	台风金巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1066	台风金巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1067	台风金巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1068	台风金巢穴-地狱一星	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1069	台风金巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1075	K博士巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1076	K博士巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1077	K博士巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1078	K博士巢穴-地狱一星	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1079	K博士巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1085	守护者巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1086	守护者巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1087	守护者巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1088	守护者巢穴-地狱一星	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
1089	守护者巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1095	迷雾巢穴-简单	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1096	迷雾巢穴-普通	3000	360	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1097	迷雾巢穴-困难	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1098	迷雾巢穴-地狱一星	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
30011	竞技巢穴（地狱犬）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30012	竞技巢穴（狮蝎）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30013	竞技巢穴（天启）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30014	竞技巢穴（大主教）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30015	竞技巢穴（巨人）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30016	竞技巢穴（台风金）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30017	竞技巢穴（K博士）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30018	竞技巢穴（K博士）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30019	竞技巢穴（迷雾）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30020	竞技巢穴（火山）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30021	竞技巢穴（K博士）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30022	竞技巢穴（迷雾）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
30023	竞技巢穴（火山）	3000	420	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1100	海龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1101	海龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1102	海龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1103	海龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1104	海龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1105	海龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1106	海龙龙穴（硬盒）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1108	海龙龙穴（硬盒）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1110	绿龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1111	绿龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1112	绿龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1113	绿龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1114	绿龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1115	绿龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1116	绿龙龙穴（硬盒）	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1118	绿龙龙穴（硬盒）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1120	沙龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1121	沙龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1122	沙龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1123	沙龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1124	沙龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1125	沙龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1126	沙龙龙穴（硬盒）	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1128	沙龙龙穴（硬盒）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1130	黑龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1131	黑龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1132	黑龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1133	黑龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1134	黑龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1135	黑龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1301	海龙龙穴part1（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1303	海龙龙穴part2（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1305	海龙龙穴part3（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1311	绿龙龙穴part1（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1313	绿龙龙穴part2（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1315	绿龙龙穴part3（竞技）	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1325	沙龙龙穴(沙龙之殇)	3000	3600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|0|0|0
1140	红龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1141	红龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1142	红龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1143	红龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1144	红龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1145	红龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1150	冰龙龙穴第一关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1151	冰龙龙穴第二关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1152	冰龙龙穴第三关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1153	冰龙龙穴第四关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1154	冰龙龙穴第五关	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1155	冰龙龙穴第六关	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1500	梅莫里亚海龙1	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1501	梅莫里亚海龙2	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1502	梅莫里亚海龙3	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1503	梅莫里亚海龙4	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1504	梅莫里亚海龙5	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1505	梅莫里亚海龙6	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1510	梅莫里亚绿龙1	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1511	梅莫里亚绿龙2	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1512	梅莫里亚绿龙3	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1513	梅莫里亚绿龙4	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1514	梅莫里亚绿龙5	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1515	梅莫里亚绿龙6	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1520	梅莫里亚沙龙1	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1521	梅莫里亚沙龙2	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1522	梅莫里亚沙龙3	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1523	梅莫里亚沙龙4	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1524	梅莫里亚沙龙5	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1525	梅莫里亚沙龙6	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1530	梅莫里亚黑龙1	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1531	梅莫里亚黑龙2	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1532	梅莫里亚黑龙3	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1533	梅莫里亚黑龙4	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1534	梅莫里亚黑龙5	3000	300	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
1535	梅莫里亚黑龙6	3000	600	1000	500	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|3500|4400|10000
2001	星级巢穴-地狱犬1	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2002	星级巢穴-地狱犬2	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2003	星级巢穴-地狱犬3	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2004	星级巢穴-地狱犬4	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2005	星级巢穴-地狱犬5	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2006	星级巢穴-地狱犬6	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2007	星级巢穴-地狱犬7	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2008	星级巢穴-地狱犬8	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2009	星级巢穴-地狱犬9	3000	300	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2011	星级巢穴-狮蝎1	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2012	星级巢穴-狮蝎2	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2013	星级巢穴-狮蝎3	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2014	星级巢穴-狮蝎4	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2015	星级巢穴-狮蝎5	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2016	星级巢穴-狮蝎6	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2017	星级巢穴-狮蝎7	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2018	星级巢穴-狮蝎8	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2019	星级巢穴-狮蝎9	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2021	星级巢穴-天启1	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2022	星级巢穴-天启2	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2023	星级巢穴-天启3	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
2024	星级巢穴-天启4	3000	420	1000	0	1000|800|700|600|500|400	500|400|300|200|100|0	0|0|0|0|0|0	0|0|0|0|0|0|0	0|0|1|2|3
